solver,precision_decimal_digits,tolerance,degree,point,initial_x,initial_y,time,component,value,flowstar_lo,flowstar_hi,contained,signed_slack
mpmath_taylor_odefun,70,1e-45,40,corner_ll,1.1,2.35,3.97,x,-2.00592266567623738382523677945208153935475684740357377798118,-2.0120453511878109,-2.0034332393764056,True,0.00248942629983178382523677945208153935475684740357377798118188
mpmath_taylor_odefun,70,1e-45,40,corner_ll,1.1,2.35,3.97,y,0.0124913445552406673123149145290370328285270421738335721642616,-0.073363797734292177,0.050730988741166307,True,0.0382396441859256396876850854709629671714729578261664278357384
mpmath_taylor_odefun,70,1e-45,40,corner_ll,1.1,2.35,4.74,x,-1.67673746017802246632244087942336764963167247103468282800575,-1.7070195623009676,-1.6660536401302644,True,0.0106838200477580663224408794233676496316724710346828280057506
mpmath_taylor_odefun,70,1e-45,40,corner_ll,1.1,2.35,4.74,y,0.670259380489752723169610918612329825768219201379228785678759,0.65115524795128565,0.6774278488867459,True,0.00716846839699317683038908138767017423178079862077121432124096
mpmath_taylor_odefun,70,1e-45,40,corner_ll,1.1,2.35,6.32,x,0.441804831972533594741993533936771606881163612143785880229816,0.32935059414903739,0.48242614977279946,True,0.0406213178002658652580064660632283931188363878562141197701839
mpmath_taylor_odefun,70,1e-45,40,corner_ll,1.1,2.35,6.32,y,2.54539777737072830945353954449969275172801741875749318496269,2.46007918255104,2.5823748105380391,True,0.0369770331673107905464604555003072482719825812425068150373054
mpmath_taylor_odefun,70,1e-45,40,edge_xmid_ylo,1.25,2.35,3.97,x,-2.00709346918966132214491632082935473824174912095471569315566,-2.0120453511878109,-2.0034332393764056,True,0.00366022981325572214491632082935473824174912095471569315566074
mpmath_taylor_odefun,70,1e-45,40,edge_xmid_ylo,1.25,2.35,3.97,y,0.0398959957199411009086537795583569987107325150339257988686428,-0.073363797734292177,0.050730988741166307,True,0.0108349930212252060913462204416430012892674849660742011313572
mpmath_taylor_odefun,70,1e-45,40,edge_xmid_ylo,1.25,2.35,4.74,x,-1.66881296234377817640648933268028089521468482777070361648818,-1.7070195623009676,-1.6660536401302644,True,0.00275932221351377640648933268028089521468482777070361648818144
mpmath_taylor_odefun,70,1e-45,40,edge_xmid_ylo,1.25,2.35,4.74,y,0.676324973850159616892424941669419701669403489380788129216833,0.65115524795128565,0.6774278488867459,True,0.00110287503658628310757505833058029833059651061921187078316707
mpmath_taylor_odefun,70,1e-45,40,edge_xmid_ylo,1.25,2.35,6.32,x,0.472846621883351238198189205143968979286746645522683081150074,0.32935059414903739,0.48242614977279946,True,0.00957952788944822180181079485603102071325335447731691884992593
mpmath_taylor_odefun,70,1e-45,40,edge_xmid_ylo,1.25,2.35,6.32,y,2.56453451425158124013523392883305786675503429198768783749475,2.46007918255104,2.5823748105380391,True,0.0178402962864578598647660711669421332449657080123121625052523
mpmath_taylor_odefun,70,1e-45,40,corner_hl,1.4,2.35,3.97,x,-2.0091384774264098355792325872526735770953683723308746305215,-2.0120453511878109,-2.0034332393764056,True,0.00290687376140106442076741274732642290463162766912536947850023
mpmath_taylor_odefun,70,1e-45,40,corner_hl,1.4,2.35,3.97,y,0.0159761401499128623312707565245039007463868388552068454944671,-0.073363797734292177,0.050730988741166307,True,0.0347548485912534446687292434754960992536131611447931545055329
mpmath_taylor_odefun,70,1e-45,40,corner_hl,1.4,2.35,4.74,x,-1.67899997365060398891086738871010704842393652611726708685757,-1.7070195623009676,-1.6660536401302644,True,0.0129463335203395889108673887101070484239365261172670868575726
mpmath_taylor_odefun,70,1e-45,40,corner_hl,1.4,2.35,4.74,y,0.670035814770233696646364105200843876312858760248910526099456,0.65115524795128565,0.6774278488867459,True,0.00739203411651220335363589479915612368714123975108947390054395
mpmath_taylor_odefun,70,1e-45,40,corner_hl,1.4,2.35,6.32,x,0.43526802308319639186044708638199715029884006292355543811832,0.32935059414903739,0.48242614977279946,True,0.0471581266896030681395529136180028497011599370764445618816801
mpmath_taylor_odefun,70,1e-45,40,corner_hl,1.4,2.35,6.32,y,2.54154899805045196533537584782502609430202170252826229047263,2.46007918255104,2.5823748105380391,True,0.0408258124875871346646241521749739056979782974717377095273652
mpmath_taylor_odefun,70,1e-45,40,edge_xlo_ymid,1.1,2.4,3.97,x,-2.00644870791847543341254856891756443538876765021895526792057,-2.0120453511878109,-2.0034332393764056,True,0.00301546854206983341254856891756443538876765021895526792056744
mpmath_taylor_odefun,70,1e-45,40,edge_xlo_ymid,1.1,2.4,3.97,y,-0.02469153744517198548794438134567916304405937896379853468741,-0.073363797734292177,0.050730988741166307,True,0.04867226028912019151205561865432083695594062103620146531259
mpmath_taylor_odefun,70,1e-45,40,edge_xlo_ymid,1.1,2.4,4.74,x,-1.68964174634024195799123828320874311175164176594524243383594,-1.7070195623009676,-1.6660536401302644,True,0.0173778159607256420087617167912568882483582340547575661640599
