step,time,endpoint_max_abs,endpoint_max_rel,endpoint_max_ulp,tube_max_abs,tube_max_rel,tube_max_ulp
58,0.58,6.106226635438361e-16,6.582494959422936e-15,38,6.106226635438361e-16,6.612811322621262e-15,38
59,0.59,5.551115123125783e-16,8.441541728872953e-15,70,5.551115123125783e-16,8.494505682642462e-15,70
60,0.6,4.996003610813204e-16,6.88565266604034e-14,511,4.996003610813204e-16,8.6619410226987e-14,577
61,0.61,4.996003610813204e-16,3.2157122075644976e-14,268,4.996003610813204e-16,3.293458718411389e-14,268
62,0.62,5.273559366969494e-16,1.2877717149739265e-13,928,4.996003610813204e-16,7.094360610354572e-14,525
63,0.63,5.273559366969494e-16,7.342343572668843e-14,528,5.273559366969494e-16,8.103734882733813e-14,520
64,0.64,4.996003610813204e-16,3.8606599764542065e-14,254,4.996003610813204e-16,5.752343598794565e-14,262
65,0.65,4.996003610813204e-16,1.3033811224913885e-13,1039,4.996003610813204e-16,3.598548834000645e-14,255
66,0.66,4.996003610813204e-16,9.047615081708047e-14,790,5.273559366969494e-16,9.840439331602667e-14,790
67,0.67,4.85722573273506e-16,2.0924789908065995e-14,116,4.996003610813204e-16,2.0754562154177076e-14,118
68,0.68,4.85722573273506e-16,2.7544193371283507e-12,12584,4.85722573273506e-16,3.516710421756857e-14,224
69,0.6900000000000001,4.85722573273506e-16,5.6164140371325244e-14,413,4.85722573273506e-16,3.556198688461266e-13,3140
70,0.7000000000000001,4.649058915617843e-16,2.6903259844933335e-14,205,4.718447854656915e-16,2.6331168502446237e-14,205
71,0.71,4.579669976578771e-16,2.876915984352964e-13,1345,4.649058915617843e-16,2.281103277905375e-13,1361
72,0.72,4.458239333260394e-16,3.1736410389099244e-14,257,4.579669976578771e-16,1.2992151676634853e-13,733
73,0.73,4.440892098500626e-16,8.792952638573422e-14,667,4.440892098500626e-16,3.327414488829163e-14,253
74,0.74,4.440892098500626e-16,1.6684891303613962e-14,119,4.440892098500626e-16,7.084662314918754e-14,493
75,0.75,4.440892098500626e-16,9.127516027387509e-15,57,4.440892098500626e-16,1.6009011000380468e-14,118
76,0.76,4.440892098500626e-16,6.780766507862606e-15,60,4.440892098500626e-16,9.2739280934726e-15,59
77,0.77,4.440892098500626e-16,4.74549996174026e-15,27,4.440892098500626e-16,6.247690153541162e-15,56
78,0.78,4.440892098500626e-16,4.046605148309555e-15,28,4.440892098500626e-16,4.8731308032476364e-15,28
79,0.79,4.440892098500626e-16,3.327332983651401e-15,27,4.440892098500626e-16,3.871318328734417e-15,27
80,0.8,4.440892098500626e-16,2.587247655917365e-15,12,4.440892098500626e-16,3.0605828204658042e-15,25
81,0.81,8.881784197001252e-16,2.1143000898025722e-15,11,8.881784197001252e-16,2.3582855215766426e-15,11
82,0.8200000000000001,4.440892098500626e-16,1.738731925361706e-15,10,4.440892098500626e-16,2.10392593887317e-15,11
83,0.8300000000000001,6.661338147750939e-16,1.5911851431595899e-15,11,6.661338147750939e-16,1.904293683712034e-15,11
84,0.84,4.440892098500626e-16,1.4699245738326872e-15,10,4.440892098500626e-16,1.584991255983e-15,10
85,0.85,4.440892098500626e-16,1.368528025634763e-15,10,4.440892098500626e-16,1.4647544329736565e-15,10
86,0.86,4.440892098500626e-16,1.300267041314734e-15,10,4.440892098500626e-16,1.3845596933074337e-15,10
87,0.87,4.440892098500626e-16,1.2086262636370114e-15,10,4.440892098500626e-16,1.2787481064113736e-15,10
88,0.88,4.440892098500626e-16,1.1445012303735548e-15,10,4.440892098500626e-16,1.2053678225270004e-15,10
89,0.89,4.440892098500626e-16,1.1003603085740581e-15,5,4.440892098500626e-16,1.0397073095304928e-15,9
90,0.9,4.440892098500626e-16,9.732543825922705e-16,5,4.440892098500626e-16,1.0127319839557328e-15,5
91,0.91,4.440892098500626e-16,9.359213786646348e-16,5,4.440892098500626e-16,9.71370387181241e-16,5
92,0.92,4.440892098500626e-16,7.6411266222559e-16,4,4.440892098500626e-16,7.941039939731694e-16,4
93,0.93,4.440892098500626e-16,7.356819465659021e-16,4,4.440892098500626e-16,7.626820661920112e-16,4
94,0.9400000000000001,6.661338147750939e-16,7.099575736974126e-16,4,6.661338147750939e-16,7.3439096495495e-16,4
95,0.9500000000000001,4.440892098500626e-16,8.5821578865176e-16,5,4.440892098500626e-16,8.859845138690259e-16,5
96,0.96,6.661338147750939e-16,6.652232134849502e-16,4,6.661338147750939e-16,6.855082767280816e-16,4
97,0.97,4.440892098500626e-16,6.45655457015224e-16,4,4.440892098500626e-16,6.64251583101569e-16,4
98,0.98,6.661338147750939e-16,6.276556963918894e-16,4,6.661338147750939e-16,6.447657436117616e-16,4
99,0.99,4.440892098500626e-16,6.110427233007324e-16,4,4.440892098500626e-16,6.268386729483169e-16,4
100,1.0,4.440892098500626e-16,5.956618535709736e-16,4,4.440892098500626e-16,6.102904635839754e-16,4
101,1.01,6.661338147750939e-16,5.813803131430243e-16,4,6.661338147750939e-16,5.949675769021617e-16,4
102,1.02,4.440892098500626e-16,5.680835562307097e-16,4,4.440892098500626e-16,5.807382504612738e-16,4
103,1.03,4.440892098500626e-16,5.556719944656449e-16,4,4.440892098500626e-16,5.674885124558427e-16,4
104,1.04,4.440892098500626e-16,5.440588920419948e-16,4,4.440892098500626e-16,5.551195468435612e-16,4
105,1.05,6.661338147750939e-16,5.3316825875336475e-16,4,6.661338147750939e-16,5.435451529382043e-16,4
106,1.06,6.661338147750939e-16,5.229331682642286e-16,4,6.661338147750939e-16,5.326897242231572e-16,4
107,1.07,6.661338147750939e-16,6.055410126356723e-16,5,6.661338147750939e-16,6.054348851822341e-16,5
108,1.08,6.661338147750939e-16,6.302502286697189e-16,5,6.661338147750939e-16,6.410971656572188e-16,5
109,1.09,6.661338147750939e-16,6.1950414867139795e-16,5,6.661338147750939e-16,6.297629374179526e-16,5
110,1.1,6.661338147750939e-16,5.786953486182279e-16,5,6.661338147750939e-16,5.786102648105765e-16,5
111,1.11,6.661338147750939e-16,4.667899633190595e-16,4,6.661338147750939e-16,4.871204076243341e-16,4
112,1.12,6.661338147750939e-16,4.724035225451017e-16,4,6.661338147750939e-16,4.794194584435996e-16,4
113,1.1300000000000001,6.661338147750939e-16,4.654454772497117e-16,4,6.661338147750939e-16,4.721264517842701e-16,4
114,1.1400000000000001,6.661338147750939e-16,4.5881753350037175e-16,4,6.661338147750939e-16,4.651892985127381e-16,4
115,1.1500000000000001,6.661338147750939e-16,4.4311564517894184e-16,3,6.661338147750939e-16,4.488088978673988e-16,4
116,1.16,6.661338147750939e-16,4.3763872069917657e-16,3,6.661338147750939e-16,4.4307766312197696e-16,3
117,1.17,6.661338147750939e-16,6.609896680771963e-16,3,6.661338147750939e-16,5.577935087232459e-16,5
118,1.18,6.661338147750939e-16,4.3511503324554807e-16,3,6.661338147750939e-16,4.4046170692280246e-16,3
119,1.19,6.661338147750939e-16,4.297948425156357e-16,3,6.661338147750939e-16,4.3492908623687263e-16,3
120,1.2,6.661338147750939e-16,4.246838226698121e-16,3,6.661338147750939e-16,4.2962020290508163e-16,3
121,1.21,6.661338147750939e-16,4.1976787696673506e-16,3,6.661338147750939e-16,4.2451974251063857e-16,3
122,1.22,6.661338147750939e-16,4.1503408702062926e-16,3,6.661338147750939e-16,4.196136928611309e-16,3
123,1.23,6.661338147750939e-16,4.10470533861541e-16,3,6.661338147750939e-16,4.148891488893515e-16,3
124,1.24,6.661338147750939e-16,4.06066263884683e-16,3,6.661338147750939e-16,4.103342674373792e-16,3
125,1.25,8.881784197001252e-16,5.611252210061443e-16,4,8.881784197001252e-16,5.003378960053582e-16,4
126,1.26,8.881784197001252e-16,5.020461591174913e-16,4,8.881784197001252e-16,5.020461591174913e-16,4
127,1.27,8.881784197001252e-16,5.037797869418125e-16,4,8.881784197001252e-16,5.037797869418125e-16,4
128,1.28,8.881784197001252e-16,5.055390953142984e-16,4,8.881784197001252e-16,5.055390953142984e-16,4
129,1.29,8.881784197001252e-16,5.073244154379294e-16,4,8.881784197001252e-16,5.073244154379294e-16,4
130,1.3,8.881784197001252e-16,5.091360941252209e-16,4,8.881784197001252e-16,5.091360941252209e-16,4
131,1.31,8.881784197001252e-16,5.109744941083942e-16,4,8.881784197001252e-16,5.109744941083942e-16,4
132,1.32,8.881784197001252e-16,5.128399941262619e-16,4,8.881784197001252e-16,5.128399941262619e-16,4
133,1.33,8.881784197001252e-16,5.147329894174128e-16,4,8.881784197001252e-16,5.147329894174128e-16,4
134,1.34,8.881784197001252e-16,5.166538920346296e-16,4,8.881784197001252e-16,5.166538920346296e-16,4
135,1.35,8.881784197001252e-16,5.186031311452508e-16,4,8.881784197001252e-16,5.186031311452508e-16,4
136,1.36,8.881784197001252e-16,5.205811532779409e-16,4,8.881784197001252e-16,5.205811532779409e-16,4
137,1.37,8.881784197001252e-16,5.225884230486762e-16,4,8.881784197001252e-16,5.225884230486762e-16,4
138,1.3800000000000001,8.881784197001252e-16,5.2462542323698e-16,4,8.881784197001252e-16,5.2462542323698e-16,4
139,1.3900000000000001,8.881784197001252e-16,5.266926554680403e-16,4,8.881784197001252e-16,5.266926554680403e-16,4
140,1.4000000000000001,8.881784197001252e-16,5.287906406738485e-16,4,8.881784197001252e-16,5.287906406738485e-16,4
141,1.41,8.881784197001252e-16,5.309199204090672e-16,4,8.881784197001252e-16,5.309199204090672e-16,4
142,1.42,8.881784197001252e-16,5.330810557762031e-16,4,8.881784197001252e-16,5.330810557762031e-16,4
143,1.43,8.881784197001252e-16,5.352746285839942e-16,4,8.881784197001252e-16,5.352746285839942e-16,4
144,1.44,8.881784197001252e-16,5.375012421917573e-16,4,8.881784197001252e-16,5.375012421917573e-16,4
145,1.45,8.881784197001252e-16,5.397615221622696e-16,4,8.881784197001252e-16,5.397615221622696e-16,4
146,1.46,8.881784197001252e-16,5.420561166985351e-16,4,8.881784197001252e-16,5.420561166985351e-16,4
147,1.47,8.881784197001252e-16,5.443856978377642e-16,4,8.881784197001252e-16,5.443856978377642e-16,4
148,1.48,8.881784197001252e-16,5.467509616204045e-16,4,8.881784197001252e-16,5.467509616204045e-16,4
149,1.49,8.881784197001252e-16,5.491526292849411e-16,4,8.881784197001252e-16,5.491526292849411e-16,4
150,1.5,8.881784197001252e-16,5.515914482130095e-16,4,8.881784197001252e-16,5.515914482130095e-16,4
151,1.51,8.881784197001252e-16,5.540681922667139e-16,4,8.881784197001252e-16,5.540681922667139e-16,4
152,1.52,8.881784197001252e-16,5.565836632317976e-16,4,8.881784197001252e-16,5.565836632317976e-16,4
153,1.53,8.881784197001252e-16,6.221962768496697e-16,4,8.881784197001252e-16,5.591386917511203e-16,4
154,1.54,8.881784197001252e-16,6.058596303642721e-16,4,8.881784197001252e-16,6.097133361547229e-16,4
155,1.55,1.1102230246251565e-15,7.054636167115796e-16,5,1.1102230246251565e-15,7.054636167115796e-16,5
156,1.56,1.1102230246251565e-15,7.08812351011654e-16,5,1.1102230246251565e-15,7.08812351011654e-16,5
157,1.57,1.1102230246251565e-15,7.122150712049683e-16,5,1.1102230246251565e-15,7.122150712049683e-16,5
158,1.58,1.1102230246251565e-15,7.156730158949144e-16,5,1.1102230246251565e-15,7.156730158949144e-16,5
159,1.59,1.1102230246251565e-15,7.191874685509446e-16,5,1.1102230246251565e-15,7.191874685509446e-16,5
160,1.6,1.1102230246251565e-15,7.227597592803466e-16,5,1.1102230246251565e-15,7.227597592803466e-16,5
161,1.61,1.1102230246251565e-15,7.263912666483421e-16,5,1.1102230246251565e-15,7.263912666483421e-16,5
162,1.62,1.1102230246251565e-15,7.30083781773758e-16,5,1.1102230246251565e-15,7.30083781773758e-16,5
163,1.6300000000000001,1.1102230246251565e-15,7.338384332265676e-16,5,1.1102230246251565e-15,7.338384332265676e-16,5
164,1.6400000000000001,1.1102230246251565e-15,7.376567546962205e-16,5,1.1102230246251565e-15,7.376567546962205e-16,5
165,1.6500000000000001,1.1102230246251565e-15,8.469549620745046e-16,6,1.1102230246251565e-15,8.523909714440898e-16,6
166,1.6600000000000001,1.1102230246251565e-15,9.763559020083013e-16,7,1.1102230246251565e-15,9.763559020083013e-16,7
167,1.67,1.1102230246251565e-15,8.361763690682227e-16,6,1.1102230246251565e-15,8.4156988589927235e-16,6
168,1.68,1.1102230246251565e-15,8.308171568049298e-16,6,1.1102230246251565e-15,8.36191087555632e-16,6
169,1.69,1.1102230246251565e-15,8.254766050859746e-16,6,1.1102230246251565e-15,8.308319804532601e-16,6
170,1.7,1.1102230246251565e-15,8.201537353871254e-16,6,1.1102230246251565e-15,8.254915321442254e-16,6
171,1.71,1.1102230246251565e-15,8.14847620881888e-16,6,1.1102230246251565e-15,8.201687642195901e-16,6
172,1.72,1.1102230246251565e-15,8.095573842265836e-16,6,1.1102230246251565e-15,8.148627499574082e-16,6
173,1.73,1.1102230246251565e-15,8.042821954747371e-16,6,1.1102230246251565e-15,8.095726121083807e-16,6
174,1.74,1.1102230246251565e-15,7.990212701129617e-16,6,1.1102230246251565e-15,8.042975208107756e-16,6
175,1.75,1.3322676295501878e-15,9.412348513397612e-16,6,1.3322676295501878e-15,9.412348513397612e-16,6
176,1.76,1.5543122344752192e-15,1.0940288060772826e-15,7,1.3322676295501878e-15,9.46905699400188e-16,6
177,1.77,1.3322676295501878e-15,1.0372178072878092e-15,8,1.3322676295501878e-15,1.0372178072878092e-15,8
178,1.78,1.3322676295501878e-15,1.0374746690949052e-15,8,1.3322676295501878e-15,1.0444434341937307e-15,8
179,1.79,1.3322676295501878e-15,1.0305414562902527e-15,8,1.3322676295501878e-15,1.037495728664368e-15,8
180,1.8,1.5543122344752192e-15,1.1324828733780557e-15,8,1.5543122344752192e-15,1.1324828733780557e-15,8
181,1.81,1.3322676295501878e-15,1.016716003061838e-15,8,1.3322676295501878e-15,1.0236434287568816e-15,8
182,1.82,1.5543122344752192e-15,1.147195082444161e-15,8,1.5543122344752192e-15,1.147195082444161e-15,8
183,1.83,1.3322676295501878e-15,1.0029408430830884e-15,8,1.3322676295501878e-15,1.0098439750660004e-15,8
184,1.84,1.5543122344752192e-15,1.1502383413178807e-15,8,1.3322676295501878e-15,1.0029624939508375e-15,8
185,1.85,1.3322676295501878e-15,1.112862790461581e-15,9,1.3322676295501878e-15,1.0032017591714985e-15,8
186,1.86,1.5543122344752192e-15,1.1784607033968539e-15,9,1.5543122344752192e-15,1.1784607033968539e-15,9
187,1.87,1.3322676295501878e-15,1.0974640690316233e-15,9,1.3322676295501878e-15,1.1051825537595228e-15,9
188,1.8800000000000001,1.3322676295501878e-15,1.089781102151054e-15,9,1.3322676295501878e-15,1.0974889328035592e-15,9
189,1.8900000000000001,1.3322676295501878e-15,1.0821085017461931e-15,9,1.3322676295501878e-15,1.0898060889487237e-15,9
190,1.9000000000000001,1.5543122344752192e-15,1.2124540168305922e-15,9,1.5543122344752192e-15,1.2124540168305922e-15,9
191,1.9100000000000001,1.5543122344752192e-15,1.2073928417094903e-15,9,1.3322676295501878e-15,1.0744711228714818e-15,9
192,1.92,1.3322676295501878e-15,1.0591493537634416e-15,9,1.3322676295501878e-15,1.066818291671932e-15,9
193,1.93,1.5543122344752192e-15,1.2399661282279966e-15,9,1.5543122344752192e-15,1.2399661282279966e-15,9
194,1.94,1.5543122344752192e-15,1.2495569954617186e-15,9,1.5543122344752192e-15,1.2495569954617186e-15,9
195,1.95,1.5543122344752192e-15,1.2593703935493685e-15,10,1.5543122344752192e-15,1.2593703935493685e-15,9
196,1.96,1.5543122344752192e-15,1.269414336344304e-15,10,1.5543122344752192e-15,1.269414336344304e-15,10
197,1.97,1.5543122344752192e-15,1.2796972314763478e-15,10,1.5543122344752192e-15,1.2796972314763478e-15,10
198,1.98,1.5543122344752192e-15,1.2902279045666097e-15,11,1.5543122344752192e-15,1.2902279045666097e-15,11
199,1.99,1.5543122344752192e-15,1.301015625251962e-15,10,1.5543122344752192e-15,1.301015625251962e-15,10
200,2.0,1.5543122344752192e-15,1.3120701351784293e-15,7,1.5543122344752192e-15,1.3120701351784293e-15,10
201,2.0100000000000002,1.5543122344752192e-15,1.3234016781389541e-15,7,1.5543122344752192e-15,1.3234016781389541e-15,7
202,2.02,1.5543122344752192e-15,1.3350210325491062e-15,7,1.5543122344752192e-15,1.3350210325491062e-15,7
203,2.0300000000000002,1.5543122344752192e-15,1.3469395464745386e-15,7,1.5543122344752192e-15,1.3469395464745386e-15,7
204,2.04,1.5543122344752192e-15,1.3591691754466251e-15,7,1.5543122344752192e-15,1.3591691754466251e-15,7
205,2.05,1.7763568394002505e-15,1.5676828838035186e-15,8,1.7763568394002505e-15,1.5676828838035186e-15,8
206,2.06,1.5543122344752192e-15,1.3846128865188437e-15,7,1.5543122344752192e-15,1.3846128865188437e-15,7
207,2.07,1.5543122344752192e-15,1.3978543018245288e-15,7,1.5543122344752192e-15,1.3978543018245288e-15,7
208,2.08,1.5543122344752192e-15,1.4114615983457046e-15,7,1.5543122344752192e-15,1.4114615983457046e-15,7
209,2.09,1.5543122344752192e-15,1.4254504537869803e-15,7,1.5543122344752192e-15,1.4254504537869803e-15,7
210,2.1,1.5543122344752192e-15,1.4398374556306842e-15,7,1.5543122344752192e-15,1.4398374556306842e-15,7
211,2.11,1.5543122344752192e-15,1.4546401676718323e-15,7,1.5543122344752192e-15,1.4546401676718323e-15,7
212,2.12,1.5543122344752192e-15,1.4698772024699024e-15,7,1.5543122344752192e-15,1.4698772024699024e-15,7
213,2.13,1.5543122344752192e-15,1.485568300339682e-15,7,1.5543122344752192e-15,1.485568300339682e-15,7
214,2.14,1.5543122344752192e-15,1.501734415579359e-15,7,1.5543122344752192e-15,1.501734415579359e-15,7
215,2.15,1.5543122344752192e-15,1.5183978107205453e-15,7,1.5543122344752192e-15,1.5183978107205453e-15,7
216,2.16,1.7763568394002505e-15,1.7253659476474898e-15,8,1.5543122344752192e-15,1.5355821596836526e-15,7
217,2.17,1.7763568394002505e-15,1.5533126608349733e-15,8,1.7763568394002505e-15,1.5533126608349733e-15,8
218,2.18,1.7763568394002505e-15,1.5716161610712914e-15,14,1.5543122344752192e-15,1.5716161610712914e-15,14
219,2.19,1.7763568394002505e-15,1.7041299611974583e-15,15,1.6653345369377348e-15,1.7041299611974583e-15,15
220,2.2,1.5543122344752192e-15,1.6100586576192995e-15,14,1.5543122344752192e-15,1.6100586576192995e-15,14
221,2.21,1.5543122344752192e-15,1.6302609129932771e-15,14,1.5543122344752192e-15,1.6302609129932771e-15,14
222,2.22,1.5543122344752192e-15,1.6511630173301958e-15,14,1.5543122344752192e-15,1.6511630173301958e-15,14
223,2.23,1.6653345369377348e-15,1.79228829708807e-15,15,1.6653345369377348e-15,1.79228829708807e-15,15
224,2.24,1.7763568394002505e-15,1.6952192427970214e-15,14,1.5543122344752192e-15,1.6952192427970214e-15,14
225,2.25,1.6653345369377348e-15,1.8412035241078048e-15,15,1.6653345369377348e-15,1.8412035241078048e-15,15
226,2.2600000000000002,1.7763568394002505e-15,1.9914981641322724e-15,16,1.7763568394002505e-15,1.9914981641322724e-15,16
227,2.27,1.7763568394002505e-15,1.8938377965649218e-15,15,1.7763568394002505e-15,1.8938377965649218e-15,15
228,2.2800000000000002,1.7763568394002505e-15,2.049798339216002e-15,16,1.7763568394002505e-15,2.049798339216002e-15,16
229,2.29,1.7763568394002505e-15,2.0806785723178015e-15,16,1.7763568394002505e-15,2.0806785723178015e-15,16
230,2.3000000000000003,1.7763568394002505e-15,2.112806064271176e-15,16,1.7763568394002505e-15,2.112806064271176e-15,16
231,2.31,1.9984014443252818e-15,2.146258460147228e-15,16,1.7763568394002505e-15,2.146258460147228e-15,16
232,2.32,1.9984014443252818e-15,2.1811199587069338e-15,16,1.7763568394002505e-15,2.1811199587069338e-15,16
233,2.33,2.1094237467877974e-15,2.6332598948465793e-15,19,2.1094237467877974e-15,2.6332598948465793e-15,19
234,2.34,1.9984014443252818e-15,2.5373746642342235e-15,18,1.9984014443252818e-15,2.5373746642342235e-15,18
235,2.35,2.1094237467877974e-15,2.7254488461030358e-15,19,2.1094237467877974e-15,2.7254488461030358e-15,19
236,2.36,1.9984014443252818e-15,2.6286890531063614e-15,18,1.9984014443252818e-15,2.6286890531063614e-15,18
237,2.37,2.220446049250313e-15,2.9750834868512317e-15,20,2.220446049250313e-15,2.9750834868512317e-15,20
238,2.38,2.4424906541753444e-15,3.032024798471361e-15,20,2.4424906541753444e-15,3.032024798471361e-15,20
239,2.39,2.4424906541753444e-15,3.0039650899035076e-15,20,2.4424906541753444e-15,2.937195530029655e-15,19
240,2.4,2.6645352591003757e-15,3.312307315060928e-15,21,2.4424906541753444e-15,3.312307315060928e-15,21
241,2.41,2.4424906541753444e-15,3.4361232688053973e-15,22,2.4424906541753444e-15,3.3816751732219334e-15,21
242,2.42,2.4424906541753444e-15,3.619265442543587e-15,22,2.4424906541753444e-15,3.619265442543587e-15,22
243,2.43,2.4424906541753444e-15,3.700031178598717e-15,22,2.4424906541753444e-15,3.700031178598717e-15,22
244,2.44,2.55351295663786e-15,3.957423107777801e-15,23,2.55351295663786e-15,3.957423107777801e-15,23
245,2.45,2.6645352591003757e-15,4.084085327433246e-15,24,2.6645352591003757e-15,4.051819719051044e-15,23
246,2.46,2.6645352591003757e-15,4.332386117993693e-15,24,2.6645352591003757e-15,4.332386117993693e-15,24
