comparison_kind,flowstar_source_object,torch_source_object,source_objects_match,domain_semantics_match,semantic_comparison_valid,flowstar_x_lo,flowstar_x_hi,flowstar_y_lo,flowstar_y_hi,torch_noqueue_x_lo,torch_noqueue_x_hi,torch_noqueue_y_lo,torch_noqueue_y_hi,torch_v2_x_lo,torch_v2_x_hi,torch_v2_y_lo,torch_v2_y_hi,x_lo_delta,x_hi_delta,y_lo_delta,y_hi_delta,flowstar_width_sum,torch_noqueue_width_sum,torch_v2_width_sum,width_ratio_noqueue_over_flowstar,width_ratio_v2_over_flowstar,includes_target_remainder_match,includes_ordinary_remainder_match,includes_cutoff_poly_diff_match,includes_symbolic_output_width_match,verdict,notes
full_step_tube,Picard_ctrunc_normal_post_poly_diff_validation_candidate,Picard_ctrunc_normal_post_poly_diff_validation_candidate,true,true,true,1.0975301322957665,1.461604968996091,2.2509745318250358,2.4781433092829666,1.097532321924902,1.4616001369967995,2.2510065595898365,2.4780937501462632,1.097532321924902,1.4616001369967995,2.2510065595898365,2.4780937501462632,2.189629135562754e-06,-4.8319992915768495e-06,3.2027764800712788e-05,-4.9559136703347662e-05,0.59124361415825533,0.59115500562832413,0.59115500562832413,0.99985013194593675,0.99985013194593675,true,true,true,true,same_source_x_lo_divergence,
tau_h_endpoint,tau_h_endpoint_of_Picard_ctrunc_normal_post_poly_diff_validation_candidate,tau_h_endpoint_of_Picard_ctrunc_normal_post_poly_diff_validation_candidate,true,true,true,1.1575306267512309,1.4607525275898412,2.2510617072175996,2.4083503405329667,1.158210793227699,1.460069718743217,2.2532107556122885,2.4061837607663756,1.158210793227699,1.460069718743217,2.2532107556122885,2.4061837607663756,0.00068016647646818029,-0.00068280884662419439,0.0021490483946888794,-0.0021665797665910702,0.46051053415397747,0.45483193066960514,0.45483193066960514,0.98766889557737325,0.98766889557737325,true,true,true,true,same_source_x_lo_divergence,
