# component coefficient e_tau e_xlocal e_ylocal e_clocklocal
0 1.6302328990200183 0 0 0 0
0 0.14255444608889009 0 1 0 0
0 1.7232699992171989 1 0 0 0
0 0.20398246718936219 1 0 1 0
0 -2.2434137241655563 2 0 0 0
0 -0.16906671740146706 2 0 1 0
0 -0.47175991129718559 2 1 0 0
0 -0.047404902803118966 2 1 1 0
0 -0.01750994837190991 2 2 0 0
0 -0.66135198816311036 3 0 0 0
0 -0.32261497852932763 3 0 1 0
0 0.4671346826093758 3 1 0 0
0 3.1858111488764278 4 0 0 0
1 1.7232699992171989 0 0 0 0
1 0.20398246718936219 0 0 1 0
1 -4.4868274483311126 1 0 0 0
1 -0.33813343480293412 1 0 1 0
1 -0.94351982259437117 1 1 0 0
1 -0.094809805606237932 1 1 1 0
1 -0.03501989674381982 1 2 0 0
1 -0.0041452848025939123 1 2 1 0
1 -1.9840559644893312 2 0 0 0
1 -0.9678449355879829 2 0 1 0
1 -0.067832111140346443 2 0 2 0
1 1.4014040478281273 2 1 0 0
1 0.056941772204810198 2 1 1 0
1 0.29388679385949967 2 2 0 0
1 12.743244595505711 3 0 0 0
1 2.4273565091322156 3 0 1 0
1 3.4431885601329921 3 1 0 0
1 -2.9423702995862624 4 0 0 0
