state,exponents_x0_y0_tau,flowstar_lo,flowstar_hi,torch_lo,torch_hi,torch_minus_flowstar_lo,torch_minus_flowstar_hi,midpoint_error,error_contains_zero
x,"0,0,0",-6.661338147750956e-16,6.661338147750956e-16,-8.881784197001284e-16,8.881784197001284e-16,-1.554312234475224e-15,1.554312234475224e-15,0.0,True
y,"0,0,0",-4.440892098500644e-16,4.440892098500644e-16,-6.661338147750956e-16,6.661338147750956e-16,-1.1102230246251603e-15,1.1102230246251603e-15,0.0,True
x,"0,0,1",-4.440892098500641e-16,4.440892098500641e-16,-6.661338147750953e-16,6.661338147750953e-16,-1.1102230246251595e-15,1.1102230246251595e-15,0.0,True
y,"0,0,1",-8.88178419700127e-15,1.065814103640152e-14,-2.0428103653102883e-14,2.0428103653102883e-14,-3.108624468950441e-14,2.930988785010416e-14,-8.881784197001252e-16,True
x,"0,0,2",-2.2899322742641526,-2.28993227426414,-2.2899322742641544,-2.2899322742641384,-1.4210854715202007e-14,1.4210854715202007e-14,0.0,True
y,"0,0,2",29.26035956815082,29.260359568150893,29.26035956815082,29.26035956815088,-7.105427357601003e-14,5.684341886080803e-14,-7.105427357601002e-15,True
x,"0,0,3",-3.2779468677644794,-3.2779468677644736,-3.2779468677644776,-3.2779468677644727,-3.996802888650564e-15,6.66133814775094e-15,8.881784197001252e-16,True
y,"0,0,3",-47.13920140213361,-47.13920140213355,-47.1392014021336,-47.13920140213355,-4.973799150320702e-14,5.684341886080803e-14,0.0,True
x,"0,0,4",3.185811148876428,3.1858111488764287,3.1858111488764274,3.1858111488764282,-1.332267629550188e-15,4.440892098500627e-16,-4.440892098500626e-16,True
y,"0,0,4",-2.9423702995862624,-2.9423702995862615,-2.942370299586263,-2.942370299586262,-1.332267629550188e-15,4.440892098500627e-16,-4.440892098500626e-16,True
x,"0,1,0",-7.4e-323,7.4e-323,-7.4e-323,7.4e-323,-1.53e-322,1.53e-322,0.0,True
y,"0,1,0",0.9999999999999991,1.0000000000000018,0.999999999999999,1.0000000000000016,-2.7755575615628917e-15,2.4424906541753448e-15,-2.220446049250313e-16,True
x,"0,1,1",0.9999999999999992,1.0000000000000016,0.9999999999999991,1.0000000000000013,-2.4424906541753448e-15,2.109423746787798e-15,-2.220446049250313e-16,True
y,"0,1,1",0.9999999999999977,1.0000000000000033,0.9999999999999959,1.0000000000000033,-7.43849426498855e-15,5.662137425588299e-15,-8.881784197001252e-16,True
x,"0,1,2",1.828829652523606,1.8288296525236083,1.8288296525236054,1.8288296525236074,-2.8865798640254074e-15,1.332267629550188e-15,-6.661338147750939e-16,True
y,"0,1,2",-2.31840727427269,-2.318407274272684,-2.3184072742726882,-2.318407274272681,-4.440892098500627e-15,8.881784197001254e-15,2.220446049250313e-15,True
x,"0,1,3",-1.5815819024771178,-1.5815819024771174,-1.5815819024771176,-1.5815819024771172,-2.2204460492503136e-16,6.66133814775094e-16,2.220446049250313e-16,True
