file,line,function,primitive_calls,calls,self_seconds,inclusive_seconds_not_additive
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,2385,<genexpr>,3,3,8.030000000000001e-07,9.310000000000001e-07
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/symbolic_remainder.py,722,<genexpr>,3,3,7.47e-07,7.47e-07
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,159,__post_init__,1,1,7.110000000000001e-07,7.110000000000001e-07
~,0,<method 'disable' of '_lsprof.Profiler' objects>,1,1,6.63e-07,6.63e-07
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,2195,<listcomp>,1,1,5.64e-07,5.64e-07
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,2238,<listcomp>,1,1,5.36e-07,5.36e-07
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/tm_vector.py,94,<genexpr>,3,3,5.140000000000001e-07,5.140000000000001e-07
~,0,<method 'get' of '_contextvars.ContextVar' objects>,1,1,4.95e-07,4.95e-07
~,0,<method 'setdefault' of 'dict' objects>,1,1,3.6400000000000003e-07,3.6400000000000003e-07
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,6124,<listcomp>,1,1,3.4300000000000004e-07,3.4300000000000004e-07
/srv/local/shengenli/repaired_solver_performance_20260908T034636Z/repo/src/torch_tm_flowpipe/flowpipe.py,6129,<genexpr>,1,1,2.5000000000000004e-07,2.5000000000000004e-07
