case_name,dim,order,monomial_profile,monomial_count,multiplication_pair_count,batch,operation,implementation,device,dtype,warmup,repeats,status,skip_reason,min_ms,median_ms,mean_ms,samples_per_second,speedup_vs_torch_cpu,output_shape,notes
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,8,tm_affine_map,torch_dense,cuda,float64,1,5,ok,,0.556458719,0.573334284,0.577736832,13953.4652,0.394730131,"tm=(8,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,8,polynomial_add,torch_dense,cuda,float64,1,5,ok,,0.025048852,0.0259494409,0.0278463587,308291.806,0.25722284,"coeffs=(8,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,8,tm_mul_trunc,torch_dense,cuda,float64,1,5,ok,,8.27419106,8.34191497,8.34217407,959.012412,0.423355066,"tm=(8,1,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,8,tm_range_bound,torch_dense,cuda,float64,1,5,ok,,2.10658368,2.11252086,2.11669169,3786.94486,0.400343517,"lo_hi=(8,2)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,8,picard_validate_step,torch_dense,cuda,float64,1,5,ok,,198.670203,198.863431,198.835679,40.228613,0.40005409,"validated_tm=(8,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,8,tm_affine_map,python_scalar_sparse,cpu,float64,1,5,ok,,5.23402821,5.24885114,5.24745677,1524.14305,0.0431165432,interval_objects=16,production sparse Polynomial/TaylorModel reference path
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,8,polynomial_add,python_scalar_sparse,cpu,float64,1,5,ok,,7.50653539,7.52468873,7.53525998,1063.1669,0.000887051828,polynomial_objects=16,production sparse Polynomial/TaylorModel reference path
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,8,tm_mul_trunc,python_scalar_sparse,cpu,float64,1,5,ok,,41.490268,41.5656054,41.61771,192.466822,0.0849642855,polynomial_objects=16,production sparse Polynomial/TaylorModel reference path
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,8,tm_range_bound,python_scalar_sparse,cpu,float64,1,5,ok,,55.6744933,55.8824707,55.8606464,143.157593,0.015134156,taylor_model_objects=16,production sparse Polynomial/TaylorModel reference path
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,8,picard_validate_step,python_scalar_sparse,cpu,float64,1,5,ok,,9689.92024,9710.57006,9709.3833,0.823844527,0.00819273518,tmvector_objects=8,production sparse Polynomial/TaylorModel reference path
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,tm_affine_map,torch_dense,cpu,float64,1,5,ok,,0.218588859,0.226233155,0.230077095,141446.996,1,"tm=(32,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,polynomial_add,torch_dense,cpu,float64,1,5,ok,,0.00701658428,0.00729877502,0.00760518014,4384297.35,1,"coeffs=(32,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,tm_mul_trunc,torch_dense,cpu,float64,1,5,ok,,4.64466773,4.65153251,4.67181262,6879.45316,1,"tm=(32,1,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,tm_range_bound,torch_dense,cpu,float64,1,5,ok,,1.04424264,1.04629621,1.04748644,30584.0733,1,"lo_hi=(32,2)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,picard_validate_step,torch_dense,cpu,float64,1,5,ok,,99.694402,99.8633094,99.8883016,320.438009,1,"validated_tm=(32,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,tm_affine_map,torch_dense,cuda,float64,1,5,ok,,0.537590124,0.550097786,0.552499108,58171.4757,0.411259889,"tm=(32,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,polynomial_add,torch_dense,cuda,float64,1,5,ok,,0.0235000625,0.0243745744,0.0251613557,1312843.43,0.299442152,"coeffs=(32,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,tm_mul_trunc,torch_dense,cuda,float64,1,5,ok,,7.91959837,7.9487022,7.96299353,4025.81443,0.585193959,"tm=(32,1,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,tm_range_bound,torch_dense,cuda,float64,1,5,ok,,2.01518182,2.01963633,2.02977527,15844.4367,0.518061689,"lo_hi=(32,2)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,picard_validate_step,torch_dense,cuda,float64,1,5,ok,,199.766831,200.005334,201.556972,159.995733,0.499303231,"validated_tm=(32,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,tm_affine_map,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,polynomial_add,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,tm_mul_trunc,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,tm_range_bound,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,32,picard_validate_step,python_scalar_sparse,cpu,float64,1,5,skipped,batch exceeds max_scalar_batch=8,,,,,,,existing sparse object path is intentionally capped to avoid runaway diagnostic time
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,tm_affine_map,torch_dense,cpu,float64,1,5,ok,,0.220947899,0.228415243,0.231786445,210143.593,1,"tm=(48,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,polynomial_add,torch_dense,cpu,float64,1,5,ok,,0.00717863441,0.00907387584,0.0114440918,5289911.48,1,"coeffs=(48,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,tm_mul_trunc,torch_dense,cpu,float64,1,5,ok,,5.35181444,5.36100566,5.3656837,8953.54398,1,"tm=(48,1,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,tm_range_bound,torch_dense,cpu,float64,1,5,ok,,1.17251091,1.1733016,1.17497016,40910.1973,1,"lo_hi=(48,2)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,picard_validate_step,torch_dense,cpu,float64,1,5,ok,,111.51943,111.899783,111.824458,428.955256,1,"validated_tm=(48,2,35)",
vdp_nvars3_order4,2,4,vdp_tau_plus_two_generators,35,210,48,tm_affine_map,torch_dense,cuda,float64,1,5,ok,,0.534403138,0.54814294,0.5458951,87568.3996,0.416707444,"tm=(48,2,35)",
