step,time,channel,flowstar_lo,flowstar_hi,flowstar_width,legacy_lo,legacy_hi,legacy_width,legacy_excess,legacy_ratio,legacy_width_increment,legacy_excess_increment,candidate_lo,candidate_hi,candidate_width,candidate_excess,candidate_ratio,candidate_width_increment,candidate_excess_increment,candidate_width_reduction_vs_legacy
1,0.01,endpoint_x,1.1233097182976843,1.4244225119339453,0.301112793636261,1.1234168579141735,1.4243153549019467,0.30089849698777327,-0.00021429664848771068,0.9992883176901923,0.0008984969877732785,-0.00021429664848771068,1.1234168579141735,1.4243153549019467,0.30089849698777327,-0.00021429664848771068,0.9992883176901923,0.30089849698777327,-0.00021429664848771068,0.0
1,0.01,endpoint_y,2.311664291358734,2.434298058178654,0.12263376681992,2.312314245043018,2.433648536212411,0.1213342911693931,-0.0012994756505269045,0.9894036064925323,0.021334291169393088,-0.0012994756505269045,2.312314245043018,2.433648536212411,0.1213342911693931,-0.0012994756505269045,0.9894036064925323,0.1213342911693931,-0.0012994756505269045,0.0
1,0.01,segment_tube_x,1.0993097056396248,1.4245550681839452,0.32524536254432035,1.0993087672378825,1.4245559891701776,0.32524722193229505,1.8593879747008657e-06,1.0000057168777448,0.02524722193229506,1.8593879747008657e-06,1.0993087672378825,1.4245559891701776,0.32524722193229505,1.8593879747008657e-06,1.0000057168777448,0.32524722193229505,1.8593879747008657e-06,0.0
1,0.01,segment_tube_y,2.3116590217343096,2.4610649331786534,0.1494059114443438,2.311648456567026,2.4610759300639784,0.1494274734969525,2.156205260872568e-05,1.000144318604266,0.049427473496952506,2.156205260872568e-05,2.311648456567026,2.4610759300639784,0.1494274734969525,2.156205260872568e-05,1.000144318604266,0.1494274734969525,2.156205260872568e-05,0.0
2,0.02,endpoint_x,1.1463431164287508,1.448566150802123,0.3022230343733723,1.1464501005045302,1.448466743220258,0.3020166427157278,-0.00020639165764446687,0.9993170882620764,0.0011181457279545448,7.904990843243809e-06,1.1464501005035335,1.448466764916033,0.3020166644124995,-0.00020636996087275428,0.9993171600526722,0.0011181674247262574,7.926687614956407e-06,-2.1696771712598206e-08
2,0.02,endpoint_y,2.2724661522317584,2.416508500955514,0.14404234872375543,2.2730951438938103,2.416347131657433,0.1432519877636227,-0.000790360960132741,0.9945129958853386,0.021917696594229596,0.0005091146903941635,2.2730951346067685,2.4163493058727097,0.1432541712659412,-0.000788177457814232,0.9945281546378711,0.021919880096548106,0.0005112981927126725,-2.1835023185090563e-06
2,0.02,segment_tube_x,1.1226107177825237,1.44870624101504,0.3260955232325162,1.122607636621552,1.4487168986699264,0.3261092620483743,1.3738815858088671e-05,1.0000421312617906,0.0008620401160792657,1.1879427883387805e-05,1.122607625640234,1.4487169205158714,0.32610929487563745,1.3771643121218702e-05,1.0000422319294195,0.0008620729433423957,1.1912255146517836e-05,-3.2827263130030815e-08
2,0.02,segment_tube_y,2.2724600705092985,2.44477669537337,0.1723166248640715,2.2722150945538337,2.445489293692805,0.17327419913897124,0.0009575742748997307,1.0055570626203658,0.02384672564201873,0.000936012222291005,2.2722150700683494,2.445491490562084,0.17327642049373448,0.0009597956296629739,1.0055699537431173,0.023848946996781972,0.0009382335770542483,-2.221354763243255e-06
50,0.5,endpoint_x,1.8669072881199875,2.049649358714694,0.18274207059470648,1.8645861518016813,2.049970001996464,0.18538385019478265,0.002641779600076166,1.014456329576867,-0.0032920893298824527,0.00014153051755694257,1.8646010581615917,2.0499687968277387,0.18536773866614698,0.00262566807144049,1.0143681641720248,-0.0032923175306014407,0.00014130231683795458,1.611152863567611e-05
50,0.5,endpoint_y,0.22156767209522935,0.6173287529493494,0.3957610808541201,0.21505448662369464,0.6114239972058537,0.3963695105821591,0.0006084297280389839,1.0015373662481564,-0.007498214961167204,-0.00019988741751086891,0.21507261896068333,0.6114218908439508,0.3963492718832675,0.0005881910291474224,1.0014862275691132,-0.007497677592802843,-0.00019935004914650722,2.023869889156149e-05
