channel,threshold,mode,first_step,first_time,ratio
endpoint_x,1.1,legacy,98,0.98,1.1014040574318127
endpoint_x,1.1,candidate,98,0.98,1.1011151965520014
endpoint_x,1.5,legacy,343,3.43,1.5017568365688476
endpoint_x,1.5,candidate,343,3.43,1.5007469576986328
endpoint_x,2.0,legacy,365,3.65,2.0426370366761484
endpoint_x,2.0,candidate,365,3.65,2.0408522528810225
endpoint_x,5.0,legacy,388,3.88,5.140268244542934
endpoint_x,5.0,candidate,388,3.88,5.133695359522726
endpoint_y,1.1,legacy,134,1.34,1.1018456483906447
endpoint_y,1.1,candidate,134,1.34,1.1015932456070603
endpoint_y,1.5,legacy,306,3.06,1.5196338559200582
endpoint_y,1.5,candidate,306,3.06,1.518608770181855
endpoint_y,2.0,legacy,315,3.15,2.085105340068994
endpoint_y,2.0,candidate,315,3.15,2.082871516199566
endpoint_y,5.0,legacy,536,5.36,5.012109472110098
endpoint_y,5.0,candidate,536,5.36,5.002276217308071
segment_tube_x,1.1,legacy,100,1.0,1.1011186386824114
segment_tube_x,1.1,candidate,100,1.0,1.1008342695310407
segment_tube_x,1.5,legacy,349,3.49,1.502290106677801
segment_tube_x,1.5,candidate,349,3.49,1.5013377046883865
segment_tube_x,2.0,legacy,368,3.68,2.037292340231183
segment_tube_x,2.0,candidate,368,3.68,2.035559312248666
segment_tube_x,5.0,legacy,389,3.89,5.047481911231647
segment_tube_x,5.0,candidate,389,3.89,5.041094204936409
segment_tube_y,1.1,legacy,118,1.18,1.1003694160011634
segment_tube_y,1.1,candidate,118,1.18,1.1002037760806875
segment_tube_y,1.5,legacy,308,3.08,1.5069796507564288
segment_tube_y,1.5,candidate,308,3.08,1.5060403265601614
segment_tube_y,2.0,legacy,315,3.15,2.0493503348305913
segment_tube_y,2.0,candidate,315,3.15,2.047261390418129
segment_tube_y,5.0,legacy,575,5.75,5.0132080074767
segment_tube_y,5.0,candidate,575,5.75,5.002719561371584
