channel,minimum_step,relative_step,step,time,lower,upper,width,lower_17e,upper_17e,width_17e,lower_hex,upper_hex,width_hex,lower_decimal,upper_decimal,width_decimal,exact_zero,binary64_zero,subnormal,below_1e_16,below_1e_12,below_1e_9
endpoint_x,397,-20,377,3.77,-1.9753120765711683,-1.9354795526203608,0.0398325239508075,-1.97531207657116825e+00,-1.93547955262036075e+00,3.98325239508074969e-02,-0x1.f9ae0d60445b2p+0,-0x1.ef7b968494c6fp+0,0x1.464edb75f2860p-5,-1.9753120765711683,-1.9354795526203608,0.0398325239508075,False,False,False,False,False,False
endpoint_x,397,-19,378,3.7800000000000002,-1.9797662455097462,-1.9419247772939545,0.03784146821579171,-1.97976624550974623e+00,-1.94192477729395452e+00,3.78414682157917071e-02,-0x1.fad1f5ee3066bp+0,-0x1.f121fb71c505bp+0,0x1.35ff4f8d6c200p-5,-1.9797662455097462,-1.9419247772939545,0.0378414682157917,False,False,False,False,False,False
endpoint_x,397,-18,379,3.79,-1.983895640804659,-1.9480027361095138,0.03589290469514528,-1.98389564080465908e+00,-1.94800273610951380e+00,3.58929046951452779e-02,-0x1.fbe095afeed76p+0,-0x1.f2b04eac1bdf9p+0,0x1.2608e07a5efa0p-5,-1.9838956408046591,-1.9480027361095138,0.0358929046951453,False,False,False,False,False,False
endpoint_x,397,-17,380,3.8000000000000003,-1.9877086820332637,-1.9537214373398186,0.03398724469344505,-1.98770868203326367e+00,-1.95372143733981862e+00,3.39872446934450512e-02,-0x1.fcda79e74ee1ap+0,-0x1.f427168ede5edp+0,0x1.166c6b0e105a0p-5,-1.9877086820332637,-1.9537214373398186,0.0339872446934451,False,False,False,False,False,False
endpoint_x,397,-16,381,3.81,-1.9912137021001026,-1.9590889627243016,0.03212473937580107,-1.99121370210010262e+00,-1.95908896272430155e+00,3.21247393758010702e-02,-0x1.fdc02e61ddf58p+0,-0x1.f586dab0dafe0p+0,0x1.072a76205ef00p-5,-1.9912137021001026,-1.9590889627243016,0.0321247393758010,False,False,False,False,False,False
endpoint_x,397,-15,382,3.8200000000000003,-1.9944189604238751,-1.964113416781384,0.03030554364249105,-1.99441896042387512e+00,-1.96411341678138407e+00,3.03055436424910507e-02,-0x1.fe923db18af90p+0,-0x1.f6d0230ab5fb1p+0,0x1.f086a9b53f7c0p-6,-1.9944189604238751,-1.9641134167813841,0.0303055436424910,False,False,False,False,False,False
endpoint_x,397,-14,383,3.83,-1.997332615698783,-1.9688029193860455,0.028529696312737496,-1.99733261569878295e+00,-1.96880291938604546e+00,2.85296963127374958e-02,-0x1.ff5130b7a9109p+0,-0x1.f80377d7084abp+0,0x1.d36e382831780p-6,-1.997332615698783,-1.9688029193860455,0.0285296963127375,False,False,False,False,False,False
endpoint_x,397,-13,384,3.84,-1.9999627180756132,-1.9731655816541798,0.026797136421433443,-1.99996271807561321e+00,-1.97316558165417977e+00,2.67971364214334429e-02,-0x1.fffd8e835aa18p+0,-0x1.f921612acc2a4p+0,0x1.b70b56239dd00p-6,-1.9999627180756132,-1.9731655816541798,0.0267971364214334,False,False,False,False,False,False
endpoint_x,397,-12,385,3.85,-2.002317194306875,-1.9772094918085807,0.025107702498294415,-2.00231719430687516e+00,-1.97720949180858074e+00,2.51077024982944152e-02,-0x1.004bee08e21cep+1,-0x1.fa2a66b8a89c4p+0,0x1.9b5d5646e7600p-6,-2.0023171943068752,-1.9772094918085807,0.0251077024982945,False,False,False,False,False,False
endpoint_x,397,-11,386,3.86,-2.0044038407327083,-1.9809426954726614,0.023461145260046834,-2.00440384073270828e+00,-1.98094269547266144e+00,2.34611452600468340e-02,-0x1.00904e17f63e4p+1,-0x1.fb1f0f7c4e1f8p+0,0x1.80632ce797400p-6,-2.0044038407327083,-1.9809426954726614,0.0234611452600469,False,False,False,False,False,False
endpoint_x,397,-10,387,3.87,-2.006230315875103,-1.984373179139248,0.021857136735854876,-2.00623031587510292e+00,-1.98437317913924804e+00,2.18571367358548763e-02,-0x1.00cc27ad76b25p+1,-0x1.fbffe173766e4p+0,0x1.661b79ddbd980p-6,-2.0062303158751029,-1.984373179139248,0.0218571367358549,False,False,False,False,False,False
endpoint_x,397,-9,388,3.88,-2.00780412760739,-1.9875088613843193,0.020295266223070874,-2.00780412760739013e+00,-1.98750886138431926e+00,2.02952662230708736e-02,-0x1.00ffb9c46c7c9p+1,-0x1.fccd617827e5bp+0,0x1.4c84842c44dc0p-6,-2.0078041276073901,-1.9875088613843193,0.0202952662230708,False,False,False,False,False,False
