event_name,threshold,step_index,t,width_ratio_vs_flowstar,tube_prefix_ratio,leading_component,raw_residual_vs_right_map,notes
width_ratio_gt_1_1,1.1000000000000001,48,0.90651094330482829,1.1035025400929366,1.0014635639699925,full_step_tube_relative_ratio,neither_growth,threshold crossing row from h5 divergence width-growth ledger plus compat component replay
width_ratio_gt_1_5,1.5,92,3.0235741944970576,1.5513085996398646,0.98201974793950786,polynomial_range,right_map_range,threshold crossing row from h5 divergence width-growth ledger plus compat component replay
width_ratio_gt_2_0,2,127,3.6851867809205943,2.1358225056343265,1.0004825055699327,right_map_range,right_map_range,threshold crossing row from h5 divergence width-growth ledger plus compat component replay
