mode,reset_mode,schedule,requested_horizon,returncode,status,completed_horizon,completed_requested_horizon,accepted_steps,rejected_attempts,runtime_s,matrix_elapsed_s,peak_rss_bytes,endpoint_x_width,endpoint_y_width,segment_x_width,segment_y_width,fallback_count,active_variables,term_count,message,relative_output
g1,normalized_insertion_bounded_source_ledger_o4_g1,fixed,0.1,0,completed,0.1,True,10,0,6.213373258011416,8.31356173500535,421412864,0.3034710283753961,0.3019518367906755,0.32499862822814873,0.3475255985275627,0,"[0, 1, 2, 3]",6,,fixed/g1/T0p1
g1,normalized_insertion_bounded_source_ledger_o4_g1,fixed,0.5,0,completed,0.5,True,50,0,35.373069004010176,37.84950645000208,433254400,0.1853677386661472,0.39634927188326774,0.19014117517448081,0.451823046819936,0,"[0, 1, 2, 3]",6,,fixed/g1/T0p5
g1,normalized_insertion_bounded_source_ledger_o4_g1,fixed,1.0,0,completed,1.0,True,100,0,71.32438185199862,74.43451886100229,451993600,0.0879321664098851,0.11427955189409278,0.09219770101344604,0.128552124264036,0,"[0, 1, 2, 3]",6,,fixed/g1/T1
g1,normalized_insertion_bounded_source_ledger_o4_g1,fixed,2.0,0,completed,2.0,True,200,0,133.60649072399247,137.82321758099715,488669184,0.07972211766900728,0.06292242956882665,0.08965908120687627,0.07109970084543493,0,"[0, 1, 2, 3]",6,,fixed/g1/T2
g1,normalized_insertion_bounded_source_ledger_o4_g1,fixed,3.0,0,completed,3.0,True,300,0,200.61970353400102,206.10195661499165,527990784,0.18714935076644568,0.15576388608688863,0.21262445032413457,0.17266856705570577,0,"[0, 1, 2, 3]",6,,fixed/g1/T3
g1,normalized_insertion_bounded_source_ledger_o4_g1,fixed,6.32,0,completed,6.32,True,632,0,445.011234065023,453.96910672000377,659001344,0.9145217686135039,1.585357251108877,0.9400500868090608,1.6035691038498716,0,"[0, 1, 2, 3]",6,,fixed/g1/T6p32
g2,normalized_insertion_bounded_shared_source_o4_g2,fixed,0.1,0,completed,0.1,True,10,0,11.528320059005637,13.456280279002385,474222592,0.3034709845714554,0.3019512785919798,0.3249985871116976,0.3475250813445452,0,"[0, 1, 2, 3, 4, 5]",18,,fixed/g2/T0p1
g2,normalized_insertion_bounded_shared_source_o4_g2,fixed,0.5,0,completed,0.5,True,50,0,64.01371113100322,66.42462375198375,483291136,0.1853665963644211,0.3963455227522297,0.19014003255699485,0.45181909031631373,0,"[0, 1, 2, 3, 4, 5]",19,,fixed/g2/T0p5
g2,normalized_insertion_bounded_shared_source_o4_g2,fixed,1.0,0,completed,1.0,True,100,0,129.45210730901454,132.37967845599633,497135616,0.08792943232767136,0.11427719845243633,0.0921949662936663,0.12854963994349944,0,"[0, 1, 2, 3, 4, 5]",17,,fixed/g2/T1
g2,normalized_insertion_bounded_shared_source_o4_g2,fixed,2.0,0,completed,2.0,True,200,0,234.93088624000666,239.01753782798187,531189760,0.07971633214059115,0.06291738327753815,0.08965329545130785,0.07109460453846783,0,"[0, 1, 2, 3, 4, 5]",14,,fixed/g2/T2
