rank,mode,run_kind,segment_index,t_lo,t_hi,h,target_margin_min,final_segment_width_sum,tube_prefix_width_sum,had_prior_rejection,accepted_rejected
1,range_midpoint_adaptive_h10,range_midpoint adaptive,53,1.1300531783465306,1.1910872506835912,0.061034072337060589,2.348822293214421e-08,0.24564733518684384,4.0323700420342572,false,accepted
2,range_midpoint_adaptive_h10,range_midpoint adaptive,135,4.0122069141246373,4.0491397437914918,0.036932829666854308,1.0405469784489745e-07,0.46302300766076504,9.3493834878142046,false,accepted
3,range_midpoint_adaptive_h10,range_midpoint adaptive,63,1.6469331774970029,1.7260865099637273,0.079153332466724513,7.3679614692312835e-07,0.22709179786648426,4.277821425783026,false,accepted
4,constant_adaptive_h10,constant adaptive,203,5.4536048763707532,5.4771453511216812,0.023540474750928464,9.0837879836650609e-07,0.89113122033855374,9.3638214692448969,false,accepted
5,range_midpoint_adaptive_h10,range_midpoint adaptive,126,3.7838467433693204,3.8151729935722596,0.031326250202939117,1.1069335502507068e-06,0.65273756762651025,9.3195915098120636,false,accepted
6,range_midpoint_adaptive_h10,range_midpoint adaptive,29,0.43677646366378969,0.46156254643209432,0.024786082768304608,1.3061032199940389e-06,0.79804990285581878,3.1080389736440495,false,accepted
7,constant_adaptive_h10,constant adaptive,123,3.6015744066467761,3.6251102820809904,0.023535875434214207,2.0019740902242633e-06,0.84260669879163641,9.2127840510537737,false,accepted
8,range_midpoint_adaptive_h10,range_midpoint adaptive,40,0.67882702533279449,0.71418581874543208,0.035358793412637569,2.0611459770947439e-06,0.4989055541572805,3.6694972646874993,false,accepted
9,constant_adaptive_h10,constant adaptive,77,2.3024976084359356,2.3776437705154296,0.075146162079494025,2.8533243139041499e-06,0.41412888728250552,5.2712509150101621,false,accepted
10,range_midpoint_adaptive_h10,range_midpoint adaptive,97,3.2036267052838743,3.2352233178827374,0.031596612598863136,2.9880716870832774e-06,0.47131409244269074,8.4162655556835091,false,accepted
