tool,repeat,segments,wall_seconds,solver_excluding_serialization_seconds,segment_median_seconds,peak_cuda_memory_bytes
torch,1,200,526.775983097963,526.7625779481605,2.6333016878925264,927533568
torch,2,200,526.1057616472244,526.0925125693902,2.6289728432893753,927533568
torch,3,200,525.8754555601627,525.8621637467295,2.628242114558816,927533568
torch,4,200,525.0204454632476,525.006981600076,2.6274574198760092,927533568
torch,5,200,522.5884620407596,522.5751626873389,2.6172014879994094,927533568
xiangru,1,200,1.089861680753529,1.0334850857034326,0.005071996245533228,6471680
xiangru,2,200,1.0911087561398745,1.0349279018118978,0.005084347445517778,6471680
xiangru,3,200,1.0838101394474506,1.0277682403102517,0.005064282566308975,6471680
xiangru,4,200,1.091232132166624,1.0349359204992652,0.005082792602479458,6471680
xiangru,5,200,1.0892794886603951,1.0330818332731724,0.0050735194236040115,6471680
