pass_kind,category,plant,step,history_length,seconds,step_seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events
wall,A,brusselator,995,994,0.049656232353299856,1.280610994901508,134,5,0,0
wall,B,brusselator,995,994,0.0018514101393520832,1.280610994901508,3,0,0,0
wall,C,brusselator,995,994,0.01675348822027445,1.280610994901508,7,24,0,0
wall,D,brusselator,995,994,0.22672703070566058,1.280610994901508,142,1772,0,0
wall,E,brusselator,995,994,0.081081282813102,1.280610994901508,93,1438,0,0
wall,F,brusselator,995,994,0.0023603769950568676,1.280610994901508,5,4,0,0
wall,G,brusselator,995,994,0.41788818128407,1.280610994901508,30,3996,0,0
wall,H,brusselator,995,994,0.0036814729683101177,1.280610994901508,1,34,0,0
wall,outside_boundary,brusselator,995,994,0.4806115194223821,1.280610994901508,0,125,0,0
counts,A,brusselator,995,994,0.19460344687104225,6.145809989888221,134,5,12405,1576
counts,B,brusselator,995,994,0.004168304149061441,6.145809989888221,3,0,328,0
counts,C,brusselator,995,994,0.07348949182778597,6.145809989888221,7,24,5040,102
counts,D,brusselator,995,994,1.0642879125662148,6.145809989888221,142,1772,72186,7356
counts,E,brusselator,995,994,0.4296380435116589,6.145809989888221,93,1438,30778,6046
counts,F,brusselator,995,994,0.012133731972426176,6.145809989888221,5,4,852,20
counts,G,brusselator,995,994,2.4697753940708935,6.145809989888221,30,3996,196439,15984
counts,H,brusselator,995,994,0.0166924218647182,6.145809989888221,1,34,1064,136
counts,outside_boundary,brusselator,995,994,1.8810212430544198,6.145809989888221,0,125,122234,11802
