step,category,operation,calls
1001,outside_boundary,aten.lift_fresh.default,558
1001,outside_boundary,aten.clone.default,11717
1001,outside_boundary,aten.view.default,1413
1001,outside_boundary,aten.isnan.default,442
1001,outside_boundary,aten.any.default,1178
1001,outside_boundary,aten._local_scalar_dense.default,12331
1001,outside_boundary,aten.gt.Tensor,536
1001,outside_boundary,aten.eq.Scalar,321
1001,outside_boundary,aten.all.default,6491
1001,outside_boundary,aten.zeros_like.default,2023
1001,outside_boundary,aten.add.Tensor,2162
1001,outside_boundary,aten.ne.Scalar,1110
1001,outside_boundary,aten.ones.default,317
1001,outside_boundary,aten.mul.Tensor,7711
1001,outside_boundary,aten.zeros.default,133
1001,A,aten.lift_fresh.default,10
1001,A,aten.sum.dim_IntList,1
1001,A,aten.view.default,1477
1001,A,aten.empty.memory_format,6
1001,A,aten.zeros.default,1
1001,A,aten.empty_like.default,1
1001,A,aten.select.int,34
1001,A,aten.copy_.default,8
1001,A,aten.stack.default,2
1001,A,aten.clone.default,1569
1001,A,aten.le.Tensor,3
1001,A,aten.all.default,2929
1001,A,aten._local_scalar_dense.default,3112
1001,outside_boundary,aten.slice.Tensor,5855
1001,outside_boundary,aten.select.int,7464
1001,outside_boundary,aten.allclose.default,486
1001,outside_boundary,aten.full_like.default,5788
1001,outside_boundary,aten.le.Tensor,5723
1001,outside_boundary,aten.index_select.default,1744
1001,outside_boundary,aten.le.Scalar,607
1001,outside_boundary,aten.index.Tensor,12
1001,outside_boundary,aten.bitwise_not.default,15
1001,outside_boundary,aten.cat.default,638
1001,outside_boundary,aten.unique_dim.default,2
1001,outside_boundary,aten.expand.default,168
1001,outside_boundary,aten.scatter_add_.default,93
1001,outside_boundary,aten.ones_like.default,756
1001,outside_boundary,aten.max.default,756
1001,outside_boundary,aten.detach.default,3034
1001,outside_boundary,aten.abs.default,3855
1001,outside_boundary,aten.minimum.default,723
1001,outside_boundary,aten.maximum.default,941
1001,outside_boundary,aten.ge.Scalar,971
1001,outside_boundary,aten.bitwise_and.Tensor,987
1001,outside_boundary,aten.pow.Tensor_Scalar,9886
1001,outside_boundary,aten.stack.default,4812
1001,outside_boundary,aten.min.dim,3552
1001,outside_boundary,aten.max.dim,3552
1001,outside_boundary,aten.where.self,3007
1001,outside_boundary,aten.nextafter.default,5775
1001,outside_boundary,aten.unsqueeze.default,614
1001,outside_boundary,aten.sum.dim_IntList,735
1001,outside_boundary,aten.sub.Tensor,800
1001,outside_boundary,aten.eq.Tensor,1150
1001,outside_boundary,aten.arange.default,147
1001,outside_boundary,aten.min.default,189
1001,outside_boundary,aten.nonzero.default,189
1001,outside_boundary,aten.lt.Tensor,315
1001,outside_boundary,aten.unbind.int,1556
1001,outside_boundary,aten.ge.Tensor,326
1001,outside_boundary,aten.all.dim,337
1001,outside_boundary,aten.count_nonzero.default,315
1001,outside_boundary,aten.clamp.default,126
1001,outside_boundary,aten.pow.Tensor_Tensor,378
1001,outside_boundary,aten._to_copy.default,126
1001,outside_boundary,aten.copy_.default,331
1001,outside_boundary,aten.full.default,84
1001,outside_boundary,aten.scatter_reduce_.two,84
1001,outside_boundary,aten.empty.memory_format,92
1001,outside_boundary,aten.set_.source_Storage,92
1001,outside_boundary,aten.new_empty.default,46
1001,outside_boundary,aten.set_.source_Storage_storage_offset,46
1001,outside_boundary,aten.div.Tensor,9
1001,C,aten.abs.default,153
1001,C,aten.ne.Scalar,153
1001,C,aten.eq.Tensor,159
1001,C,aten.mul.Tensor,393
1001,C,aten.all.default,159
1001,C,aten._local_scalar_dense.default,237
1001,B,aten.lift_fresh.default,14
1001,B,aten.expand.default,2
1001,B,aten.sum.dim_IntList,1
1001,B,aten.view.default,5
1001,B,aten.empty.memory_format,5
1001,B,aten.slice.Tensor,5
1001,B,aten.select.int,1
1001,B,aten.unsqueeze.default,3
1001,B,aten.pow.Tensor_Tensor,1
1001,B,aten.mul.Tensor,77
1001,B,aten.detach.default,2
1001,B,aten.zeros.default,1
1001,B,aten.scatter_add_.default,1
1001,C,aten.lift_fresh.default,129
1001,C,aten.expand.default,1
1001,C,aten.detach.default,4
1001,C,aten.gt.Tensor,30
1001,C,aten.any.default,78
1001,C,aten.slice.Tensor,68
1001,C,aten.select.int,246
1001,C,aten.lt.Tensor,3
1001,C,aten.bitwise_or.Tensor,63
1001,C,aten.unsqueeze.default,24
1001,C,aten.ones_like.default,18
1001,C,aten.stack.default,68
1001,C,aten.amin.default,60
1001,C,aten.full_like.default,274
1001,C,aten.nextafter.default,274
1001,C,aten.amax.default,60
1001,C,aten.eq.Scalar,776
1001,C,aten.bitwise_and.Tensor,391
1001,C,aten.where.self,662
1001,C,aten.zeros_like.default,235
1001,C,aten.index.Tensor,84
1001,C,aten.add.Tensor,154
1001,C,aten.view.default,100
1001,C,aten.index_put_.default,42
1001,C,aten.neg.default,6
1001,C,aten.cat.default,14
1001,C,aten.zeros.default,3
1001,C,aten.clone.default,102
1001,C,aten.le.Tensor,5
1001,C,aten.ge.Tensor,1
1001,A,aten.detach.default,166
1001,A,aten.unbind.int,4
1001,A,aten.isnan.default,10
1001,A,aten.any.default,15
1001,A,aten.gt.Tensor,5
1001,A,aten.ne.Scalar,168
1001,A,aten.eq.Scalar,2926
1001,A,aten.zeros_like.default,1463
1001,A,aten.add.Tensor,1463
1001,B,aten.ones_like.default,4
1001,B,aten.zeros_like.default,76
1001,B,aten.add.Tensor,76
1001,B,aten.pow.Tensor_Scalar,72
1001,C,aten.isnan.default,48
1001,D,aten.zeros.default,292
1001,D,aten.clone.default,38220
1001,D,aten.view.default,19118
1001,D,aten.isnan.default,19110
1001,D,aten.any.default,28665
1001,D,aten._local_scalar_dense.default,28665
1001,D,aten.gt.Tensor,9555
1001,D,aten.add.Tensor,4202
1001,D,aten.full_like.default,14086
1001,D,aten.nextafter.default,14086
1001,D,aten.mul.Tensor,12140
1001,D,aten.stack.default,3786
1001,D,aten.min.dim,3786
1001,D,aten.max.dim,3786
1001,D,aten.zeros_like.default,1156
1001,D,aten.abs.default,4624
1001,D,aten.minimum.default,1156
1001,D,aten.maximum.default,1156
1001,D,aten.le.Scalar,1156
1001,D,aten.ge.Scalar,1156
1001,D,aten.bitwise_and.Tensor,1156
1001,D,aten.pow.Tensor_Scalar,3814
1001,D,aten.where.self,1156
1001,H,aten.add.Tensor,50
1001,H,aten.full_like.default,90
1001,H,aten.nextafter.default,90
1001,H,aten.clone.default,136
1001,H,aten.view.default,72
1001,H,aten.isnan.default,68
1001,H,aten.any.default,102
1001,H,aten._local_scalar_dense.default,198
1001,H,aten.gt.Tensor,34
1001,H,aten.sub.Tensor,30
1001,H,aten.detach.default,96
1001,H,aten.lift_fresh.default,48
1001,H,aten.abs.default,44
1001,H,aten.ne.Scalar,44
1001,H,aten.eq.Tensor,44
1001,H,aten.mul.Tensor,68
1001,F,aten.detach.default,162
1001,F,aten._local_scalar_dense.default,178
1001,G,aten.lift_fresh.default,26
1001,G,aten.abs.default,137
1001,G,aten.ne.Scalar,137
1001,G,aten.eq.Tensor,137
1001,G,aten.mul.Tensor,157
1001,G,aten._local_scalar_dense.default,253
1001,G,aten.all.default,150
1001,G,aten.view.default,86
1001,G,aten.stack.default,24
1001,G,aten.sub.Tensor,27
1001,G,aten.full_like.default,41
1001,G,aten.nextafter.default,41
1001,G,aten.le.Tensor,18
1001,G,aten.ge.Tensor,9
1001,G,aten.bitwise_and.Tensor,9
1001,G,aten.empty.memory_format,3
1001,G,aten.clone.default,83
1001,E,aten.detach.default,408
1001,E,aten._local_scalar_dense.default,2513
1001,G,aten.isnan.default,40
1001,G,aten.any.default,62
1001,G,aten.gt.Tensor,20
1001,G,aten.min.dim,6
1001,G,aten.max.dim,6
1001,G,aten.zeros.default,4
1001,G,aten.detach.default,68
1001,E,aten.zeros_like.default,1068
1001,E,aten.add.Tensor,1360
1001,E,aten.clone.default,2174
1001,E,aten.view.default,976
1001,E,aten.eq.Scalar,16
1001,E,aten.all.default,486
1001,E,aten.zeros.default,48
1001,E,aten.isnan.default,938
1001,E,aten.any.default,1407
1001,E,aten.gt.Tensor,469
1001,E,aten.mul.Tensor,1800
1001,E,aten.lift_fresh.default,442
1001,E,aten.abs.default,908
1001,E,aten.le.Tensor,470
1001,E,aten.stack.default,91
1001,E,aten.min.dim,91
1001,E,aten.full_like.default,776
1001,E,aten.nextafter.default,776
1001,E,aten.max.dim,91
1001,E,aten.sub.Tensor,302
1001,E,aten.ne.Scalar,414
1001,E,aten.eq.Tensor,414
1001,D,aten.lift_fresh.default,624
1001,E,aten.equal.default,40
1001,H,aten.div.Tensor,2
1001,F,aten.lift_fresh.default,89
1001,F,aten.clone.default,20
1001,F,aten.view.default,16
1001,F,aten.eq.Scalar,8
1001,F,aten.all.default,8
1001,F,aten.neg.default,2
1001,F,aten.abs.default,128
1001,F,aten.ne.Scalar,77
1001,F,aten.eq.Tensor,75
1001,F,aten.mul.Tensor,75
1001,F,aten.sub.Tensor,63
1001,F,aten.full_like.default,6
1001,F,aten.nextafter.default,6
1001,F,aten.zeros.default,6
1001,F,aten.max.default,53
1001,G,aten.add.Tensor,6
1001,G,aten.le.Scalar,2
1001,G,aten.ge.Scalar,2
1001,G,aten.reciprocal.default,4
1001,F,aten.isnan.default,8
1001,F,aten.any.default,14
1001,F,aten.gt.Tensor,4
1001,F,aten.ones.default,2
1001,H,aten.eq.Scalar,4
1001,H,aten.all.default,4
1001,H,aten.zeros.default,8
1001,H,aten.stack.default,6
1001,H,aten.min.dim,6
1001,H,aten.max.dim,6
