run_id,segment_index,t_lo,t_hi,x_lo,x_hi,y_lo,y_hi,h,order,reset_box_source
flowstar_style_o6_candidate8_output6_keep4,0,0,0.050000000000000003,1.2152073421903087,1.5176151700730418,2.1485662817375037,2.3525640646972352,0.050000000000000003,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,1,0.050000000000000003,0.125,1.3692055558743783,1.6807310213970075,1.7943622835788919,2.1409624348714127,0.075000000000000011,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,2,0.125,0.17499999999999999,1.4550799962634968,1.7809363082997465,1.5355050783245565,1.9672764765015416,0.050000000000000003,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,3,0.17499999999999999,0.21249999999999999,1.5103822744574369,1.8506347937113987,1.3364886265147051,1.8261496713037897,0.037500000000000006,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,4,0.21249999999999999,0.26874999999999999,1.5803776220320955,1.9440001465294252,1.0435704194953568,1.6027884677017359,0.056250000000000008,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,5,0.26874999999999999,0.31093749999999998,1.6215952994381944,2.0063672732567777,0.83219320033009347,1.4342397990277718,0.042187500000000003,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,6,0.31093749999999998,0.34257812499999996,1.6464334776153493,2.0488571906620909,0.68104698683860199,1.310083589595876,0.031640625000000006,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,7,0.34257812499999996,0.39003906249999998,1.6756128318748971,2.1047822450735487,0.47186978047614481,1.128261369176158,0.047460937500000008,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,8,0.39003906249999998,0.42563476562499997,1.690813859683862,2.1416235388193705,0.32815504788220434,0.99896982626632591,0.035595703125000003,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,9,0.42563476562499997,0.47902832031249998,1.7051067980987165,2.1880246843384032,0.13809196567729995,0.8157891577462395,0.053393554687500004,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,10,0.47902832031249998,0.519073486328125,1.709067167715268,2.2171565249058607,0.013260611894679378,0.6898467767845482,0.040045166015625001,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,11,0.519073486328125,0.57914123535156248,1.7067920249753339,2.2514779379807512,-0.14370387168100082,0.51666682502304551,0.060067749023437506,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,12,0.57914123535156248,0.62419204711914056,1.6988647602427032,2.2712870082185748,-0.24178785918767703,0.40095767703652996,0.045050811767578129,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,13,0.62419204711914056,0.65798015594482417,1.6899729392992158,2.2831020501517774,-0.30538911823742482,0.32163651521727249,0.033788108825683595,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,14,0.65798015594482417,0.70866231918334954,1.6730302308990435,2.2959542612269845,-0.38531318962491262,0.21243203255461274,0.050682163238525396,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,15,0.70866231918334954,0.74667394161224354,1.6576443756452373,2.3023661350036018,-0.43538946930633254,0.13844564109669452,0.038011622428894047,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,16,0.74667394161224354,0.80369137525558465,1.6312964958009346,2.3070496914203811,-0.4959219502344791,0.037441224130459326,0.057017433643341067,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,17,0.80369137525558465,0.84645445048809043,1.6092908353172111,2.3071717192771812,-0.53257059439984544,-0.030334615296874919,0.042763075232505804,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,18,0.84645445048809043,0.87852675691246973,1.5917749449809409,2.3054913993579373,-0.55924811776010086,-0.073891780275813737,0.032072306424379353,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,19,0.87852675691246973,0.9266352165490388,1.5639272822653552,2.3005628945513377,-0.59770691399068765,-0.12981915146763276,0.048108459636569026,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,20,0.9266352165490388,0.96271656127646554,1.5418403155252085,2.2952441103495569,-0.62609601381928348,-0.16459725599821262,0.036081344727426773,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,21,0.96271656127646554,1.0168385783676057,1.5068118612691885,2.2851375897164026,-0.66751650398362095,-0.20807347294562917,0.054122017091140159,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,22,1.0168385783676057,1.0574300911859609,1.4790720344896355,2.2761673664779578,-0.69874504682696914,-0.23372994770990821,0.040591512818355116,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,23,1.0574300911859609,1.0878737257997273,1.4574331827652769,2.2688132685106694,-0.72245830201137218,-0.24945900579949293,0.030443634613766337,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,24,1.0878737257997273,1.1335391777203767,1.4236183074212505,2.2569729583290008,-0.7579514833150971,-0.2691482839136744,0.045665451920649504,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,25,1.1335391777203767,1.1677882666608639,1.3971828328805289,2.2475697405746375,-0.78537411004719093,-0.28015029794713697,0.03424908894048713,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,26,1.1677882666608639,1.1934750833662293,1.3767334988690907,2.2402964049924976,-0.80652142309964148,-0.28639173060663575,0.025686816705365347,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,27,1.1934750833662293,1.2320053084242772,1.3450309748055513,2.2291258891216676,-0.83864023462771875,-0.29376552746366041,0.038530225058048019,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,28,1.2320053084242772,1.2609029772178133,1.3204285831048519,2.2205958252163067,-0.86375009681024628,-0.29692050040483492,0.028897668793536016,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,29,1.2609029772178133,1.3042494804081173,1.2821418203761614,2.207680988287736,-0.90232064979029825,-0.29949049927283444,0.043346503190304024,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,30,1.3042494804081173,1.3367593578008452,1.2523029549946489,2.197968634455886,-0.93299263725018877,-0.29846486314895437,0.032509877392728016,6,normalized_endpoint_reset_box
flowstar_style_o6_candidate8_output6_keep4,31,1.3367593578008452,1.3611417658453913,1.2292565102018362,2.1907260253883778,-0.95713600787798825,-0.29598056681994128,0.024382408044546014,6,normalized_endpoint_reset_box
