run_id,mode,order,candidate_order,output_order,truncation_range_split,validation_mode,cutoff_threshold,target_remainder_radius,center_correction_width_factor,selective_high_degree_terms_top_k,selective_retained_terms_count,selective_dropped_terms_count,selective_nonretained_terms_count,selective_dropped_remainder_width_sum,selective_total_dropped_width_sum,segment_index,status,validation_attempts,t_lo,t_hi,h,x_lo,x_hi,y_lo,y_hi,width_x,width_y,width_sum,step_rejections,next_h,message
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,2.3208202076619571e-06,8.3414033430045768e-06,0,validated,1,0,0.050000000000000003,0.050000000000000003,1.2152073421903087,1.5176151700730418,2.1485662817375037,2.3525640646972352,0.30240782788273313,0.20399778295973148,0.5064056108424646,1,0.075000000000000011,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,2.3418590683660592e-05,7.1833985718851637e-05,1,validated,1,0.050000000000000003,0.125,0.075000000000000011,1.3692055558743783,1.6807310213970075,1.7943622835788919,2.1409624348714127,0.31152546552262916,0.34660015129252075,0.65812561681514992,0,0.10000000000000001,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,6.4011392542288538e-06,1.8950957912616727e-05,2,validated,1,0.125,0.17499999999999999,0.050000000000000003,1.4550799962634968,1.7809363082997465,1.5355050783245565,1.9672764765015416,0.32585631203624965,0.43177139817698507,0.75762771021323472,1,0.075000000000000011,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,3.3511228980827024e-06,7.7534198308630812e-06,3,validated,1,0.17499999999999999,0.21249999999999999,0.037500000000000006,1.5103822744574369,1.8506347937113987,1.3364886265147051,1.8261496713037897,0.34025251925396183,0.48966104478908457,0.82991356404304639,1,0.056250000000000008,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,2.3002478576779484e-05,4.9501070377314198e-05,4,validated,1,0.21249999999999999,0.26874999999999999,0.056250000000000008,1.5803776220320955,1.9440001465294252,1.0435704194953568,1.6027884677017359,0.36362252449732968,0.5592180482063791,0.92284057270370878,0,0.084375000000000006,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,7.8886312057976651e-06,2.0149784090057628e-05,5,validated,1,0.26874999999999999,0.31093749999999998,0.042187500000000003,1.6215952994381944,2.0063672732567777,0.83219320033009347,1.4342397990277718,0.3847719738185833,0.60204659869767829,0.98681857251626159,1,0.063281250000000011,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,2.7194249621552699e-06,8.3619558797929688e-06,6,validated,1,0.31093749999999998,0.34257812499999996,0.031640625000000006,1.6464334776153493,2.0488571906620909,0.68104698683860199,1.310083589595876,0.40242371304674163,0.62903660275727402,1.0314603158040156,1,0.047460937500000008,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,1.5361715821163687e-05,4.4886112798186011e-05,7,validated,1,0.34257812499999996,0.39003906249999998,0.047460937500000008,1.6756128318748971,2.1047822450735487,0.47186978047614481,1.128261369176158,0.42916941319865165,0.65639158870001324,1.085561001898665,0,0.071191406250000006,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,6.2204648415217924e-06,1.9476931072721917e-05,8,validated,1,0.39003906249999998,0.42563476562499997,0.035595703125000003,1.690813859683862,2.1416235388193705,0.32815504788220434,0.99896982626632591,0.45080967913550851,0.67081477838412162,1.1216244575196301,1,0.053393554687500004,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,3.6440541937341767e-05,0.00010002203530549616,9,validated,1,0.42563476562499997,0.47902832031249998,0.053393554687500004,1.7051067980987165,2.1880246843384032,0.13809196567729995,0.8157891577462395,0.48291788623968679,0.67769719206893952,1.1606150783086262,0,0.080090332031250003,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,1.3021003388749428e-05,4.0389488028650799e-05,10,validated,1,0.47902832031249998,0.519073486328125,0.040045166015625001,1.709067167715268,2.2171565249058607,0.013260611894679378,0.6898467767845482,0.50808935719059267,0.67658616488986878,1.1846755220804615,1,0.060067749023437506,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,7.3000771716536065e-05,0.00019426777042236393,11,validated,1,0.519073486328125,0.57914123535156248,0.060067749023437506,1.7067920249753339,2.2514779379807512,-0.14370387168100082,0.51666682502304551,0.54468591300541735,0.66037069670404636,1.2050566097094637,0,0.090101623535156258,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,2.5742627448380787e-05,7.4976631456808373e-05,12,validated,1,0.57914123535156248,0.62419204711914056,0.045050811767578129,1.6988647602427032,2.2712870082185748,-0.24178785918767703,0.40095767703652996,0.5724222479758716,0.64274553622420694,1.2151677842000785,1,0.06757621765136719,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,7.298782202744425e-06,3.0396370366407317e-05,13,validated,1,0.62419204711914056,0.65798015594482417,0.033788108825683595,1.6899729392992158,2.2831020501517774,-0.30538911823742482,0.32163651521727249,0.59312911085256159,0.62702563345469731,1.2201547443072589,1,0.050682163238525396,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,4.2661185730274087e-05,0.00012845635458509167,14,validated,1,0.65798015594482417,0.70866231918334954,0.050682163238525396,1.6730302308990435,2.2959542612269845,-0.38531318962491262,0.21243203255461274,0.62292403032794108,0.59774522217952542,1.2206692525074665,0,0.076023244857788094,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,1.3935896554994516e-05,5.2574663825732747e-05,15,validated,1,0.70866231918334954,0.74667394161224354,0.038011622428894047,1.6576443756452373,2.3023661350036018,-0.43538946930633254,0.13844564109669452,0.64472175935836451,0.57383511040302704,1.2185568697613915,1,0.057017433643341067,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,6.4144832775328529e-05,0.00021509340453462425,16,validated,1,0.74667394161224354,0.80369137525558465,0.057017433643341067,1.6312964958009346,2.3070496914203811,-0.4959219502344791,0.037441224130459326,0.67575319561944647,0.53336317436493841,1.2091163699843848,0,0.085526150465011608,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,2.3091447116447703e-05,8.3862534182447141e-05,17,validated,1,0.80369137525558465,0.84645445048809043,0.042763075232505804,1.6092908353172111,2.3071717192771812,-0.53257059439984544,-0.030334615296874919,0.69788088395997017,0.50223597910297058,1.2001168630629406,1,0.064144612848758706,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,8.2393423686288597e-06,3.3777670533883665e-05,18,validated,1,0.84645445048809043,0.87852675691246973,0.032072306424379353,1.5917749449809409,2.3054913993579373,-0.55924811776010086,-0.073891780275813737,0.71371645437699649,0.48535633748428714,1.1990727918612836,1,0.048108459636569026,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,3.5462748703882482e-05,0.000127721060031144,19,validated,1,0.87852675691246973,0.9266352165490388,0.048108459636569026,1.5639272822653552,2.3005628945513377,-0.59770691399068765,-0.12981915146763276,0.73663561228598251,0.46788776252305486,1.2045233748090374,0,0.072162689454853546,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,1.3226788073823218e-05,5.2373473594068457e-05,20,validated,1,0.9266352165490388,0.96271656127646554,0.036081344727426773,1.5418403155252085,2.2952441103495569,-0.62609601381928348,-0.16459725599821262,0.75340379482434838,0.46149875782107086,1.2149025526454191,1,0.054122017091140159,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,6.1028234562942575e-05,0.00020578119322507197,21,validated,1,0.96271656127646554,1.0168385783676057,0.054122017091140159,1.5068118612691885,2.2851375897164026,-0.66751650398362095,-0.20807347294562917,0.77832572844721404,0.45944303103799178,1.2377687594852058,0,0.081183025636710232,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,2.4892798584298019e-05,8.7526831497062395e-05,22,validated,1,1.0168385783676057,1.0574300911859609,0.040591512818355116,1.4790720344896355,2.2761673664779578,-0.69874504682696914,-0.23372994770990821,0.79709533198832228,0.46501509911706096,1.2621104311053832,1,0.060887269227532674,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,1.1296827804015156e-05,3.8144201739867114e-05,23,validated,1,1.0574300911859609,1.0878737257997273,0.030443634613766337,1.4574331827652769,2.2688132685106694,-0.72245830201137218,-0.24945900579949293,0.81138008574539255,0.47299929621187925,1.2843793819572717,1,0.045665451920649504,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,4.5582260561511235e-05,0.00014661632953714989,24,validated,1,1.0878737257997273,1.1335391777203767,0.045665451920649504,1.4236183074212505,2.2569729583290008,-0.7579514833150971,-0.2691482839136744,0.83335465090775029,0.48880319940142269,1.3221578503091731,0,0.068498177880974259,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,2.0653254218277089e-05,6.4603195487558383e-05,25,validated,1,1.1335391777203767,1.1677882666608639,0.03424908894048713,1.3971828328805289,2.2475697405746375,-0.78537411004719093,-0.28015029794713697,0.85038690769410863,0.50522381210005396,1.3556107197941625,1,0.051373633410730694,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,7.7365494971783689e-06,2.9055044753361416e-05,26,validated,1,1.1677882666608639,1.1934750833662293,0.025686816705365347,1.3767334988690907,2.2402964049924976,-0.80652142309964148,-0.28639173060663575,0.86356290612340691,0.52012969249300567,1.3836925986164126,1,0.038530225058048019,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,3.6992502771902664e-05,0.000107977559602591,27,validated,1,1.1934750833662293,1.2320053084242772,0.038530225058048019,1.3450309748055513,2.2291258891216676,-0.83864023462771875,-0.29376552746366041,0.88409491431611631,0.54487470716405828,1.4289696214801746,0,0.057795337587072032,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,1.3986281729701217e-05,4.897977311576974e-05,28,validated,1,1.2320053084242772,1.2609029772178133,0.028897668793536016,1.3204285831048519,2.2205958252163067,-0.86375009681024628,-0.29692050040483492,0.90016724211145482,0.56682959640541131,1.4669968385168661,1,0.043346503190304024,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,6.810230463717812e-05,0.00018684014247126221,29,validated,1,1.2609029772178133,1.3042494804081173,0.043346503190304024,1.2821418203761614,2.207680988287736,-0.90232064979029825,-0.29949049927283444,0.92553916791157453,0.6028301505174638,1.5283693184290383,0,0.065019754785456033,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,2.6118147975044042e-05,8.5903537625447085e-05,30,validated,1,1.3042494804081173,1.3367593578008452,0.032509877392728016,1.2523029549946489,2.197968634455886,-0.93299263725018877,-0.29846486314895437,0.94566567946123703,0.6345277741012344,1.5801934535624715,1,0.048764816089092028,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,1.0038619127402386e-05,4.0198531764937047e-05,31,validated,1,1.3367593578008452,1.3611417658453913,0.024382408044546014,1.2292565102018362,2.1907260253883778,-0.95713600787798825,-0.29598056681994128,0.96146951518654156,0.66115544105804691,1.6226249562445885,1,0.036573612066819021,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,4.7463189991982815e-05,0.00014681589907353015,32,validated,1,1.3611417658453913,1.3977153779122102,0.036573612066819021,1.1935600390529166,2.1800060390772007,-0.99448998664406674,-0.29084226062310847,0.98644600002428406,0.70364772602095826,1.6900937260452422,0,0.054860418100228528,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,1.848572438378761e-05,6.9540083928045532e-05,33,validated,1,1.3977153779122102,1.4251455869623244,0.027430209050114264,1.1658678974779719,2.1721190575998039,-1.0242993968594503,-0.28467081970339192,1.006251160121832,0.73962857715605834,1.7458797372778903,1,0.041145313575171399,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,8.9004390926116663e-05,0.00026042364610738588,34,validated,1,1.4251455869623244,1.4662909005374958,0.041145313575171399,1.1227534702828563,2.1606527358250429,-1.0709599496578657,-0.27351581022057742,1.0378992655421866,0.7974441394372882,1.8353434049794748,0,0.061717970362757099,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,3.5348702544819792e-05,0.00012564864350243394,35,validated,1,1.4662909005374958,1.4971498857188743,0.03085898518137855,1.0891152807857858,2.1524016164710478,-1.1088310312701564,-0.26183674009226082,1.063286335685262,0.8469942911778956,1.9102806268631576,1,0.046288477772067821,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,1.4121505555944614e-05,6.1517194396817031e-05,36,validated,1,1.4971498857188743,1.5202941246049082,0.02314423888603391,1.0630989945424358,2.1464718420901026,-1.1390796716121203,-0.25102454753913994,1.0833728475476667,0.88805512407298037,1.9714279716206471,1,0.034716358329050866,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,6.547411800792009e-05,0.00021952563362096368,37,validated,1,1.5202941246049082,1.555010482933959,0.034716358329050866,1.0227241280109216,2.1380815242908269,-1.186548198499177,-0.23309453354506529,1.1153573962799053,0.95345366495411177,2.0688110612340171,0,0.052074537493576295,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,2.6661001662290119e-05,0.00010933053269906529,38,validated,1,1.555010482933959,1.5810477516807473,0.026037268746788148,0.99132512168656373,2.1322341981752415,-1.2250084019495102,-0.21660601629539053,1.1409090764886778,1.0084023856541198,2.1493114621427978,1,0.039055903120182221,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,8.5891631558777228e-06,5.5143272773490546e-05,39,validated,1,1.5810477516807473,1.6005757032408383,0.019527951560091111,0.96710157606316161,2.1281475403234644,-1.2556563735795927,-0.20234087736113543,1.1610459642603028,1.0533154962184572,2.2143614604787603,1,0.029291927340136664,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,3.994286779745374e-05,0.00018753331660933975,40,validated,1,1.6005757032408383,1.6298676305809749,0.029291927340136664,0.92961199196707467,2.1225684997764933,-1.3037373756761019,-0.17928018826573583,1.1929565078094186,1.1244571874103662,2.317413695219785,0,0.043937891010204996,
flowstar_style_o6_candidate8_output6_keep4,flowstar_style,6,8,6,,target_remainder,,0.0001,,4,8,57,49,1.578723136726971e-05,9.6040392713559502e-05,41,validated,1,1.6298676305809749,1.6518365760860774,0.021968945505102498,0.90054131589712305,2.1188563478562803,-1.3425327034054499,-0.15914884513976066,1.2183150319591571,1.1833838582656893,2.4016988902248464,1,0.032953418257653744,
