artifact,batch,cold_s,completed,device,device_group,host_synchronizations,lane,matrix_position,mode,peak_memory_bytes,requested_horizon,solver_device_transfers,source_sha,steps,validated_horizon,warm_max_s,warm_median_s,warm_min_s,warm_s
raw/fixed_object_baseline/trace_committed_4bb/cuda_v100_b8_t1p0/summary.json,8,13.194699082523584,True,cuda:0,cuda_v100,100,cuda_v100_b8_t1p0,12,object_eager_trace,23068672,1.0,0,4bb10d54b29dad2b47c5f91ddedafe854a52fac6,100,1.0,13.595109322108328,13.034047780558467,12.808932717889547,"[12.888936586678028, 13.034047780558467, 13.225077262148261, 13.595109322108328, 12.808932717889547]"
raw/fixed_object_baseline/trace_committed_4bb/cpu_b8_t1p0/summary.json,8,4.99853968527168,True,cpu,cpu,100,cpu_b8_t1p0,13,object_eager_trace,403382272,1.0,0,4bb10d54b29dad2b47c5f91ddedafe854a52fac6,100,1.0,7.563468145206571,5.189515915699303,5.048560508526862,"[5.048560508526862, 7.563468145206571, 6.4514707531780005, 5.133957619778812, 5.189515915699303]"
raw/fixed_object_baseline/trace_committed_4bb/cpu_b64_t1p0/summary.json,64,5.364287663251162,True,cpu,cpu,100,cpu_b64_t1p0,14,object_eager_trace,409997312,1.0,0,4bb10d54b29dad2b47c5f91ddedafe854a52fac6,100,1.0,5.410449896007776,5.395140205509961,5.381710045970976,"[5.395140205509961, 5.381710045970976, 5.410449896007776, 5.390595602802932, 5.3967208145186305]"
raw/fixed_object_baseline/trace_committed_4bb/cuda_v100_b64_t1p0/summary.json,64,13.306966767646372,True,cuda:0,cuda_v100,100,cuda_v100_b64_t1p0,15,object_eager_trace,27262976,1.0,0,4bb10d54b29dad2b47c5f91ddedafe854a52fac6,100,1.0,13.42411024775356,12.957013343460858,12.860408116132021,"[13.385180708952248, 13.42411024775356, 12.957013343460858, 12.86099152918905, 12.860408116132021]"
raw/fixed_object_baseline/trace_committed_4bb/cuda_v100_b256_t1p0/summary.json,256,13.107190719805658,True,cuda:0,cuda_v100,100,cuda_v100_b256_t1p0,16,object_eager_trace,39845888,1.0,0,4bb10d54b29dad2b47c5f91ddedafe854a52fac6,100,1.0,17.155788181349635,13.059237168170512,12.830825339071453,"[17.155788181349635, 12.830825339071453, 12.857204525731504, 13.059237168170512, 16.53934808447957]"
raw/fixed_object_baseline/trace_committed_4bb/cpu_b256_t1p0/summary.json,256,6.5446447832509875,True,cpu,cpu,100,cpu_b256_t1p0,17,object_eager_trace,425852928,1.0,0,4bb10d54b29dad2b47c5f91ddedafe854a52fac6,100,1.0,6.9014545530080795,6.856875258497894,6.720939837396145,"[6.815707414411008, 6.9014545530080795, 6.720939837396145, 6.856875258497894, 6.901368114165962]"
raw/fixed_object_baseline/trace_committed_4bb/cpu_b512_t1p0/summary.json,512,8.42233051918447,True,cpu,cpu,100,cpu_b512_t1p0,18,object_eager_trace,448671744,1.0,0,4bb10d54b29dad2b47c5f91ddedafe854a52fac6,100,1.0,8.572066597640514,8.261525548063219,8.105686354450881,"[8.342495801858604, 8.572066597640514, 8.261525548063219, 8.125832201913, 8.105686354450881]"
raw/fixed_object_baseline/trace_committed_4bb/cuda_v100_b512_t1p0/summary.json,512,13.231927383691072,True,cuda:0,cuda_v100,100,cuda_v100_b512_t1p0,19,object_eager_trace,48234496,1.0,0,4bb10d54b29dad2b47c5f91ddedafe854a52fac6,100,1.0,13.028798240236938,12.98098534438759,12.962479012086987,"[12.962479012086987, 12.969561408273876, 12.98098534438759, 13.020731153897941, 13.028798240236938]"
raw/fixed_object_baseline/trace_committed_4bb/cuda_v100_b64_t10p0/summary.json,64,127.67153498437256,True,cuda:0,cuda_v100,1000,cuda_v100_b64_t10p0,20,object_eager_trace,69206016,10.0,0,4bb10d54b29dad2b47c5f91ddedafe854a52fac6,1000,10.0,128.48032466322184,127.23356948886067,127.03363705426455,"[127.19282354321331, 127.23356948886067, 127.89265836961567, 128.48032466322184, 127.03363705426455]"
raw/fixed_object_baseline/trace_committed_4bb/cpu_b64_t10p0/summary.json,64,66.36844881717116,True,cpu,cpu,1000,cpu_b64_t10p0,21,object_eager_trace,461410304,10.0,0,4bb10d54b29dad2b47c5f91ddedafe854a52fac6,1000,10.0,99.52496743109077,75.59288198128343,67.13171242084354,"[67.13171242084354, 68.28995762951672, 75.59288198128343, 99.52496743109077, 76.2899364111945]"
