batch,device,lane,peak_memory_bytes,process_max_rss_kib,steps
1,cpu,object_eager,406589440,,10
1,cuda:0,object_eager,23068672,,10
8,cuda:0,object_eager,23068672,,10
8,cpu,object_eager,403726336,,10
64,cpu,object_eager,404398080,,10
64,cuda:0,object_eager,23068672,,10
256,cuda:0,object_eager,25165824,,10
256,cpu,object_eager,406540288,,10
512,cpu,object_eager,409944064,,10
512,cuda:0,object_eager,27262976,,10
1,cpu,object_eager,404332544,,100
1,cuda:0,object_eager,23068672,,100
8,cuda:0,object_eager,23068672,,100
8,cpu,object_eager,403382272,,100
64,cpu,object_eager,409997312,,100
64,cuda:0,object_eager,27262976,,100
256,cuda:0,object_eager,39845888,,100
256,cpu,object_eager,425852928,,100
512,cpu,object_eager,448671744,,100
512,cuda:0,object_eager,48234496,,100
64,cuda:0,object_eager,69206016,,1000
64,cpu,object_eager,461410304,,1000
1,cpu,compiled_empirical,,1665128,1000
64,cpu,compiled_empirical,,1781164,1000
1,cuda:0,compiled_empirical,8685568,2071152,10
64,cuda:0,compiled_empirical,295716352,2115892,1000
8,cuda:0,compiled_empirical,264663552,2110752,10
