stage,source_callsite,input_shapes,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,percent_of_total_host_sync
sin_tm,<stack-unavailable>:0:unknown,[[]],26,26,26,9.66542750929368
remainder_picard_round_01,<stack-unavailable>:0:unknown,[[]],20,20,20,7.434944237918216
remainder_picard_round_02,<stack-unavailable>:0:unknown,[[]],20,20,20,7.434944237918216
remainder_picard_round_03,<stack-unavailable>:0:unknown,[[]],20,20,20,7.434944237918216
remainder_picard_round_04,<stack-unavailable>:0:unknown,[[]],20,20,20,7.434944237918216
remainder_picard_round_05,<stack-unavailable>:0:unknown,[[]],20,20,20,7.434944237918216
remainder_picard_round_06,<stack-unavailable>:0:unknown,[[]],20,20,20,7.434944237918216
remainder_picard_round_07,<stack-unavailable>:0:unknown,[[]],20,20,20,7.434944237918216
remainder_picard_round_08,<stack-unavailable>:0:unknown,[[]],20,20,20,7.434944237918216
remainder_picard_round_09,<stack-unavailable>:0:unknown,[[]],20,20,20,7.434944237918216
remainder_picard_round_10,<stack-unavailable>:0:unknown,[[]],20,20,20,7.434944237918216
initial_remainder_picard,<stack-unavailable>:0:unknown,[[]],18,18,18,6.691449814126394
affine_composition,<stack-unavailable>:0:unknown,[[]],5,5,5,1.858736059479554
final_acceptance_property_decision,<stack-unavailable>:0:unknown,[[]],4,4,4,1.486988847583643
unscoped,<stack-unavailable>:0:unknown,[[]],4,4,4,1.486988847583643
exact_endpoint_substitution,<stack-unavailable>:0:unknown,[[]],3,3,3,1.1152416356877324
composed_exact_endpoint_substitution,<stack-unavailable>:0:unknown,[[]],3,3,3,1.1152416356877324
endpoint_projection,<stack-unavailable>:0:unknown,[[]],3,3,3,1.1152416356877324
full_q3_step,<stack-unavailable>:0:unknown,[[]],2,2,2,0.7434944237918215
composed_acceptance_property_decision,<stack-unavailable>:0:unknown,[[]],1,1,1,0.37174721189591076
