tool,flowstar_sha,stage_id,iteration,refinement_iteration,component,record_type,basis_id,classification,source_file,source_function,source_line_start,source_line_end,input_artifact_hashes,raw_record_sha256,output_artifact_hash
flowstar_pinned_actual,b85a3211748cb77b736fe4ad42ee02d8d2b81148,advance_enter,-1,-1,-1,event,canonical_tau_ux_uy_o4,UNRESOLVED,flowstar-toolbox/Continuous.cpp,Flowpipe::advance actual fixed symbolic-remainder path,2136,2136,[],cd988acc256de50249206252ebbe4b7059b170700c593af52b0c3801d0fedf6c,bbdd41d546c3b92263eece83d41e9c7f8c8d1d620a0fc76e66328e6dbb13472f
flowstar_pinned_actual,b85a3211748cb77b736fe4ad42ee02d8d2b81148,right_map_input,-1,-1,0,taylor_model,canonical_tau_ux_uy_o4,UNRESOLVED,flowstar-toolbox/Continuous.cpp,Flowpipe::advance actual fixed symbolic-remainder path,2137,2137,"[""bbdd41d546c3b92263eece83d41e9c7f8c8d1d620a0fc76e66328e6dbb13472f""]",908b4329664b14884195141d444923bef7f14ff0b7a065041b7b1562f5ea8475,836c9a075b06dea4f974e3894714a7a7406083caac1b168b73ad2babd7f30458
flowstar_pinned_actual,b85a3211748cb77b736fe4ad42ee02d8d2b81148,right_map_input,-1,-1,0,polynomial_meta,canonical_tau_ux_uy_o4,UNRESOLVED,flowstar-toolbox/Continuous.cpp,Flowpipe::advance actual fixed symbolic-remainder path,2137,2137,"[""836c9a075b06dea4f974e3894714a7a7406083caac1b168b73ad2babd7f30458""]",52ccef84538876e2ba9124bd0c91086fe81833370efebf4a4d570c098f339a13,ee6acfe483ff96e7597bf13a6d098901474203dce4d47c0bf6049c2420be9098
flowstar_pinned_actual,b85a3211748cb77b736fe4ad42ee02d8d2b81148,right_map_input,-1,-1,0,polynomial_term,canonical_tau_ux_uy_o4,UNRESOLVED,flowstar-toolbox/Continuous.cpp,Flowpipe::advance actual fixed symbolic-remainder path,2137,2137,"[""ee6acfe483ff96e7597bf13a6d098901474203dce4d47c0bf6049c2420be9098""]",e2cb2784eb1891207f79ae270a456a5367d7931e126ad6de8cc70f8ae3158c1b,0f5a850a62ebf780a2c98b04d98a090418c5dacf4fee0cca77bb6255417b9aa5
flowstar_pinned_actual,b85a3211748cb77b736fe4ad42ee02d8d2b81148,right_map_input,-1,-1,1,taylor_model,canonical_tau_ux_uy_o4,UNRESOLVED,flowstar-toolbox/Continuous.cpp,Flowpipe::advance actual fixed symbolic-remainder path,2137,2137,"[""0f5a850a62ebf780a2c98b04d98a090418c5dacf4fee0cca77bb6255417b9aa5""]",52fbe398f2d6055d7a9719666abf39af8d8d62b99a91dc247f48a7f18a0e5268,84281799c092726a1c41591bd89d471d96dcf329777d77fb4ecd4b99fd3b589f
flowstar_pinned_actual,b85a3211748cb77b736fe4ad42ee02d8d2b81148,right_map_input,-1,-1,1,polynomial_meta,canonical_tau_ux_uy_o4,UNRESOLVED,flowstar-toolbox/Continuous.cpp,Flowpipe::advance actual fixed symbolic-remainder path,2137,2137,"[""84281799c092726a1c41591bd89d471d96dcf329777d77fb4ecd4b99fd3b589f""]",e3d8a16d03df4bdd918cc81e727f5f5e39b1f18fedc21c784d4eb24ec5930733,864a94389aabb78fecf912076642b745fef22e3394478a2fe1c6debb0f8a0f04
flowstar_pinned_actual,b85a3211748cb77b736fe4ad42ee02d8d2b81148,right_map_input,-1,-1,1,polynomial_term,canonical_tau_ux_uy_o4,UNRESOLVED,flowstar-toolbox/Continuous.cpp,Flowpipe::advance actual fixed symbolic-remainder path,2137,2137,"[""864a94389aabb78fecf912076642b745fef22e3394478a2fe1c6debb0f8a0f04""]",799b61e797c774b38be0549774e7fae8621adfc27b50b85db51e64e4255ae307,53fb935f6822331f0b7e93c8bb0d2feaa51e1f4e15827a14e57d33ffacf17da2
flowstar_pinned_actual,b85a3211748cb77b736fe4ad42ee02d8d2b81148,right_map_input,-1,-1,2,taylor_model,canonical_tau_ux_uy_o4,UNRESOLVED,flowstar-toolbox/Continuous.cpp,Flowpipe::advance actual fixed symbolic-remainder path,2137,2137,"[""53fb935f6822331f0b7e93c8bb0d2feaa51e1f4e15827a14e57d33ffacf17da2""]",38da0de667449da41ced2133324f543c947cca565532aa850e3e40ae456c6000,228aa5bf086d32d426cfa879eebf9bc58d37b43820523f7999d45f140f16e8be
flowstar_pinned_actual,b85a3211748cb77b736fe4ad42ee02d8d2b81148,right_map_input,-1,-1,2,polynomial_meta,canonical_tau_ux_uy_o4,UNRESOLVED,flowstar-toolbox/Continuous.cpp,Flowpipe::advance actual fixed symbolic-remainder path,2137,2137,"[""228aa5bf086d32d426cfa879eebf9bc58d37b43820523f7999d45f140f16e8be""]",9fd3ea8e7bd8d324c7c6c39a67772e44ece11fdef41461e2646d666b896334c8,2474477b7520d9f5c4436088fa04cc128c284d65cc11ed61deb124ab39efb9c5
flowstar_pinned_actual,b85a3211748cb77b736fe4ad42ee02d8d2b81148,right_map_input,-1,-1,2,polynomial_term,canonical_tau_ux_uy_o4,UNRESOLVED,flowstar-toolbox/Continuous.cpp,Flowpipe::advance actual fixed symbolic-remainder path,2137,2137,"[""2474477b7520d9f5c4436088fa04cc128c284d65cc11ed61deb124ab39efb9c5""]",f4595f3e732cc04e03b1a24c5fbc184d22157716dd890a9cd35fe8fa126c37e6,fb20596109cb383f3fbe21cf246de766761e77ac2c605e469c125c3734c36836
