===== brusselator_steps_1_20 =====
         14937532 function calls (14936572 primitive calls) in 42.272 seconds

   Ordered by: cumulative time
   List reduced from 522 to 180 due to restriction <180>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       40    0.001    0.000    0.303    0.008 taylor_model.py:276(__mul__)
    20052    0.047    0.000    0.296    0.000 flowpipe.py:477(_float_or_none)
      188    0.008    0.000    0.294    0.002 batched_dense_tm.py:4157(_validated_remainder_decomposition)
     8224    0.016    0.000    0.286    0.000 flowpipe.py:485(_interval_width_value)
     9072    0.071    0.000    0.284    0.000 batched_dense_tm.py:1130(<setcomp>)
     9584    0.146    0.000    0.276    0.000 batched_dense_tm.py:2234(__post_init__)
    42393    0.078    0.000    0.275    0.000 polynomial.py:107(_coef)
     7464    0.007    0.000    0.269    0.000 flowpipe.py:1356(_interval_width_float)
     5712    0.242    0.000    0.269    0.000 batched_dense_tm.py:1011(_split_leaf_pair)
      210    0.000    0.000    0.251    0.001 symbolic_remainder.py:454(<genexpr>)
      190    0.006    0.000    0.251    0.001 symbolic_remainder.py:240(_matmul_interval_matrix)
     4444    0.021    0.000    0.250    0.000 batched_dense_tm.py:2329(_check_domain)
       20    0.000    0.000    0.241    0.012 flowpipe.py:1798(_right_map_range_box_for_mode)
      402    0.003    0.000    0.236    0.001 taylor_model.py:240(__add__)
      308    0.001    0.000    0.234    0.001 batched_dense_tm.py:2391(__rsub__)
   590195    0.221    0.000    0.221    0.000 {built-in method torch.is_floating_point}
      784    0.004    0.000    0.220    0.000 batched_dense_tm.py:2377(add)
    50638    0.214    0.000    0.214    0.000 {built-in method torch.as_tensor}
     8928    0.211    0.000    0.211    0.000 {built-in method torch.allclose}
       40    0.001    0.000    0.211    0.005 symbolic_remainder.py:574(accepted_boundary_sr_queue_sha256)
    12464    0.069    0.000    0.205    0.000 batched_dense_tm.py:348(_interval_add)
    74560    0.204    0.000    0.204    0.000 {method 'unbind' of 'torch._C.TensorBase' objects}
    68393    0.202    0.000    0.202    0.000 {built-in method torch.maximum}
       20    0.001    0.000    0.202    0.010 symbolic_remainder.py:477(accepted_boundary_sr_queue_commit)
      972    0.001    0.000    0.189    0.000 batched_dense_tm.py:290(negate)
      972    0.012    0.000    0.188    0.000 batched_dense_tm.py:283(scale)
      336    0.001    0.000    0.184    0.001 batched_dense_tm.py:3458(__sub__)
      362    0.002    0.000    0.182    0.001 flowpipe.py:1382(_tm_apply_cutoff_for_horner)
    57645    0.179    0.000    0.179    0.000 {built-in method torch.minimum}
    89482    0.178    0.000    0.178    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
      188    0.011    0.000    0.175    0.001 batched_dense_tm.py:300(complete)
       20    0.000    0.000    0.172    0.009 flowpipe.py:4630(_tmvector_range_box_normal)
       20    0.000    0.000    0.172    0.009 flowpipe.py:4636(<listcomp>)
     1776    0.010    0.000    0.169    0.000 batched_dense_tm.py:277(merge)
     1428    0.012    0.000    0.168    0.000 batched_dense_tm.py:2273(constants_like)
     2184    0.026    0.000    0.164    0.000 batched_dense_tm.py:2617(component)
      168    0.001    0.000    0.161    0.001 batched_dense_tm.py:3462(__rsub__)
      476    0.005    0.000    0.156    0.000 batched_dense_tm.py:2632(concat)
     7640    0.028    0.000    0.154    0.000 interval.py:116(is_finite)
   645391    0.151    0.000    0.151    0.000 {method 'numel' of 'torch._C.TensorBase' objects}
    15864    0.051    0.000    0.148    0.000 interval.py:107(width)
      952    0.014    0.000    0.148    0.000 batched_dense_tm.py:2672(domain)
    29120    0.147    0.000    0.147    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
     5000    0.075    0.000    0.143    0.000 interval.py:119(contains)
     1848    0.001    0.000    0.139    0.000 batched_dense_tm.py:2692(__getitem__)
     2318    0.003    0.000    0.126    0.000 {built-in method builtins.all}
      190    0.003    0.000    0.126    0.001 symbolic_remainder.py:254(_matmul_interval_matrix_col)
    14784    0.125    0.000    0.125    0.000 {built-in method torch.tensor}
      952    0.003    0.000    0.119    0.000 batched_dense_tm.py:2679(<listcomp>)
      308    0.002    0.000    0.116    0.000 batched_dense_tm.py:3288(_coerce_dense_rhs_output)
     3968    0.004    0.000    0.115    0.000 batched_dense_tm.py:2340(_coerce)
    67933    0.050    0.000    0.114    0.000 {built-in method builtins.any}
     2094    0.014    0.000    0.114    0.000 interval.py:141(__sub__)
    20396    0.112    0.000    0.112    0.000 {built-in method torch.cat}
