bucket,exclusive_wall_s,filename,function,inclusive_fraction_of_solver,inclusive_wall_s,line,primitive_calls,total_calls,window
other,1.0426000000000001e-05,<frozen abc>,__instancecheck__,4.946637093303502e-07,2.0960000000000003e-05,117,36,36,brusselator_steps_1_20
other,0.0009170080000000001,<frozen importlib._bootstrap>,parent,3.1784810166037704e-05,0.001346793,405,1072,1072,brusselator_steps_1_20
Python orchestration/allocation,9.11e-07,~,<built-in method _operator.lt>,2.1499935076333444e-08,9.11e-07,0,6,6,brusselator_steps_1_20
Python orchestration/allocation,9.92e-07,~,<built-in method _operator.gt>,2.3411564869070006e-08,9.92e-07,0,6,6,brusselator_steps_1_20
Python orchestration/allocation,1.0534000000000001e-05,~,<built-in method _abc._abc_instancecheck>,2.486062745269995e-07,1.0534000000000001e-05,0,36,36,brusselator_steps_1_20
Python orchestration/allocation,0.011734169000000001,~,<built-in method time.perf_counter>,0.00027693070436303463,0.011734169000000001,0,58320,58320,brusselator_steps_1_20
Python orchestration/allocation,1.0728000000000001e-05,~,<method 'match' of 're.Pattern' objects>,2.531847458824426e-07,1.0728000000000001e-05,0,4,4,brusselator_steps_1_20
Python orchestration/allocation,4.284e-06,~,<method 'group' of 're.Match' objects>,1.0110397570473377e-07,4.284e-06,0,20,20,brusselator_steps_1_20
Python orchestration/allocation,0.000419914,~,<built-in method builtins.abs>,9.91012484922446e-06,0.000419914,0,2284,2284,brusselator_steps_1_20
Python orchestration/allocation,0.002643505,~,<built-in method builtins.all>,0.0029684277129245445,0.125778875,0,2318,2318,brusselator_steps_1_20
Python orchestration/allocation,0.050055614000000005,~,<built-in method builtins.any>,0.002696640567123833,0.11426265000000001,0,67933,67933,brusselator_steps_1_20
Python orchestration/allocation,0.00023762400000000003,~,<built-in method builtins.getattr>,5.6080138008547295e-06,0.00023762400000000003,0,948,948,brusselator_steps_1_20
Python orchestration/allocation,0.00013940100000000002,~,<built-in method builtins.hasattr>,3.2899148732996253e-06,0.00013940100000000002,0,496,496,brusselator_steps_1_20
Python orchestration/allocation,0.090160376,~,<built-in method builtins.isinstance>,0.002128312699338103,0.090181336,0,756823,756823,brusselator_steps_1_20
Python orchestration/allocation,0.013317211,~,<built-in method builtins.iter>,0.00031429107782418613,0.013317211,0,86654,86654,brusselator_steps_1_20
Python orchestration/allocation,0.015788897,~,<built-in method builtins.len>,0.0003757121206706969,0.015919757,0,101301,101541,brusselator_steps_1_20
Python orchestration/allocation,0.013308187,~,<built-in method builtins.max>,0.0004242740783084572,0.017977435,0,20572,20572,brusselator_steps_1_20
Python orchestration/allocation,2.3763000000000003e-05,~,<built-in method builtins.min>,5.608155403061599e-07,2.3763000000000003e-05,0,40,40,brusselator_steps_1_20
Python orchestration/allocation,0.002130247,~,<built-in method builtins.next>,5.117322033427065e-05,0.002168323,0,11678,11678,brusselator_steps_1_20
Python orchestration/allocation,0.038429739000000004,~,<built-in method builtins.sorted>,0.0022860584074038282,0.096865372,0,41882,41882,brusselator_steps_1_20
Python orchestration/allocation,0.008472208,~,<built-in method builtins.sum>,0.00033628364697821817,0.014249085000000002,0,47973,47973,brusselator_steps_1_20
Python orchestration/allocation,5.6713000000000004e-05,~,<method 'encode' of 'str' objects>,1.3384476596971445e-06,5.6713000000000004e-05,0,40,40,brusselator_steps_1_20
Python orchestration/allocation,7.84e-07,~,<method 'replace' of 'str' objects>,1.8502688364265007e-08,7.84e-07,0,4,4,brusselator_steps_1_20
Python orchestration/allocation,0.000128163,~,<method 'join' of 'str' objects>,1.0413284690966971e-05,0.00044123400000000004,0,80,160,brusselator_steps_1_20
Python orchestration/allocation,0.000429785,~,<method 'rpartition' of 'str' objects>,1.0143084079892392e-05,0.000429785,0,1072,1072,brusselator_steps_1_20
