accepted_steps,checkpoint_export_s,checkpoint_sha256,cpu_affinity,iqr_wall_s,median_wall_s,observer_mode,rejected_steps,repeat,scientific_sha,serialization_s,snapshot_construction_s,snapshot_sha256,solver_peak_rss_bytes,steps,timer_scope,variant,wall_s,workload
1000,0.0042471750639379025,eae9d301bf3cd83f7d0e94624d60c0d76c5f79fbc9f947abdd40a939f1963be4,0,0.0,4060.693635799922,production_no_observer,0,0,f34b5fa4155f5475a681411b627d68345ed401ea,5.329097621142864e-05,0.029697488993406296,e49ec65feebefd86060f71a55e34bdf651c3ed81b046a0a39ce093b85a486904,474890240,1000,solver_only_excludes_snapshot_serialization_checkpoint,reference,4060.693635799922,brusselator
1000,0.0039203769993036985,eae9d301bf3cd83f7d0e94624d60c0d76c5f79fbc9f947abdd40a939f1963be4,0,0.0,1971.6347868021112,production_no_observer,0,0,4939fb288c941a67f55cc191f4d75f8594692f47,4.755193367600441e-05,0.02995461504906416,e49ec65feebefd86060f71a55e34bdf651c3ed81b046a0a39ce093b85a486904,477151232,1000,solver_only_excludes_snapshot_serialization_checkpoint,optimized,1971.6347868021112,brusselator
