batch_size,case,cpu_affinity,lane_steps,lanes_per_s,peak_rss_bytes,per_lane_s,repeat,rss_source,wall_s
1,8x_serial_B1,0,8,0.8585626181831281,457723904,1.1647374097374268,0,RUSAGE_SELF_highwater,9.317899277899414
8,B8_independent_lane_batch,0,8,0.8648938551803578,459034624,1.1562112437386531,0,RUSAGE_SELF_highwater,9.249689949909225
