call_count,metric,window
7168,range-bound calls,brusselator_steps_1_20
0,RHS term-evaluation calls,brusselator_steps_1_20
3808,Taylor multiplication/truncation calls,brusselator_steps_1_20
7,post-accept replay calls,brusselator_steps_1_20
20,SR prepare calls,brusselator_steps_1_20
20,SR propagate calls,brusselator_steps_1_20
20,SR commit calls,brusselator_steps_1_20
0,checkpoint/trace calls,brusselator_steps_1_20
38072,range-bound calls,brusselator_steps_1_100
0,RHS term-evaluation calls,brusselator_steps_1_100
20192,Taylor multiplication/truncation calls,brusselator_steps_1_100
9,post-accept replay calls,brusselator_steps_1_100
100,SR prepare calls,brusselator_steps_1_100
100,SR propagate calls,brusselator_steps_1_100
100,SR commit calls,brusselator_steps_1_100
0,checkpoint/trace calls,brusselator_steps_1_100
40800,range-bound calls,brusselator_steps_901_1000
0,RHS term-evaluation calls,brusselator_steps_901_1000
21600,Taylor multiplication/truncation calls,brusselator_steps_901_1000
9,post-accept replay calls,brusselator_steps_901_1000
100,SR prepare calls,brusselator_steps_901_1000
100,SR propagate calls,brusselator_steps_901_1000
100,SR commit calls,brusselator_steps_901_1000
0,checkpoint/trace calls,brusselator_steps_901_1000
1440,range-bound calls,vdp_representative_prefix
180,RHS term-evaluation calls,vdp_representative_prefix
680,Taylor multiplication/truncation calls,vdp_representative_prefix
4,post-accept replay calls,vdp_representative_prefix
20,SR prepare calls,vdp_representative_prefix
20,SR propagate calls,vdp_representative_prefix
20,SR commit calls,vdp_representative_prefix
0,checkpoint/trace calls,vdp_representative_prefix
