accepted_steps,checkpoint_export_s,checkpoint_sha256,cpu_affinity,iqr_wall_s,median_wall_s,observer_mode,rejected_steps,repeat,scientific_sha,serialization_s,snapshot_construction_s,snapshot_sha256,solver_peak_rss_bytes,steps,timer_scope,variant,wall_s,workload
300,0.17654409212991595,693f38023c9f2d6b5ae3962450622e298a69684a1bcb399bfb3683fb97e08eb3,0,1.1074725234648213,667.5518323120195,production_no_observer,0,2,f34b5fa4155f5475a681411b627d68345ed401ea,6.130500696599483e-05,0.14882256393320858,3ac6ea29765f76bc3244a0488384520eec424dbea7b9bc011b27bd15db64b254,465666048,300,solver_only_excludes_snapshot_serialization_checkpoint,reference,667.9169585290365,brusselator
300,0.07635229802690446,693f38023c9f2d6b5ae3962450622e298a69684a1bcb399bfb3683fb97e08eb3,0,1.085975736612454,521.2739876378328,production_no_observer,0,0,4939fb288c941a67f55cc191f4d75f8594692f47,4.5601045712828636e-05,0.048255026107653975,3ac6ea29765f76bc3244a0488384520eec424dbea7b9bc011b27bd15db64b254,463204352,300,solver_only_excludes_snapshot_serialization_checkpoint,optimized,520.1582028518897,brusselator
300,0.0757804368622601,693f38023c9f2d6b5ae3962450622e298a69684a1bcb399bfb3683fb97e08eb3,0,1.085975736612454,521.2739876378328,production_no_observer,0,1,4939fb288c941a67f55cc191f4d75f8594692f47,4.805903881788254e-05,0.04846459301188588,3ac6ea29765f76bc3244a0488384520eec424dbea7b9bc011b27bd15db64b254,465170432,300,solver_only_excludes_snapshot_serialization_checkpoint,optimized,521.2739876378328,brusselator
300,0.07560972799547017,693f38023c9f2d6b5ae3962450622e298a69684a1bcb399bfb3683fb97e08eb3,0,1.085975736612454,521.2739876378328,production_no_observer,0,2,4939fb288c941a67f55cc191f4d75f8594692f47,4.688603803515434e-05,0.04935222282074392,3ac6ea29765f76bc3244a0488384520eec424dbea7b9bc011b27bd15db64b254,465825792,300,solver_only_excludes_snapshot_serialization_checkpoint,optimized,522.3301543251146,brusselator
20,0.013886119006201625,fc1314a8355a41068fa220a468b74d6b405012243e4bfcf3ab045b16a3742f38,0,0.005272445501759648,12.38675205083564,production_no_observer,0,0,f34b5fa4155f5475a681411b627d68345ed401ea,4.323897883296013e-05,0.020535551942884922,1b89e07c538370204dec5eed7aaffad8f0845adc0c723e69fa47a513ac6cb360,461303808,20,solver_only_excludes_snapshot_serialization_checkpoint,reference,12.38675205083564,vdp_prefix
20,0.013873819960281253,fc1314a8355a41068fa220a468b74d6b405012243e4bfcf3ab045b16a3742f38,0,0.005272445501759648,12.38675205083564,production_no_observer,0,1,f34b5fa4155f5475a681411b627d68345ed401ea,4.545808769762516e-05,0.020796740194782615,1b89e07c538370204dec5eed7aaffad8f0845adc0c723e69fa47a513ac6cb360,461824000,20,solver_only_excludes_snapshot_serialization_checkpoint,reference,12.376652417937294,vdp_prefix
20,0.013784312875941396,fc1314a8355a41068fa220a468b74d6b405012243e4bfcf3ab045b16a3742f38,0,0.005272445501759648,12.38675205083564,production_no_observer,0,2,f34b5fa4155f5475a681411b627d68345ed401ea,4.7457171604037285e-05,0.02022086502984166,1b89e07c538370204dec5eed7aaffad8f0845adc0c723e69fa47a513ac6cb360,461942784,20,solver_only_excludes_snapshot_serialization_checkpoint,reference,12.387197308940813,vdp_prefix
20,0.007543580839410424,fc1314a8355a41068fa220a468b74d6b405012243e4bfcf3ab045b16a3742f38,0,0.011042828438803554,11.717159450054169,production_no_observer,0,0,4939fb288c941a67f55cc191f4d75f8594692f47,4.346389323472977e-05,0.01391968596726656,1b89e07c538370204dec5eed7aaffad8f0845adc0c723e69fa47a513ac6cb360,461242368,20,solver_only_excludes_snapshot_serialization_checkpoint,optimized,11.708510556956753,vdp_prefix
20,0.007545483065769076,fc1314a8355a41068fa220a468b74d6b405012243e4bfcf3ab045b16a3742f38,0,0.011042828438803554,11.717159450054169,production_no_observer,0,1,4939fb288c941a67f55cc191f4d75f8594692f47,4.675285890698433e-05,0.015203454997390509,1b89e07c538370204dec5eed7aaffad8f0845adc0c723e69fa47a513ac6cb360,461729792,20,solver_only_excludes_snapshot_serialization_checkpoint,optimized,11.717159450054169,vdp_prefix
20,0.007663741009309888,fc1314a8355a41068fa220a468b74d6b405012243e4bfcf3ab045b16a3742f38,0,0.011042828438803554,11.717159450054169,production_no_observer,0,2,4939fb288c941a67f55cc191f4d75f8594692f47,4.75060660392046e-05,0.013995310990139842,1b89e07c538370204dec5eed7aaffad8f0845adc0c723e69fa47a513ac6cb360,462090240,20,solver_only_excludes_snapshot_serialization_checkpoint,optimized,11.73059621383436,vdp_prefix
