accepted_steps,artifact_serialization_s,checkpoint_export_s,checkpoint_sha256,endpoint_sha256,final_remainder,lane,peak_rss_bytes,prefix_steps,python_positive_allocation_count,queue_sha256,refinement_replay_calls,refinement_stop_ratio_count,rejected_steps,repeats,solver_wall_max_s,solver_wall_median_s,solver_wall_min_s,trace_bytes,trace_construction_s,trace_rows,trace_sha256,tracemalloc_peak_bytes,tube_sha256
1,0.0002704740036278963,0.0044892041478306055,80b875f18141816b6690494755d3544331ce543120ea26f680fa4bd440a7e418,37a223da7d8dd000279345181710ef70dcfed044d9f6ad039785653325eb0c6b,"[[-1.0031087325429114e-08,-6.816921191150636e-09],[6.471248618629602e-09,1.0599483958973888e-08]]",production_no_observer,459759616,1,8359,6b517cb9479e80424b18a43dce4766e408b89a19210b649b6c41c896d114e627,8,1,0,3,2.1885426971130073,1.1131052249111235,1.1112768980674446,2,0.0,0,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,766256,a14be7e503405b50d643b6202e360ff4880e99105ac0899d9a1eaa23904da88a
1,0.00023355800658464432,0.004104709951207042,80b875f18141816b6690494755d3544331ce543120ea26f680fa4bd440a7e418,37a223da7d8dd000279345181710ef70dcfed044d9f6ad039785653325eb0c6b,"[[-1.0031087325429114e-08,-6.816921191150636e-09],[6.471248618629602e-09,1.0599483958973888e-08]]",lightweight_counters,459759616,1,2557,6b517cb9479e80424b18a43dce4766e408b89a19210b649b6c41c896d114e627,8,1,0,3,1.993771000066772,1.1156302550807595,1.1099279918707907,1850,0.002525030169636011,16,d6aa80a144933beea5d51191df3cbc98ad9e0ab7c8dfe0a293385def455f966e,303905,a14be7e503405b50d643b6202e360ff4880e99105ac0899d9a1eaa23904da88a
1,0.0019090590067207813,0.0040919051971286535,80b875f18141816b6690494755d3544331ce543120ea26f680fa4bd440a7e418,37a223da7d8dd000279345181710ef70dcfed044d9f6ad039785653325eb0c6b,"[[-1.0031087325429114e-08,-6.816921191150636e-09],[6.471248618629602e-09,1.0599483958973888e-08]]",full_evidence,473522176,1,46999,6b517cb9479e80424b18a43dce4766e408b89a19210b649b6c41c896d114e627,8,1,0,3,2.3957539109978825,1.2233676319010556,1.1632671160623431,603608,0.11026240698993206,393,57c397a3349c21294dc277e01afe0e6258ebadef7666f46381ceea7e15c93516,2271117,a14be7e503405b50d643b6202e360ff4880e99105ac0899d9a1eaa23904da88a
