source,mode,horizon,status,reached_t,accepted_steps,rejected_attempts,accepted_h_sequence,attempt_h_status_sequence,schedule_distance_vs_flowstar,schedule_prefix_matches_flowstar,schedule_prefix_match_count,sample_contained,sample_max_violation,stopped_too_early,final_width_x,final_width_y,final_width_sum,width_ratio_vs_current,width_ratio_vs_compat_default,step_shrink_factor,step_grow_factor,h5_justified,recommendation,notes
flowstar,probe_schedule,0.5,available,0.5,34,7,0.012500000000000001;0.013750000000000002;0.015125000000000003;0.016637500000000003;0.018301250000000005;0.020131375000000007;0.011072256250000004;0.012179481875000005;0.013397430062500007;0.014737173068750008;0.016210890375625009;0.01783197941318751;0.0098075886772531311;0.010788347544978445;0.01186718229947629;0.01305390052942392;0.014359290582366313;0.015795219640602945;0.017374741604663242;0.019112215765129569;0.010511718670821265;0.011562890537903391;0.012719179591693731;0.013991097550863106;0.015390207305949418;0.016929228036544362;0.0186221508401988;0.020484365924218682;0.022532802516640551;0.012393041384152304;0.013632345522567535;0.014995580074824289;0.01649513808230672;0.0057074312713594755,,0,true,34,,,false,,,,,,,,,,existing Flow* probe accepted schedule; no h10 rerun
torch,current_no_queue_default_policy,0.5,completed,0.5,26,16,0.025000000000000001;0.018750000000000003;0.028125000000000004;0.021093750000000001;0.015820312500000003;0.023730468750000004;0.017797851562500001;0.013348388671875001;0.020022583007812501;0.015016937255859376;0.022525405883789065;0.016894054412841798;0.012670540809631349;0.019005811214447024;0.014254358410835267;0.021381537616252902;0.016036153212189676;0.024054229818284513;0.018040672363713386;0.02706100854557008;0.020295756409177558;0.015221817306883169;0.022832725960324752;0.017124544470243565;0.025686816705365347;0.0082092751124036578,0.10000000000000001:rejected;0.050000000000000003:rejected;0.025000000000000001:accepted;0.037500000000000006:rejected;0.018750000000000003:accepted;0.028125000000000004:accepted;0.042187500000000003:rejected;0.021093750000000001:accepted;0.031640625000000006:rejected;0.015820312500000003:accepted;0.023730468750000004:accepted;0.035595703125000003:rejected;0.017797851562500001:accepted;0.026696777343750002:rejected;0.013348388671875001:accepted;0.020022583007812501:accepted;0.030033874511718753:rejected;0.015016937255859376:accepted;0.022525405883789065:accepted;0.033788108825683595:rejected;0.016894054412841798:accepted;0.025341081619262698:rejected;0.012670540809631349:accepted;0.019005811214447024:accepted;0.028508716821670534:rejected;0.014254358410835267:accepted;0.021381537616252902:accepted;0.032072306424379353:rejected;0.016036153212189676:accepted;0.024054229818284513:accepted;0.036081344727426773:rejected;0.018040672363713386:accepted;0.02706100854557008:accepted;0.040591512818355116:rejected;0.020295756409177558:accepted;0.030443634613766337:rejected;0.015221817306883169:accepted;0.022832725960324752:accepted;0.03424908894048713:rejected;0.017124544470243565:accepted;0.025686816705365347:accepted;0.0082092751124036578:accepted,0.27400334208250954,false,0,true,0,false,0.18429538186500374,0.39647675355976764,0.58077213542477135,1,0.97300728636476796,0.5,1.5,,,endpoint samples from corners and center contained in PyTorch final segment boxes
torch,raw_remainder_compat_default_policy,0.5,completed,0.5,32,20,0.012500000000000001;0.018750000000000003;0.014062500000000002;0.021093750000000001;0.015820312500000003;0.011865234375000002;0.017797851562500001;0.013348388671875001;0.01001129150390625;0.015016937255859376;0.011262702941894532;0.016894054412841798;0.012670540809631349;0.019005811214447024;0.014254358410835267;0.010690768808126451;0.016036153212189676;0.012027114909142256;0.018040672363713386;0.01353050427278504;0.010147878204588779;0.015221817306883169;0.011416362980162376;0.017124544470243565;0.012843408352682674;0.01926511252902401;0.014448834396768008;0.021673251595152012;0.016254938696364008;0.024382408044546014;0.01828680603340951;0.024255690165428556,0.10000000000000001:rejected;0.050000000000000003:rejected;0.025000000000000001:rejected;0.012500000000000001:accepted;0.018750000000000003:accepted;0.028125000000000004:rejected;0.014062500000000002:accepted;0.021093750000000001:accepted;0.031640625000000006:rejected;0.015820312500000003:accepted;0.023730468750000004:rejected;0.011865234375000002:accepted;0.017797851562500001:accepted;0.026696777343750002:rejected;0.013348388671875001:accepted;0.020022583007812501:rejected;0.01001129150390625:accepted;0.015016937255859376:accepted;0.022525405883789065:rejected;0.011262702941894532:accepted;0.016894054412841798:accepted;0.025341081619262698:rejected;0.012670540809631349:accepted;0.019005811214447024:accepted;0.028508716821670534:rejected;0.014254358410835267:accepted;0.021381537616252902:rejected;0.010690768808126451:accepted;0.016036153212189676:accepted;0.024054229818284513:rejected;0.012027114909142256:accepted;0.018040672363713386:accepted;0.02706100854557008:rejected;0.01353050427278504:accepted;0.020295756409177558:rejected;0.010147878204588779:accepted;0.015221817306883169:accepted;0.022832725960324752:rejected;0.011416362980162376:accepted;0.017124544470243565:accepted;0.025686816705365347:rejected;0.012843408352682674:accepted;0.01926511252902401:accepted;0.028897668793536016:rejected;0.014448834396768008:accepted;0.021673251595152012:accepted;0.032509877392728016:rejected;0.016254938696364008:accepted;0.024382408044546014:accepted;0.036573612066819021:rejected;0.01828680603340951:accepted;0.024255690165428556:accepted,0.13932396542335354,false,1,true,0,false,0.1958487408180101,0.40103490390224877,0.5968836447202589,1.027741532888288,1,0.5,1.5,,,endpoint samples from corners and center contained in PyTorch final segment boxes
torch,raw_remainder_compat_flowstar_step_policy,0.5,completed,0.5,34,7,0.012500000000000001;0.013750000000000002;0.015125000000000003;0.016637500000000003;0.018301250000000005;0.020131375000000007;0.011072256250000004;0.012179481875000005;0.013397430062500007;0.014737173068750008;0.016210890375625009;0.01783197941318751;0.0098075886772531311;0.010788347544978445;0.01186718229947629;0.01305390052942392;0.014359290582366313;0.015795219640602945;0.017374741604663242;0.019112215765129569;0.010511718670821265;0.011562890537903391;0.012719179591693731;0.013991097550863106;0.015390207305949418;0.016929228036544362;0.0186221508401988;0.020484365924218682;0.022532802516640551;0.012393041384152304;0.013632345522567535;0.014995580074824289;0.01649513808230672;0.0057074312723594534,0.10000000000000001:rejected;0.050000000000000003:rejected;0.025000000000000001:rejected;0.012500000000000001:accepted;0.013750000000000002:accepted;0.015125000000000003:accepted;0.016637500000000003:accepted;0.018301250000000005:accepted;0.020131375000000007:accepted;0.022144512500000008:rejected;0.011072256250000004:accepted;0.012179481875000005:accepted;0.013397430062500007:accepted;0.014737173068750008:accepted;0.016210890375625009:accepted;0.01783197941318751:accepted;0.019615177354506262:rejected;0.0098075886772531311:accepted;0.010788347544978445:accepted;0.01186718229947629:accepted;0.01305390052942392:accepted;0.014359290582366313:accepted;0.015795219640602945:accepted;0.017374741604663242:accepted;0.019112215765129569:accepted;0.021023437341642529:rejected;0.010511718670821265:accepted;0.011562890537903391:accepted;0.012719179591693731:accepted;0.013991097550863106:accepted;0.015390207305949418:accepted;0.016929228036544362:accepted;0.0186221508401988:accepted;0.020484365924218682:accepted;0.022532802516640551:accepted;0.024786082768304608:rejected;0.012393041384152304:accepted;0.013632345522567535:accepted;0.014995580074824289:accepted;0.01649513808230672:accepted;0.0057074312723594534:accepted,9.999778782798785e-13,true,34,true,0,false,0.18256495948312226,0.39629089956723401,0.5788558590503563,0.99670046777810117,0.969796817471265,0.5,1.1000000000000001,,,endpoint samples from corners and center contained in PyTorch final segment boxes
analysis,flowstar_step_policy_vs_compat_default,0.5,improved,,,,,,,true,34,true,0,false,,,0.5788558590503563,0.99670046777810117,0.969796817471265,0.5,1.1000000000000001,true,flowstar_step_policy_h5_candidate,flowstar_policy_distance_minus_compat_default=-0.13932396542235356
analysis,h5_gate,0.5,justified,,,,,,9.999778782798785e-13,true,34,true,0,false,,,0.5788558590503563,0.99670046777810117,0.969796817471265,0.5,1.1000000000000001,true,flowstar_step_policy_h5_candidate,Flow* step policy improves schedule distance without material width growth
