control,decision,endpoint_in_tube,endpoint_publication,prestate_unchanged,returned_h_hex,set_relation,step_rejections,tube_publication,x_margin,y_margin
T0,rejected,,,True,0x1.daf50aeab032ap-9,equal,1,,9.963763341523255e-05,-1.9999591170254726e-05
T1,rejected,,,True,0x1.daf50aeab032ap-9,equal,1,,9.963763341523255e-05,-1.9999591170254726e-05
T2,rejected,,,True,0x1.daf50aeab032ap-9,historical,1,,9.963763341523255e-05,-1.99995911680722e-05
