attempt_index,boundary_before,control,decision,h_attempted_hex,x_margin,y_margin
0,0,C0,accepted,0x1.999999999999ap-4,9.8749997e-05,7.286946843997795e-05
1,1,C0,accepted,0x1.c28f5c28f5c2ap-7,9.8624997e-05,6.655080041541422e-05
2,2,C0,accepted,0x1.ef9db22d0e562p-7,9.8487497e-05,5.832080283811798e-05
3,3,C0,accepted,0x1.1096bb98c7e29p-6,9.8336247e-05,4.7559557664990944e-05
4,4,C0,accepted,0x1.2bd9018e75794p-6,9.8169872e-05,3.350237795805528e-05
5,5,C0,accepted,0x1.49d51b4fe79f0p-6,9.79868595e-05,1.5241282844443191e-05
6,6,C0,accepted,0x1.6ad0d13e4b955p-6,9.889277137500001e-05,7.140968481624757e-05
7,7,C0,accepted,0x1.8f18e62aecbdep-7,9.87820488125e-05,6.55768780242133e-05
8,8,C0,accepted,0x1.b701c9fc046a8p-7,9.866025399375e-05,5.819387842650667e-05
9,9,C0,accepted,0x1.e2e85e2ed1a86p-7,9.852627969312501e-05,4.8976779687199786e-05
10,10,C0,accepted,0x1.0999670026830p-6,9.837890796243751e-05,3.752703356017776e-05
11,11,C0,accepted,0x1.2428be19c3f68p-6,9.821679905868125e-05,2.344526308907215e-05
12,12,C0,accepted,0x1.4160044f8ac26p-6,9.803847926454938e-05,6.4106135232520195e-06
13,13,C0,accepted,0x1.618337f118a2ap-6,9.892116224550216e-05,7.011230778004171e-05
14,14,C0,accepted,0x1.84dd23ef9b195p-7,9.881327877005237e-05,6.473207131024069e-05
15,15,C0,accepted,0x1.abc00dedf768bp-7,9.869460694705761e-05,5.830668965262185e-05
16,16,C0,accepted,0x1.d68675b8f68cdp-7,9.856406794176337e-05,5.0675915319702227e-05
17,17,C0,accepted,0x1.02c9f3f2879a4p-6,9.842047503593971e-05,4.144231243340153e-05
18,18,C0,accepted,0x1.1caaf2bdfb902p-6,9.826252283953367e-05,2.9868492518110015e-05
19,19,C0,accepted,0x1.3922716a94b83p-6,9.808877542348704e-05,1.6548389807146053e-05
20,20,C0,accepted,0x1.5872aff53d311p-6,9.789765326583576e-05,1.696044409038938e-06
21,21,C0,accepted,0x1.7ae48e5a901c6p-6,9.884370794620966e-05,7.119163568973561e-05
22,22,C0,accepted,0x1.a0c836306b527p-7,9.872807904083062e-05,6.678917875877806e-05
23,23,C0,accepted,0x1.ca75d53542dacp-7,9.86008872449137e-05,6.181324544967553e-05
24,24,C0,accepted,0x1.f84e6a876323ep-7,9.846097626940506e-05,5.6286534888110254e-05
25,25,C0,accepted,0x1.155e5430dced6p-6,9.830707419634557e-05,5.0307067710512874e-05
26,26,C0,accepted,0x1.311af635bfd1fp-6,9.813778191598012e-05,4.403994108825468e-05
27,27,C0,accepted,0x1.4f9da86e53009p-6,9.795156040757813e-05,3.7787458148890823e-05
28,28,C0,accepted,0x1.712d6c795b4d7p-6,9.774671674833594e-05,3.0509936047911032e-05
29,29,C0,accepted,0x1.96185db8b13bap-6,9.752138872316954e-05,2.173672982289088e-05
30,30,C0,accepted,0x1.beb46717f6280p-6,9.72735278954865e-05,9.95051949419534e-06
31,31,C0,accepted,0x1.eb600b00c1f8dp-6,9.850043899251757e-05,7.338342927381147e-05
32,32,C0,accepted,0x1.0e419fa6d115bp-6,9.835048319176933e-05,6.985910003982504e-05
33,33,C0,accepted,0x1.29482f9de5fe5p-6,9.818553181094627e-05,6.586434419958645e-05
34,34,C0,accepted,0x1.47029ac749cb0p-6,9.800408529204089e-05,6.13355846216004e-05
35,35,C0,accepted,0x1.67b610a8045f5p-6,9.780449412124498e-05,5.620558699938246e-05
36,36,C0,accepted,0x1.8baeabec04cf4p-6,9.758494383336947e-05,5.0514011078461266e-05
37,37,C0,accepted,0x1.b34023839ee40p-6,9.734343851670642e-05,4.432060659442637e-05
38,38,C0,accepted,0x1.dec68d772ec7ap-6,9.707778266837707e-05,3.7570824661964985e-05
39,39,C0,accepted,0x1.07539a9b26877p-5,9.678556123521477e-05,2.8731080143775154e-05
40,40,C0,accepted,0x1.21a8c3aaaa61dp-5,9.646411765873625e-05,1.917085155836543e-05
41,41,C0,accepted,0x1.3ea00a6eee9edp-5,9.611052972460987e-05,9.24238362138572e-06
42,42,C0,accepted,0x1.5e7cd846d3485p-5,9.786078999853544e-05,7.378145014565285e-05
43,43,C0,accepted,0x1.8189544de8693p-6,9.764686929838898e-05,7.03162172857236e-05
44,44,C0,accepted,0x1.a8170fef4c73cp-6,9.741155652822787e-05,6.649036412287808e-05
45,45,C0,accepted,0x1.d27fc4ba6db29p-6,9.715271248105066e-05,6.228374896404404e-05
46,46,C0,accepted,0x1.00931299bc557p-5,9.686798402915572e-05,5.767683073066396e-05
47,47,C0,accepted,0x1.1a3b6142b5913p-5,9.65547827320713e-05,5.245684403853411e-05
48,48,C0,accepted,0x1.367484962e1fcp-5,9.621026130527842e-05,4.671861378478524e-05
49,49,C0,accepted,0x1.55802b71ff896p-5,9.583128773580626e-05,3.995652827444763e-05
50,50,C0,accepted,0x1.77a6963099172p-5,9.541441680938688e-05,3.247472605939525e-05
51,51,C0,accepted,0x1.9d373ecf0eccbp-5,9.495585879032557e-05,2.4209641604454243e-05
