decision,diagnostic_only,name,prestate_unchanged,set_relation,validator_input_sha256,x_margin,y_margin
accepted,False,P0,True,equal,8f3d62ff1d4c16b6cd2b319c5bd343b365e7c54a64ca32edeefd422a06ed833a,9.633831630803861e-05,8.058292550874906e-06
rejected,False,P1,True,equal,3bab19ea82e21f222169228207d7d130114b193d647bcfc955af677e947036e8,9.633831630803861e-05,-3.872231318094365e-06
rejected,False,P2,True,equal,9d2a66faaecfedc4b655372c5af852943ca2562c2dbfe9335ae007bc95c922a4,9.633831630803861e-05,-3.773875528686747e-06
accepted,True,H1,True,diagnostic_only,8f3d62ff1d4c16b6cd2b319c5bd343b365e7c54a64ca32edeefd422a06ed833a,9.633831630803861e-05,8.058292550874906e-06
rejected,True,H2,True,diagnostic_only,3bab19ea82e21f222169228207d7d130114b193d647bcfc955af677e947036e8,9.633831630803861e-05,-3.872231318094365e-06
rejected,True,H3,True,equal,3bab19ea82e21f222169228207d7d130114b193d647bcfc955af677e947036e8,9.633831630803861e-05,-3.872231318094365e-06
rejected,True,H4,True,equal,9d2a66faaecfedc4b655372c5af852943ca2562c2dbfe9335ae007bc95c922a4,9.633831630803861e-05,-3.773875528686747e-06
