primary_outcome,requested_horizon,stage,status,stop
S1_REACHES_TERMINAL_BUT_DOES_NOT_CLOSE_IT,6.5,fresh_horizon,not_run_after_stop,CORRECTED_S1_REACHES_TERMINAL_BUT_DOES_NOT_CLOSE_IT
S1_REACHES_TERMINAL_BUT_DOES_NOT_CLOSE_IT,6.897083942944808,fresh_horizon,not_run_after_stop,CORRECTED_S1_REACHES_TERMINAL_BUT_DOES_NOT_CLOSE_IT
S1_REACHES_TERMINAL_BUT_DOES_NOT_CLOSE_IT,7.5,fresh_horizon,not_run_after_stop,CORRECTED_S1_REACHES_TERMINAL_BUT_DOES_NOT_CLOSE_IT
S1_REACHES_TERMINAL_BUT_DOES_NOT_CLOSE_IT,10.0,fresh_horizon,not_run_after_stop,CORRECTED_S1_REACHES_TERMINAL_BUT_DOES_NOT_CLOSE_IT
