checkpoint,prestate_sha256,label,family,epsilon,epsilon_hex,accepted,mask_sha256,minimum_target_margin,center_sha256,scale_sha256,inverse_scale_sha256,normalized_polynomial_sha256,normalized_remainder_lo_sha256,normalized_remainder_hi_sha256,raw_remainder_width_max,endpoint_width_max,tube_width_max,symbolic_post_count,inserted_polynomial_sha256,centered_inserted_remainder_width_max,no_state_commit
before_step_0001.npz,a7cc5b2414c00de072b4c466aa4e011b2d3a38badfae24e0ff770d5051634b5a,CDR_complete_carry,CDR,1e-12,0x1.19799812dea11p-40,True,a29efb7395eef645d4ff735de796eb634e9261102c9806cc112c0193fdd6410b,0.009086661429657012,6baead37cf250861c4f3f8ef763b3797d1ff43af716c43305d5cd75167c7a3cd,ff4a4044bc217d3df62a7a999b5f5ab11491ba96d411bfc8241b245cde878286,fbff484af755be9b784c2cfbd503ff97fb9a161ecc03194a1f2b3dc8d814d32c,12f3b217a3496f8a724c4e3132402121c96ce1cc40619794111e0fa69d5cb03a,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,0.0018260478231866208,0.3013128906660918,0.3254454595741516,1,,,True
before_step_0001.npz,a7cc5b2414c00de072b4c466aa4e011b2d3a38badfae24e0ff770d5051634b5a,CNI_complete_carry,CNI,0.0,0x0.0p+0,True,a29efb7395eef645d4ff735de796eb634e9261102c9806cc112c0193fdd6410b,0.009086661429657012,6baead37cf250861c4f3f8ef763b3797d1ff43af716c43305d5cd75167c7a3cd,ff4a4044bc217d3df62a7a999b5f5ab11491ba96d411bfc8241b245cde878286,684d2622607c829edc991623eb39d7978d0f112cfb947b20b9ed5166fa49b5b2,0f5794b433a412bad7b21c61d729c07dc5bf39103efe3fe776df322bad82b3c4,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,0.0018260478231866208,0.30131289066811284,0.32544545957617266,0,412f0acffcd51edee8868b48f7b12a9ff132525e0925e645d0156387288f6b3c,0.0,True
before_step_0001.npz,a7cc5b2414c00de072b4c466aa4e011b2d3a38badfae24e0ff770d5051634b5a,CDR_reciprocal_with_epsilon,CDR,1e-12,0x1.19799812dea11p-40,True,a29efb7395eef645d4ff735de796eb634e9261102c9806cc112c0193fdd6410b,0.009086661429657012,6baead37cf250861c4f3f8ef763b3797d1ff43af716c43305d5cd75167c7a3cd,ff4a4044bc217d3df62a7a999b5f5ab11491ba96d411bfc8241b245cde878286,fbff484af755be9b784c2cfbd503ff97fb9a161ecc03194a1f2b3dc8d814d32c,12f3b217a3496f8a724c4e3132402121c96ce1cc40619794111e0fa69d5cb03a,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,0.0018260478231866208,0.3013128906660918,0.3254454595741516,1,,,True
before_step_0001.npz,a7cc5b2414c00de072b4c466aa4e011b2d3a38badfae24e0ff770d5051634b5a,CDR_reciprocal_without_epsilon,CDR,0.0,0x0.0p+0,True,a29efb7395eef645d4ff735de796eb634e9261102c9806cc112c0193fdd6410b,0.009086661429657012,6baead37cf250861c4f3f8ef763b3797d1ff43af716c43305d5cd75167c7a3cd,ff4a4044bc217d3df62a7a999b5f5ab11491ba96d411bfc8241b245cde878286,684d2622607c829edc991623eb39d7978d0f112cfb947b20b9ed5166fa49b5b2,0f5794b433a412bad7b21c61d729c07dc5bf39103efe3fe776df322bad82b3c4,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,0.0018260478231866208,0.30131289066811284,0.32544545957617266,1,,,True
before_step_0001.npz,a7cc5b2414c00de072b4c466aa4e011b2d3a38badfae24e0ff770d5051634b5a,CNI_reciprocal_with_epsilon,CNI,1e-12,0x1.19799812dea11p-40,True,a29efb7395eef645d4ff735de796eb634e9261102c9806cc112c0193fdd6410b,0.009086661429657012,6baead37cf250861c4f3f8ef763b3797d1ff43af716c43305d5cd75167c7a3cd,ff4a4044bc217d3df62a7a999b5f5ab11491ba96d411bfc8241b245cde878286,fbff484af755be9b784c2cfbd503ff97fb9a161ecc03194a1f2b3dc8d814d32c,12f3b217a3496f8a724c4e3132402121c96ce1cc40619794111e0fa69d5cb03a,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,0.0018260478231866208,0.3013128906660918,0.3254454595741516,0,412f0acffcd51edee8868b48f7b12a9ff132525e0925e645d0156387288f6b3c,0.0,True
before_step_0001.npz,a7cc5b2414c00de072b4c466aa4e011b2d3a38badfae24e0ff770d5051634b5a,CNI_reciprocal_without_epsilon,CNI,0.0,0x0.0p+0,True,a29efb7395eef645d4ff735de796eb634e9261102c9806cc112c0193fdd6410b,0.009086661429657012,6baead37cf250861c4f3f8ef763b3797d1ff43af716c43305d5cd75167c7a3cd,ff4a4044bc217d3df62a7a999b5f5ab11491ba96d411bfc8241b245cde878286,684d2622607c829edc991623eb39d7978d0f112cfb947b20b9ed5166fa49b5b2,0f5794b433a412bad7b21c61d729c07dc5bf39103efe3fe776df322bad82b3c4,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,df6eb0d664d6ea449d01627656f540322d2bde3683b90c41b4d5b4ce9bfa8165,0.0018260478231866208,0.30131289066811284,0.32544545957617266,0,412f0acffcd51edee8868b48f7b12a9ff132525e0925e645d0156387288f6b3c,0.0,True
before_step_0002.npz,f0b14ca18322353e75789b747718cc7046798c1908f3a9a93b154a59f6dac4e8,CDR_complete_carry,CDR,1e-12,0x1.19799812dea11p-40,True,a29efb7395eef645d4ff735de796eb634e9261102c9806cc112c0193fdd6410b,0.009071919255737184,e0893a020c2aad16e29fa0f7e50ca0d1d1002fdaf0b7009af2dc6d6addb14dc7,b35cb5e4fd009a598ed6612b17f64ae55d4dcbabb0e4c32fbfea08f08afe3dd8,4e1c82e0eeb8538d0335c1957d310c95ee213f3e0583d7d5b051734d12d697e2,1069aa4d66c2a43a522a4cc3bbde1204eff51a981ab4ac7744d6054465c4ee80,edc1f33a1b0e7506a2f20f2547beec6ff727ce2d8ee6a7285361e6d7703b6cd9,e79748f92cf52ecb0636220292ac6fd17b72ce67265f60d529edd6ae29f51b1f,0.0018555545342974463,0.30262777931949425,0.3265002681786384,1,,,True
before_step_0002.npz,f0b14ca18322353e75789b747718cc7046798c1908f3a9a93b154a59f6dac4e8,CNI_complete_carry,CNI,0.0,0x0.0p+0,True,a29efb7395eef645d4ff735de796eb634e9261102c9806cc112c0193fdd6410b,0.0090716861047859,e0893a020c2aad16e29fa0f7e50ca0d1d1002fdaf0b7009af2dc6d6addb14dc7,57b7f17ef8df61dd153724ec8c65eeab761efa54bed7bec8042465b3a2df182e,97cca599a7a7a04a97f3b22c1236e99403eed6a536da99a562f25fe1bf73a0cd,b351de82031d8c783d153438a5879c4deae152423834a7d3b6b6f0ebcd090477,51709fd5a3c3f3ff8fed3473bad88ad1581c036d19332a7b9e70ab22577eb0c9,e10cfebe6c54b1dce740bdb8bc85f217cae569c12fcb75f9adfd888f450c4744,0.00185602086318674,0.3026415449070028,0.32651403376614696,0,a241d1f0fb2dff0522c49e5c8d56b8102d6616e47ba26e20bf21475b8086eab3,0.0018260478231866208,True
before_step_0002.npz,f0b14ca18322353e75789b747718cc7046798c1908f3a9a93b154a59f6dac4e8,CDR_reciprocal_with_epsilon,CDR,1e-12,0x1.19799812dea11p-40,True,a29efb7395eef645d4ff735de796eb634e9261102c9806cc112c0193fdd6410b,0.009071919255737184,e0893a020c2aad16e29fa0f7e50ca0d1d1002fdaf0b7009af2dc6d6addb14dc7,b35cb5e4fd009a598ed6612b17f64ae55d4dcbabb0e4c32fbfea08f08afe3dd8,4e1c82e0eeb8538d0335c1957d310c95ee213f3e0583d7d5b051734d12d697e2,1069aa4d66c2a43a522a4cc3bbde1204eff51a981ab4ac7744d6054465c4ee80,edc1f33a1b0e7506a2f20f2547beec6ff727ce2d8ee6a7285361e6d7703b6cd9,e79748f92cf52ecb0636220292ac6fd17b72ce67265f60d529edd6ae29f51b1f,0.0018555545342974463,0.30262777931949425,0.3265002681786384,1,,,True
before_step_0002.npz,f0b14ca18322353e75789b747718cc7046798c1908f3a9a93b154a59f6dac4e8,CDR_reciprocal_without_epsilon,CDR,0.0,0x0.0p+0,True,a29efb7395eef645d4ff735de796eb634e9261102c9806cc112c0193fdd6410b,0.009071919255737184,e0893a020c2aad16e29fa0f7e50ca0d1d1002fdaf0b7009af2dc6d6addb14dc7,b35cb5e4fd009a598ed6612b17f64ae55d4dcbabb0e4c32fbfea08f08afe3dd8,dd8d0a0f02b8cd12f2864158660c981446b47af59fd319999fe2124054265cd2,640f6e28ff4081f2c4fe722b3bd3fb8bc6cdc6a128dfbc11bcdc68305babcdb4,f161cd78388c1bb941d4f26cfaf10a89cdefe755a762915ee2eb1d7cf79eb5ae,1bf56597c7ea84b78c96ffc4b89157995a133b14b5895486679d4695864f3f4b,0.0018555545342974463,0.3026277793215153,0.32650026818065947,1,,,True
