run,source,status,cell_status,segments,horizon,first_failure,retry_segments,leaves,solver_seconds_excluding_validation,total_seconds_including_validation,compile_warm_seconds_excluded,maximum_endpoint_width_at_t20,maximum_tube_width_at_t20
author_reference,/srv/local/shengenli/CROWN-Reach_Development/experiments/reachability/results/s3c_fair_timing_raw/rep1_q3/s3r_q3_b48_rep1.json,PARTIAL_VALIDATION,VERIFIED,200,20.0,null,[],48,2.1489467729916214,3.672292004994233,32.87352657500014,0.7590072732963122,0.7590072732963122
fresh_exact_commit,outputs/xiangru_q3_matched_audit_20260806/xiangru_reproduction/fresh_q3_b48_t20/raw_outputs/s3r_q3_b48_rep1.json,PARTIAL_VALIDATION,VERIFIED,200,20.0,null,[],48,2.689615928567946,4.613236092031002,141.06641076132655,0.7590072732962145,0.7590072732962145
