plant,horizon,mode,status,accepted_steps,solve_seconds,export_seconds,speedup,source
brusselator,20,reference,REUSED,1000,1990.778945621103,34.17142175603658,,artifacts/runs/xiangru_adoption_20260907T032448Z/raw_minimal/our_brusselator_full/summary.json
brusselator,20,native_flowstar,REUSED,1000,13.569828379,10.303769863,,artifacts/runs/xiangru_adoption_20260907T032448Z/raw_minimal/native_brusselator/summary.json
brusselator,20,optimized,NOT_RUN_REFERENCE_DEFECT_STOP,,,,,
van_der_pol,10,reference,REUSED,1000,681.2492698188871,13.37419575219974,,artifacts/runs/xiangru_adoption_20260907T032448Z/raw_minimal/our_vdp_full/summary.json
van_der_pol,10,native_flowstar,REUSED,1000,1.4884663539999998,2.892356023,,artifacts/runs/xiangru_adoption_20260907T032448Z/raw_minimal/native_vdp/summary.json
van_der_pol,10,optimized,NOT_RUN_REFERENCE_DEFECT_STOP,,,,,
