plant,batch,device,implementation,steps,order,h,dtype,range_bound_mode,dropped_merge_mode,status,skip_reason,elapsed_ms,basis_mul_plan_ms,rhs_construction_ms,mul_trunc_ms,dropped_range_bound_ms,tm_remainder_propagation_ms,range_bound_ms,cuda_memory_allocated_bytes,cuda_memory_reserved_bytes,samples_checked,sample_violations,containment_pass,max_width,mean_width,speedup_vs_scalar_cpu,speedup_vs_dense_cpu,width_ratio_vs_termwise,width_ratio_vs_interval,dominant_operation,recommendation
vdp,32,cpu,torch_dense,50,4,0.01,float64,split2,merged,ok,,944.720617,0.358730555,933.145025,7.01993145,352.244321,17.3634524,533.763308,0,0,144,0,yes,1.21345962,0.595054406,,,0.938243504,0.746285138,rhs construction,GPU_PATH_CONTINUE
vdp,128,cpu,torch_dense,50,4,0.01,float64,interval,termwise,ok,,524.731636,0.387775712,514.869558,9.69931297,309.840884,18.6186265,150.831373,0,0,144,0,yes,1.7892595,0.878133128,,,,,rhs construction,GPU_PATH_CONTINUE
vdp,128,cpu,torch_dense,50,4,0.01,float64,interval,merged,ok,,336.69539,0.350516289,326.878977,9.58227646,125.419039,18.5266444,147.768927,0,0,144,0,yes,1.63046955,0.804825631,,,0.911253817,,rhs construction,GPU_PATH_CONTINUE
vdp,128,cpu,torch_dense,50,4,0.01,float64,split2,termwise,ok,,1942.22454,0.339511782,1929.95098,9.82851442,1233.77501,18.892156,643.812528,0,0,144,0,yes,1.29629652,0.631825426,,,,0.724487711,rhs construction,GPU_PATH_CONTINUE
vdp,128,cpu,torch_dense,50,4,0.01,float64,split2,merged,ok,,1183.70404,0.362288207,1171.47285,9.80934966,473.43869,19.1900367,645.055783,0,0,144,0,yes,1.21684986,0.595150214,,,0.938712586,0.746318666,rhs construction,GPU_PATH_CONTINUE
vdp,512,cpu,torch_dense,50,4,0.01,float64,interval,termwise,ok,,1432.30816,0.360597856,1419.7985,27.5574476,1051.16359,23.8952115,269.547532,0,0,144,0,yes,1.83459475,0.879179974,,,,,rhs construction,GPU_PATH_CONTINUE
vdp,512,cpu,torch_dense,50,4,0.01,float64,interval,merged,ok,,619.20105,0.373730436,606.808914,26.46113,276.121738,23.9637727,249.645789,0,0,144,0,yes,1.6705168,0.805781766,,,0.910564471,,rhs construction,GPU_PATH_CONTINUE
vdp,512,cpu,torch_dense,50,4,0.01,float64,split2,termwise,ok,,4972.7621,0.340353698,4955.83214,27.7776401,3784.20737,24.3731365,1074.20858,0,0,144,0,yes,1.32709301,0.632543511,,,,0.723371202,rhs construction,GPU_PATH_CONTINUE
vdp,512,cpu,torch_dense,50,4,0.01,float64,split2,merged,ok,,2088.50256,0.357610174,2071.86704,26.5363334,939.509783,24.3755355,1055.56325,0,0,144,0,yes,1.24499957,0.595822907,,,0.938140399,0.74527809,rhs construction,GPU_PATH_CONTINUE
vdp,2048,cpu,torch_dense,50,4,0.01,float64,interval,termwise,ok,,5697.62004,0.34128502,5647.10726,120.056997,4641.01581,36.0842291,755.479296,0,0,144,0,yes,1.83459475,0.879386101,,,,,rhs construction,GPU_PATH_CONTINUE
vdp,2048,cpu,torch_dense,50,4,0.01,float64,interval,merged,ok,,1716.80087,0.38610585,1692.91142,97.49474,866.272305,34.5129762,647.28579,0,0,144,0,yes,1.6705168,0.805965849,,,0.910564471,,rhs construction,GPU_PATH_CONTINUE
vdp,2048,cpu,torch_dense,50,4,0.01,float64,split2,termwise,ok,,19841.8685,0.333853997,19776.267,118.855102,16777.2608,35.0439847,2770.96296,0,0,144,0,yes,1.32709301,0.632683652,,,,0.723371202,rhs construction,GPU_PATH_CONTINUE
vdp,2048,cpu,torch_dense,50,4,0.01,float64,split2,merged,ok,,5670.86362,0.347737223,5635.81334,97.7150127,2804.05814,34.4688697,2663.08275,0,0,144,0,yes,1.24499957,0.59595202,,,0.938140399,0.74527809,rhs construction,GPU_PATH_CONTINUE
vdp,8192,cpu,torch_dense,50,4,0.01,float64,interval,termwise,ok,,29592.871,0.340156257,29522.137,774.642482,25478.5032,93.0357231,2847.33691,0,0,144,0,yes,1.83459475,0.879428538,,,,,rhs construction,GPU_PATH_CONTINUE
vdp,8192,cpu,torch_dense,50,4,0.01,float64,interval,merged,ok,,10536.6528,0.374642201,10461.5118,800.85245,6957.38449,93.3572818,2468.97363,0,0,144,0,yes,1.6705168,0.806004278,,,0.910564471,,rhs construction,GPU_PATH_CONTINUE
vdp,8192,cpu,torch_dense,50,4,0.01,float64,split2,termwise,ok,,105123.177,0.373028219,105012.694,782.40013,93842.5194,93.6553124,9946.56792,0,0,144,0,yes,1.32709301,0.63271276,,,,0.723371202,rhs construction,GPU_PATH_CONTINUE
vdp,8192,cpu,torch_dense,50,4,0.01,float64,split2,merged,ok,,27964.2847,0.388137065,27851.467,797.669125,17365.6705,93.094172,9501.53915,0,0,144,0,yes,1.24499957,0.595979124,,,0.938140399,0.74527809,rhs construction,GPU_PATH_CONTINUE
vdp,1,cuda,torch_dense,50,4,0.01,float64,interval,termwise,ok,,861.12642,12.7723422,821.582457,14.8231834,253.260939,48.0087725,277.22191,45056,2097152,9,0,yes,1.32160688,0.750141099,,0.265850434,,,rhs construction,GPU_PATH_CONTINUE
vdp,1,cuda,torch_dense,50,4,0.01,float64,interval,merged,ok,,793.121277,0.511541963,752.314423,10.6864786,177.002965,47.57623,275.442375,35840,2097152,9,0,yes,1.20801163,0.689313073,,0.282425491,0.914047624,,rhs construction,GPU_PATH_CONTINUE
vdp,1,cuda,torch_dense,50,4,0.01,float64,split2,termwise,ok,,2203.17303,0.490278006,2159.54972,10.6993262,727.384145,48.0343532,1185.96878,49664,2097152,9,0,yes,0.972009553,0.543719859,,0.361719856,,0.735475555,rhs construction,GPU_PATH_CONTINUE
vdp,1,cuda,torch_dense,50,4,0.01,float64,split2,merged,ok,,2200.63027,0.501408242,2157.0053,10.6879929,725.769198,48.0259489,1184.93916,40448,2097152,9,0,yes,0.915180352,0.513289418,,0.355783446,0.941534318,0.757592335,rhs construction,GPU_PATH_CONTINUE
vdp,8,cuda,torch_dense,50,4,0.01,float64,interval,termwise,ok,,749.758834,0.501740724,709.688288,11.0522695,176.873676,49.0671489,279.9397,159232,2097152,72,0,yes,1.78563938,0.869463377,,0.339951845,,,rhs construction,GPU_PATH_CONTINUE
vdp,8,cuda,torch_dense,50,4,0.01,float64,interval,merged,ok,,747.595359,0.494305976,708.113591,10.7281767,179.492254,48.6453008,278.177706,58880,2097152,72,0,yes,1.62599998,0.796935882,,0.322976518,0.910598182,,rhs construction,GPU_PATH_CONTINUE
vdp,8,cuda,torch_dense,50,4,0.01,float64,split2,termwise,ok,,2236.76938,0.484006479,2192.70847,10.8348234,738.504852,48.8629192,1206.2863,163840,2097152,72,0,yes,1.29333122,0.625802014,,0.39026235,,0.724295865,rhs construction,GPU_PATH_CONTINUE
vdp,8,cuda,torch_dense,50,4,0.01,float64,split2,merged,ok,,2231.51629,0.520336442,2187.87362,10.7522029,737.31864,48.6812508,1202.04217,63488,2097152,72,0,yes,1.21345962,0.589517127,,0.37796481,0.938243504,0.746285138,rhs construction,GPU_PATH_CONTINUE
vdp,32,cuda,torch_dense,50,4,0.01,float64,interval,termwise,ok,,749.812821,0.503133051,709.488152,10.8750174,175.787372,48.9524528,279.82094,572416,2097152,144,0,yes,1.78563938,0.878097475,,0.392574047,,,rhs construction,GPU_PATH_CONTINUE
vdp,32,cuda,torch_dense,50,4,0.01,float64,interval,merged,ok,,756.241856,0.5036043,715.812226,10.8214384,180.336587,49.1020922,280.880613,174080,2097152,144,0,yes,1.62599998,0.804713589,,0.350397139,0.910598182,,rhs construction,GPU_PATH_CONTINUE
vdp,32,cuda,torch_dense,50,4,0.01,float64,split2,termwise,ok,,2229.05925,0.500995666,2184.82853,10.8034266,733.625271,48.7219356,1202.85685,577024,2097152,144,0,yes,1.29333122,0.631767819,,0.461811263,,0.724295865,rhs construction,GPU_PATH_CONTINUE
vdp,32,cuda,torch_dense,50,4,0.01,float64,split2,merged,ok,,2235.5863,0.513679348,2191.78099,10.7564135,738.824216,48.8099167,1203.94271,174080,2097152,144,0,yes,1.21345962,0.595054406,,0.422582934,0.938243504,0.746285138,rhs construction,GPU_PATH_CONTINUE
vdp,128,cuda,torch_dense,50,4,0.01,float64,interval,termwise,ok,,750.023063,0.502645038,709.729227,10.6733516,176.273113,49.0069967,280.069822,2224128,4194304,144,0,yes,1.7892595,0.878133128,,0.699620667,,,rhs construction,GPU_PATH_CONTINUE
vdp,128,cuda,torch_dense,50,4,0.01,float64,interval,merged,ok,,760.678576,0.483630225,720.389971,10.7896877,182.392406,49.4836001,282.966627,636928,4194304,144,0,yes,1.63046955,0.804825631,,0.442625046,0.911253817,,rhs construction,GPU_PATH_CONTINUE
vdp,128,cuda,torch_dense,50,4,0.01,float64,split2,termwise,ok,,2251.91928,0.501048751,2207.22326,10.7787782,740.802838,49.4930251,1216.24165,2235392,4194304,144,0,yes,1.29629652,0.631825426,,0.862475204,,0.724487711,rhs construction,GPU_PATH_CONTINUE
vdp,128,cuda,torch_dense,50,4,0.01,float64,split2,merged,ok,,2259.15217,0.511484221,2214.6794,10.7702892,745.961201,49.3938169,1216.93054,636928,4194304,144,0,yes,1.21684986,0.595150214,,0.52395941,0.938712586,0.746318666,rhs construction,GPU_PATH_CONTINUE
vdp,512,cuda,torch_dense,50,4,0.01,float64,interval,termwise,ok,,755.436498,0.49970299,714.869715,10.7027469,178.734119,49.21751,281.646249,8844288,29360128,144,0,yes,1.83459475,0.879179974,,1.89600075,,,rhs construction,GPU_PATH_CONTINUE
vdp,512,cuda,torch_dense,50,4,0.01,float64,interval,merged,ok,,760.224024,0.498396344,719.575734,10.759918,181.365557,49.4992938,282.35232,2495488,29360128,144,0,yes,1.6705168,0.805781766,,0.814498136,0.910564471,,rhs construction,GPU_PATH_CONTINUE
vdp,512,cuda,torch_dense,50,4,0.01,float64,split2,termwise,ok,,2270.00353,0.516341999,2225.15442,10.8409431,750.170415,49.6596955,1222.6624,8886272,29360128,144,0,yes,1.32709301,0.632543511,,2.19064069,,0.723371202,rhs construction,GPU_PATH_CONTINUE
vdp,512,cuda,torch_dense,50,4,0.01,float64,split2,merged,ok,,2263.36294,0.498296693,2218.91064,10.8036036,748.474154,49.4304942,1218.93733,2495488,29360128,144,0,yes,1.24499957,0.595822907,,0.92274311,0.938140399,0.74527809,rhs construction,GPU_PATH_CONTINUE
vdp,2048,cuda,torch_dense,50,4,0.01,float64,interval,termwise,ok,,768.838332,0.494904816,728.330214,10.7957004,189.727165,49.3771071,283.082051,35980288,50331648,144,0,yes,1.83459475,0.879386101,,7.41068675,,,rhs construction,GPU_PATH_CONTINUE
vdp,2048,cuda,torch_dense,50,4,0.01,float64,interval,merged,ok,,761.931645,0.511661172,721.643051,10.7855359,182.886168,49.6054133,282.793667,9929728,50331648,144,0,yes,1.6705168,0.805965849,,2.25322164,0.910564471,,rhs construction,GPU_PATH_CONTINUE
vdp,2048,cuda,torch_dense,50,4,0.01,float64,split2,termwise,ok,,2291.22766,0.493291765,2246.43142,10.7989227,769.689284,49.7644795,1224.09265,36145152,50331648,144,0,yes,1.32709301,0.632683652,,8.65992884,,0.723371202,rhs construction,GPU_PATH_CONTINUE
vdp,2048,cuda,torch_dense,50,4,0.01,float64,split2,merged,ok,,2298.01785,0.49254857,2252.53476,10.9939333,758.826106,50.2956631,1237.00833,9929728,50331648,144,0,yes,1.24499957,0.59595202,,2.46771957,0.938140399,0.74527809,rhs construction,GPU_PATH_CONTINUE
vdp,8192,cuda,torch_dense,50,4,0.01,float64,interval,termwise,ok,,985.753643,0.54793898,944.745952,10.9792175,399.325516,49.8576118,286.717276,143868928,182452224,144,0,yes,1.83459475,0.879428538,,30.0205546,,,rhs construction,GPU_PATH_CONTINUE
vdp,8192,cuda,torch_dense,50,4,0.01,float64,interval,merged,ok,,764.532828,0.525359996,723.744904,10.9399715,182.501518,49.4457474,283.868813,40322048,182452224,144,0,yes,1.6705168,0.806004278,,13.7818187,0.910564471,,rhs construction,GPU_PATH_CONTINUE
vdp,8192,cuda,torch_dense,50,4,0.01,float64,split2,termwise,ok,,3141.27079,0.489838421,3096.28678,10.9665394,1611.87974,49.751306,1230.73483,144525312,182452224,144,0,yes,1.32709301,0.63271276,,33.4651752,,0.723371202,rhs construction,GPU_PATH_CONTINUE
vdp,8192,cuda,torch_dense,50,4,0.01,float64,split2,merged,ok,,2285.09064,0.496406108,2240.37972,10.978925,754.455524,49.8779137,1231.59101,40322048,182452224,144,0,yes,1.24499957,0.595979124,,12.2377136,0.938140399,0.74527809,rhs construction,GPU_PATH_CONTINUE
