operator,event_count,self_cpu_time_us,most_common_input_shapes,most_common_input_shapes_count
aten::as_strided,31990,25082.97400000794,"[[],[],[],[]]",10330
aten::empty_strided,10838,84045.7980000066,"[[],[],[],[],[],[]]",10838
aten::unsqueeze,10471,19803.951000000314,"[[],[]]",5146
aten::fill_,9083,60331.30600000881,"[[48,1],[]]",3762
aten::empty_like,8683,27833.99299998664,"[[48,1],[],[],[],[],[]]",3770
aten::abs,6186,45175.29299999548,[[48]],2158
aten::empty,5816,41343.28400000819,"[[],[],[],[],[],[]]",5816
aten::resize_,5568,27406.05499999314,"[[0],[],[]]",5568
aten::le,5508,71719.74099999425,"[[48,1],[48,1]]",2674
aten::full_like,5466,20184.99400001219,"[[48,1],[],[],[],[],[],[]]",1820
aten::nextafter,5464,65110.4130000115,"[[48,1],[48,1]]",1820
aten::mul,5316,64082.367000012724,"[[48,84],[48,84]]",1632
aten::all,5140,99958.62100000583,"[[48,1]]",2771
aten::select,4547,19347.644999987544,"[[48,5,56],[],[]]",1681
aten::pow,3773,49224.447000000015,"[[48],[]]",3768
aten::slice,3374,14903.770999999786,"[[48,6],[],[],[],[]]",1066
aten::cat,3238,52884.74800000158,"[[],[]]",3238
aten::copy_,3094,22435.767000020744,"[[48,5],[48,5],[]]",1520
aten::stack,3007,33865.86000000387,"[[],[]]",3007
aten::zero_,2623,10008.81999999268,"[[48,1]]",1911
aten::zeros_like,2524,8147.880000006744,"[[48,1],[],[],[],[],[]]",1911
aten::clone,2117,11136.413999998029,"[[48,1],[]]",1190
aten::view,2093,3940.7719999985275,"[[96],[]]",1166
aten::add,2035,27579.2190000018,"[[48,5],[48,5],[]]",960
aten::min,1930,54540.590999992346,"[[2,48],[],[]]",1166
aten::max,1930,51875.49699999271,"[[2,48],[],[]]",1166
aten::maximum,1695,22091.289000005367,"[[48],[48]]",538
aten::index_select,1392,22176.803000008847,"[[48,4],[],[84]]",816
aten::minimum,1345,16928.731999999363,"[[48],[48]]",538
aten::__and__,1342,2781.536000000312,"[[48],[48]]",549
aten::bitwise_and,1342,18030.970999996473,"[[48],[48]]",549
aten::ge,1293,22985.96700001011,"[[48],[]]",538
aten::where,945,15107.14600000618,"[[48],[48],[48]]",718
aten::ones_like,653,2123.388999998646,"[[48],[],[],[],[],[]]",538
aten::sub,476,6009.249000003134,"[[48,1],[48,1],[]]",221
aten::eq,425,5353.8049999958075,"[[48,1],[48,1]]",195
aten::sum,416,8674.432999998737,"[[48,1,84],[],[],[]]",260
aten::isfinite,304,3277.3439999954453,"[[48,1]]",195
aten::ne,304,4651.2010000019,"[[48,1],[]]",195
aten::lift_fresh,288,65.89400000125352,[[]],271
aten::item,253,434.5960000005962,[[]],253
aten::_local_scalar_dense,253,297.55499999713174,[[]],253
aten::arange,206,1527.072000001328,"[[],[],[],[],[]]",103
aten::neg,185,2285.5399999985093,"[[48,1]]",169
aten::expand,110,617.6439999993454,"[[],[],[]]",31
aten::ones,106,567.1119999994226,"[[],[],[],[],[]]",106
aten::zeros,99,563.9560000024358,"[[],[],[],[],[]]",99
aten::to,80,213.67500000002838,"[[],[],[],[],[],[]]",31
aten::div,80,1209.310000000798,"[[48,1],[]]",65
aten::expand_as,78,191.30299999953786,"[[1,1,455],[48,1,455]]",26
aten::scatter_add_,78,1598.5169999998398,"[[48,1,84],[],[48,1,455],[48,1,455]]",39
aten::_to_copy,78,473.36799999918003,"[[],[],[],[],[],[],[]]",46
aten::reshape,46,82.13899999996647,"[[1],[]]",15
aten::index_put_,41,154.96200000238605,"[[48,84],[],[48,21],[]]",12
aten::_index_put_impl_,41,839.1489999953192,"[[48,84],[],[48,21],[],[]]",12
aten::nonzero,35,1559.2149999972899,[[84]],30
aten::t,35,78.24300000164658,"[[1,1]]",15
aten::transpose,35,189.17800000030547,"[[1,1],[],[]]",15
aten::set_,35,136.49400000018068,"[[1,1],[1,1]]",15
aten::bincount,15,502.6890000010935,"[[455],[],[]]",15
aten::rsub,15,97.62499999999272,"[[84],[],[]]",15
aten::__iand__,12,37.51699999958828,"[[48,5],[48,5]]",10
aten::bitwise_and_,12,159.3990000000963,"[[48,5],[48,5]]",10
aten::__ior__,7,34.058999999508615,"[[56],[56]]",5
aten::bitwise_or_,7,81.87099999977318,"[[56],[56]]",5
aten::index,5,138.2409999994561,"[[48,5,56],[]]",5
aten::squeeze,5,31.873999998904765,"[[48,5,1],[]]",5
aten::is_nonzero,3,10.318999999435619,[[]],3
aten::isclose,2,101.94999999999936,"[[48],[48],[],[],[]]",2
aten::bmm,2,172.27499999990687,"[[48,5,84],[48,84,84]]",2
aten::detach_,1,3.570000000006985,[[5]],1
aten::broadcast_tensors,1,1.6710000000311993,[[]],1
