plant,step,t_end_exact,view,metric,component,baseline_lo_hex,baseline_hi_hex,candidate_lo_hex,candidate_hi_hex,baseline_width,candidate_width,width_ratio,bitwise_equal
brusselator,3,17293822569102705/288230376151711744,common,tube,x,0x1.8ae51d393b3fdp+0,0x1.a45d6536dfb1bp+0,0x1.8ae51d393b3fdp+0,0x1.a45d6536dfb1bp+0,0.0994915956729936,0.0994915956729936,1.0,True
brusselator,3,17293822569102705/288230376151711744,common,tube,y,0x1.69e2fe1c3d644p+1,0x1.777a9c12f5de8p+1,0x1.69e2fe1c3d644p+1,0x1.777a9c12f5de8p+1,0.10618948504357384,0.10618948504357384,1.0,True
brusselator,4,5764607523034235/72057594037927936,published,endpoint,x,0x1.9e031a4a36aeep+0,0x1.afab9eff97eafp+0,0x1.9e031a4a36aeep+0,0x1.afab9eff97eafp+0,0.06897763660639122,0.06897763660639122,1.0,True
brusselator,4,5764607523034235/72057594037927936,published,endpoint,y,0x1.63314b016a04ap+1,0x1.6a3658939007dp+1,0x1.63314b016a04ap+1,0x1.6a3658939007dp+1,0.05484170566708135,0.05484170566708135,1.0,True
brusselator,4,5764607523034235/72057594037927936,published,tube,x,0x1.93bf734265edfp+0,0x1.afac8b4a3b5dcp+0,0x1.93bf734265edfp+0,0x1.afac8b4a3b5dcp+0,0.10908651534322122,0.10908651534322122,1.0,True
brusselator,4,5764607523034235/72057594037927936,published,tube,y,0x1.62d70eb289cfdp+1,0x1.714fd52c87159p+1,0x1.62d70eb289cfdp+1,0x1.714fd52c87159p+1,0.11306076962004674,0.11306076962004674,1.0,True
brusselator,4,5764607523034235/72057594037927936,common,endpoint,x,0x1.9e031a4a36afcp+0,0x1.afab9eff97ea2p+0,0x1.9e031a4a36afcp+0,0x1.afab9eff97ea2p+0,0.06897763660638523,0.06897763660638523,1.0,True
brusselator,4,5764607523034235/72057594037927936,common,endpoint,y,0x1.63314b016a058p+1,0x1.6a36589390070p+1,0x1.63314b016a058p+1,0x1.6a36589390070p+1,0.05484170566706936,0.05484170566706936,1.0,True
brusselator,4,5764607523034235/72057594037927936,common,tube,x,0x1.93bf734265f07p+0,0x1.afac8b4a3b5b4p+0,0x1.93bf734265f07p+0,0x1.afac8b4a3b5b4p+0,0.10908651534320346,0.10908651534320346,1.0,True
brusselator,4,5764607523034235/72057594037927936,common,tube,y,0x1.62d70eb289d24p+1,0x1.714fd52c87130p+1,0x1.62d70eb289d24p+1,0x1.714fd52c87130p+1,0.11306076962001121,0.11306076962001121,1.0,True
brusselator,5,28823037615171175/288230376151711744,published,endpoint,x,0x1.a781bff827bd9p+0,0x1.bb640cdc77a1cp+0,0x1.a781bff827bd9p+0,0x1.bb640cdc77a1cp+0,0.07767181943917545,0.07767181943917545,1.0,True
brusselator,5,28823037615171175/288230376151711744,published,endpoint,y,0x1.5be6e9edf6093p+1,0x1.6373fb9debe20p+1,0x1.5be6e9edf6093p+1,0x1.6373fb9debe20p+1,0.05899258701146559,0.05899258701146559,1.0,True
brusselator,5,28823037615171175/288230376151711744,published,tube,x,0x1.9ce541c8292b7p+0,0x1.bb656d40871bap+0,0x1.9ce541c8292b7p+0,0x1.bb656d40871bap+0,0.1191432160248389,0.1191432160248389,1.0,True
brusselator,5,28823037615171175/288230376151711744,published,tube,y,0x1.5b8178306f3b5p+1,0x1.6adf95db07289p+1,0x1.5b8178306f3b5p+1,0x1.6adf95db07289p+1,0.12005968885191898,0.12005968885191898,1.0,True
brusselator,5,28823037615171175/288230376151711744,common,endpoint,x,0x1.a781bff827be6p+0,0x1.bb640cdc77a10p+0,0x1.a781bff827be6p+0,0x1.bb640cdc77a10p+0,0.0776718194391699,0.0776718194391699,1.0,True
brusselator,5,28823037615171175/288230376151711744,common,endpoint,y,0x1.5be6e9edf60a2p+1,0x1.6373fb9debe11p+1,0x1.5be6e9edf60a2p+1,0x1.6373fb9debe11p+1,0.05899258701145227,0.05899258701145227,1.0,True
brusselator,5,28823037615171175/288230376151711744,common,tube,x,0x1.9ce541c8292e1p+0,0x1.bb656d4087191p+0,0x1.9ce541c8292e1p+0,0x1.bb656d4087191p+0,0.11914321602482048,0.11914321602482048,1.0,True
brusselator,5,28823037615171175/288230376151711744,common,tube,y,0x1.5b8178306f3ddp+1,0x1.6adf95db0725ep+1,0x1.5b8178306f3ddp+1,0x1.6adf95db0725ep+1,0.12005968885188212,0.12005968885188212,1.0,True
brusselator,6,17293822569102705/144115188075855872,published,endpoint,x,0x1.b142732048340p+0,0x1.c77ece2a6b690p+0,0x1.b142732048340p+0,0x1.c77ece2a6b690p+0,0.0868584537267516,0.0868584537267516,1.0,True
brusselator,6,17293822569102705/144115188075855872,published,endpoint,y,0x1.5456d2a47f8b7p+1,0x1.5c6e017d31a42p+1,0x1.5456d2a47f8b7p+1,0x1.5c6e017d31a42p+1,0.06320748883098792,0.06320748883098792,1.0,True
brusselator,6,17293822569102705/144115188075855872,published,tube,x,0x1.a6534aa1167e3p+0,0x1.c780b751a955fp+0,0x1.a6534aa1167e3p+0,0x1.c780b751a955fp+0,0.12959937392119425,0.12959937392119425,1.0,True
brusselator,6,17293822569102705/144115188075855872,published,tube,y,0x1.53e52af9e9306p+1,0x1.642a73cfd8bd0p+1,0x1.53e52af9e9306p+1,0x1.642a73cfd8bd0p+1,0.12711439558106452,0.12711439558106452,1.0,True
brusselator,6,17293822569102705/144115188075855872,common,endpoint,x,0x1.b14273204834dp+0,0x1.c77ece2a6b683p+0,0x1.b14273204834dp+0,0x1.c77ece2a6b683p+0,0.08685845372674583,0.08685845372674583,1.0,True
brusselator,6,17293822569102705/144115188075855872,common,endpoint,y,0x1.5456d2a47f8c5p+1,0x1.5c6e017d31a34p+1,0x1.5456d2a47f8c5p+1,0x1.5c6e017d31a34p+1,0.06320748883097549,0.06320748883097549,1.0,True
brusselator,6,17293822569102705/144115188075855872,common,tube,x,0x1.a6534aa11680cp+0,0x1.c780b751a9535p+0,0x1.a6534aa11680cp+0,0x1.c780b751a9535p+0,0.12959937392117582,0.12959937392117582,1.0,True
brusselator,6,17293822569102705/144115188075855872,common,tube,y,0x1.53e52af9e932ep+1,0x1.642a73cfd8ba8p+1,0x1.53e52af9e932ep+1,0x1.642a73cfd8ba8p+1,0.127114395581029,0.127114395581029,1.0,True
brusselator,7,40352252661239645/288230376151711744,published,endpoint,x,0x1.bb3e81f30f1a9p+0,0x1.d3f1ade8ba69ap+0,0x1.bb3e81f30f1a9p+0,0x1.d3f1ade8ba69ap+0,0.09648394344122502,0.09648394344122502,1.0,True
brusselator,7,40352252661239645/288230376151711744,published,endpoint,y,0x1.4c854ec9c30cbp+1,0x1.55270417aaacep+1,0x1.4c854ec9c30cbp+1,0x1.55270417aaacep+1,0.06743494323677757,0.06743494323677757,1.0,True
brusselator,7,40352252661239645/288230376151711744,published,tube,x,0x1.b0050da03b511p+0,0x1.d3f43441e02cap+0,0x1.b0050da03b511p+0,0x1.d3f43441e02cap+0,0.14036790319810977,0.14036790319810977,1.0,True
brusselator,7,40352252661239645/288230376151711744,published,tube,y,0x1.4c067932470fep+1,0x1.5d31d4f9bcd5fp+1,0x1.4c067932470fep+1,0x1.5d31d4f9bcd5fp+1,0.13413569678554937,0.13413569678554937,1.0,True
brusselator,7,40352252661239645/288230376151711744,common,endpoint,x,0x1.bb3e81f30f1b6p+0,0x1.d3f1ade8ba68dp+0,0x1.bb3e81f30f1b6p+0,0x1.d3f1ade8ba68dp+0,0.09648394344121924,0.09648394344121924,1.0,True
brusselator,7,40352252661239645/288230376151711744,common,endpoint,y,0x1.4c854ec9c30d7p+1,0x1.55270417aaac1p+1,0x1.4c854ec9c30d7p+1,0x1.55270417aaac1p+1,0.06743494323676646,0.06743494323676646,1.0,True
brusselator,7,40352252661239645/288230376151711744,common,tube,x,0x1.b0050da03b53ap+0,0x1.d3f43441e02a0p+0,0x1.b0050da03b53ap+0,0x1.d3f43441e02a0p+0,0.14036790319809134,0.14036790319809134,1.0,True
brusselator,7,40352252661239645/288230376151711744,common,tube,y,0x1.4c0679324712ap+1,0x1.5d31d4f9bcd33p+1,0x1.4c0679324712ap+1,0x1.5d31d4f9bcd33p+1,0.1341356967855103,0.1341356967855103,1.0,True
brusselator,8,5764607523034235/36028797018963968,published,endpoint,x,0x1.c56d97223e90bp+0,0x1.e0af422b3aa26p+0,0x1.c56d97223e90bp+0,0x1.e0af422b3aa26p+0,0.10647076577521974,0.10647076577521974,1.0,True
brusselator,8,5764607523034235/36028797018963968,published,endpoint,y,0x1.447826c3065fep+1,0x1.4da2bc2633ff1p+1,0x1.447826c3065fep+1,0x1.4da2bc2633ff1p+1,0.07161204664884613,0.07161204664884613,1.0,True
brusselator,8,5764607523034235/36028797018963968,published,tube,x,0x1.b9f49cd344004p+0,0x1.e0b27e1f745a2p+0,0x1.b9f49cd344004p+0,0x1.e0b27e1f745a2p+0,0.15133483991699093,0.15133483991699093,1.0,True
brusselator,8,5764607523034235/36028797018963968,published,tube,y,0x1.43eb3fbe92eaep+1,0x1.55f80f381353bp+1,0x1.43eb3fbe92eaep+1,0x1.55f80f381353bp+1,0.14101594383902816,0.14101594383902816,1.0,True
brusselator,8,5764607523034235/36028797018963968,common,endpoint,x,0x1.c56d97223e918p+0,0x1.e0af422b3aa19p+0,0x1.c56d97223e918p+0,0x1.e0af422b3aa19p+0,0.10647076577521397,0.10647076577521397,1.0,True
brusselator,8,5764607523034235/36028797018963968,common,endpoint,y,0x1.447826c30660cp+1,0x1.4da2bc2633fe3p+1,0x1.447826c30660cp+1,0x1.4da2bc2633fe3p+1,0.0716120466488337,0.0716120466488337,1.0,True
brusselator,8,5764607523034235/36028797018963968,common,tube,x,0x1.b9f49cd34402dp+0,0x1.e0b27e1f74578p+0,0x1.b9f49cd34402dp+0,0x1.e0b27e1f74578p+0,0.1513348399169725,0.1513348399169725,1.0,True
brusselator,8,5764607523034235/36028797018963968,common,tube,y,0x1.43eb3fbe92ed6p+1,0x1.55f80f3813514p+1,0x1.43eb3fbe92ed6p+1,0x1.55f80f3813514p+1,0.14101594383899307,0.14101594383899307,1.0,True
brusselator,9,51881467707308115/288230376151711744,published,endpoint,x,0x1.cfc5a1e3b73b6p+0,0x1.eda6a8ce350d1p+0,0x1.cfc5a1e3b73b6p+0,0x1.eda6a8ce350d1p+0,0.11671488976373356,0.11671488976373356,1.0,True
brusselator,9,51881467707308115/288230376151711744,published,endpoint,y,0x1.3c36bed4a38dfp+1,0x1.45e61e9c423f9p+1,0x1.3c36bed4a38dfp+1,0x1.45e61e9c423f9p+1,0.07566449400964093,0.07566449400964093,1.0,True
brusselator,9,51881467707308115/288230376151711744,published,tube,x,0x1.c41a780eb0ae9p+0,0x1.edaabaffb2fcdp+0,0x1.c41a780eb0ae9p+0,0x1.edaabaffb2fcdp+0,0.16235750564583729,0.16235750564583729,1.0,True
