run,purpose,plant,mode,prepared_remainder_replay,packed_boundary_execution,source_sha,setup_seconds,solve_seconds,export_seconds,whole_process_seconds,peak_rss_bytes,accepted_steps,rejected_attempts,start_boundary,actual_h_sum,python,torch,affinity,threads
brusselator_middle_pair3_candidate,representative_20_step_pair,brusselator,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.0482299760915339,19.06848758365959,1.0646022972650826,22.244584873318672,462462976,20,0,100,28823037615171175/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_late_pair1_baseline,representative_20_step_pair,brusselator,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.31733108405023813,31.277697385754436,4.361458038911223,38.078726175706834,480940032,20,0,980,28823037615171175/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_late_pair1_candidate,representative_20_step_pair,brusselator,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.31558983819559216,25.420997026376426,4.154955218080431,32.0218486986123,482422784,20,0,980,28823037615171175/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_late_pair2_candidate,representative_20_step_pair,brusselator,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.31130024790763855,25.247659338172525,4.150941139087081,31.827935616951436,482971648,20,0,980,28823037615171175/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_late_pair2_baseline,representative_20_step_pair,brusselator,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.3151915492489934,30.64594993274659,4.35063561424613,37.427583381999284,481964032,20,0,980,28823037615171175/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_late_pair3_baseline,representative_20_step_pair,brusselator,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.30490692704916,30.052747191861272,4.274605313315988,36.91665276698768,481472512,20,0,980,28823037615171175/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_late_pair3_candidate,representative_20_step_pair,brusselator,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.31614951277151704,25.244828335940838,4.156014333479106,31.83361732074991,481849344,20,0,980,28823037615171175/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_early_pair1_baseline,representative_20_step_pair,van_der_pol,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.008020433131605387,12.513613414019346,0.3528385818935931,14.92144404258579,461238272,20,0,0,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_early_pair1_candidate,representative_20_step_pair,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.008196952287107706,10.540955658536404,0.36013139970600605,12.949159642215818,461443072,20,0,0,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_early_pair2_candidate,representative_20_step_pair,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.008137704338878393,10.476193035487086,0.354547468945384,12.895151293836534,461709312,20,0,0,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_early_pair2_baseline,representative_20_step_pair,van_der_pol,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.00795661611482501,12.490167522802949,0.35240467404946685,14.899736143182963,461627392,20,0,0,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_early_pair3_baseline,representative_20_step_pair,van_der_pol,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007873146794736385,12.726880465634167,0.3568137972615659,15.320394172798842,462049280,20,0,0,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_early_pair3_candidate,representative_20_step_pair,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.00808206107467413,10.38074607681483,0.3511028937064111,12.785476460587233,461606912,20,0,0,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_boundary_pair1_baseline,representative_20_step_pair,van_der_pol,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.042925724759697914,14.044858884997666,0.44795624213293195,16.585091596003622,463310848,20,0,90,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_boundary_pair1_candidate,representative_20_step_pair,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.04403247078880668,11.571586147416383,0.4477106900885701,14.263719980604947,463364096,20,0,90,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_boundary_pair2_candidate,representative_20_step_pair,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.041709654964506626,11.3962621409446,0.4407098265364766,13.949148565065116,463134720,20,0,90,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_boundary_pair2_baseline,representative_20_step_pair,van_der_pol,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.04279130790382624,14.036174436099827,0.446240546181798,16.564394829329103,463249408,20,0,90,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_boundary_pair3_baseline,representative_20_step_pair,van_der_pol,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.04264530912041664,13.888050939887762,0.4460499049164355,16.42551020020619,463323136,20,0,90,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_boundary_pair3_candidate,representative_20_step_pair,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.04335209494456649,11.3705586893484,0.4441724759526551,14.114584239199758,463589376,20,0,90,28823037615171175/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_prefix100_pair1_baseline,matched_100_step_prefix,brusselator,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.008073341101408005,145.38514384487644,4.812617680989206,152.2646348620765,461844480,100,0,0,144115188075855875/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_prefix100_pair1_candidate,matched_100_step_prefix,brusselator,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007732577156275511,100.68783992249519,4.686269692145288,107.44703072309494,461484032,100,0,0,144115188075855875/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_prefix100_pair2_candidate,matched_100_step_prefix,brusselator,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007839747704565525,99.32849814882502,4.655329866334796,106.04592227330431,461279232,100,0,0,144115188075855875/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_prefix100_pair2_baseline,matched_100_step_prefix,brusselator,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007721533998847008,140.56997495843098,4.70080161979422,147.50314485421404,461320192,100,0,0,144115188075855875/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_prefix100_pair3_baseline,matched_100_step_prefix,brusselator,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.00803598714992404,143.61406796658412,4.773984733968973,150.64202326210216,461811712,100,0,0,144115188075855875/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_prefix100_pair3_candidate,matched_100_step_prefix,brusselator,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.00788798276335001,99.17276012059301,4.651202329434454,105.9475768180564,461496320,100,0,0,144115188075855875/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
van_der_pol_prefix100_pair1_baseline,matched_100_step_prefix,van_der_pol,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007844444829970598,68.16941133420914,2.091515315696597,72.31626761704683,463208448,100,0,0,144115188075855875/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
van_der_pol_prefix100_pair1_candidate,matched_100_step_prefix,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007797709200531244,55.3715820806101,2.1969472118653357,59.63079001195729,463687680,100,0,0,144115188075855875/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
van_der_pol_prefix100_pair2_candidate,matched_100_step_prefix,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007881715893745422,55.92316093062982,2.193669982254505,60.16909631015733,463405056,100,0,0,144115188075855875/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
van_der_pol_prefix100_pair2_baseline,matched_100_step_prefix,van_der_pol,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.00814378121867776,67.73281846288592,2.1003411430865526,72.08773657120764,462770176,100,0,0,144115188075855875/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
van_der_pol_prefix100_pair3_baseline,matched_100_step_prefix,van_der_pol,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007874627131968737,69.62811586121097,2.132000527344644,73.83721350086853,463618048,100,0,0,144115188075855875/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
van_der_pol_prefix100_pair3_candidate,matched_100_step_prefix,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.008636608254164457,56.71318204887211,2.2420961633324623,61.219213511794806,463495168,100,0,0,144115188075855875/144115188075855872,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_full_baseline,fresh_fixed_1000,brusselator,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007743265014141798,1440.1022867751308,92.84329102700576,1537.5315101360902,482992128,1000,0,0,720575940379279375/36028797018963968,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
brusselator_full_candidate,fresh_fixed_1000,brusselator,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.00815338408574462,1121.579599372577,93.99345752270892,1220.3282157871872,483213312,1000,0,0,720575940379279375/36028797018963968,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_full_baseline,fresh_fixed_1000,van_der_pol,baseline,True,False,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007644426077604294,696.1642418624833,20.92954578343779,719.4123974507675,466747392,1000,0,0,720575940379279375/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_full_candidate,fresh_fixed_1000,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007872469257563353,575.061501129996,21.05558757763356,598.6411124067381,466366464,1000,0,0,720575940379279375/72057594037927936,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
vdp_adaptive_candidate,frozen_adaptive_equivalence_no_speed_claim,van_der_pol,candidate,True,True,5f37cbe0427c480ef0ebbbcaba292143bc8f4ede,0.007868607994168997,145.81975071923807,5.0055725001730025,152.98121036821976,464031744,246,35,0,5764607523034236731/576460752303423488,/srv/local/shengenli/miniforge3/envs/py11/bin/python,2.5.1+cu121,[2],1
