pass_kind,category,plant,step,history_length,seconds,step_seconds,calls,interval_constructions,tensor_outputs,explicit_copy_events,case,tensor_result_creations,fraction
wall,A,brusselator,995,994,0.049656232353299856,1.280610994901508,134,5,12405,1576,brusselator_before0995,12397,0.03877542247489365
wall,B,brusselator,995,994,0.0018514101393520832,1.280610994901508,3,0,328,0,brusselator_before0995,327,0.001445724069778485
wall,C,brusselator,995,994,0.01675348822027445,1.280610994901508,7,24,5040,102,brusselator_before0995,4998,0.01308241791377323
wall,D,brusselator,995,994,0.22672703070566058,1.280610994901508,142,1772,72186,7356,brusselator_before0995,71746,0.1770459816512025
wall,E,brusselator,995,994,0.081081282813102,1.280610994901508,93,1438,30778,6046,brusselator_before0995,30778,0.06331452965491521
wall,F,brusselator,995,994,0.0023603769950568676,1.280610994901508,5,4,852,20,brusselator_before0995,852,0.0018431647115745749
wall,G,brusselator,995,994,0.41788818128407,1.280610994901508,30,3996,196439,15984,brusselator_before0995,196439,0.3263193764131393
wall,H,brusselator,995,994,0.0036814729683101177,1.280610994901508,1,34,1064,136,brusselator_before0995,1064,0.00287477851038852
wall,outside_boundary,brusselator,995,994,0.4806115194223821,1.280610994901508,0,125,122234,11802,brusselator_before0995,121564,0.37529860460033454
wall,A,brusselator,1001,0,0.04086922202259302,0.8037638841196895,146,5,12413,1577,brusselator_before1001,12405,0.05084729835473316
wall,B,brusselator,1001,0,0.0009681200608611107,0.8037638841196895,3,0,328,0,brusselator_before1001,327,0.0012044831572911863
wall,C,brusselator,1001,0,0.016358681954443455,0.8037638841196895,7,24,5040,102,brusselator_before1001,4998,0.02035259642495639
wall,D,brusselator,1001,0,0.2330768145620823,0.8037638841196895,146,1765,74264,7336,brusselator_before1001,73816,0.28998169632535337
wall,E,brusselator,1001,0,0.04373572254553437,0.8037638841196895,105,469,16107,2174,brusselator_before1001,16107,0.054413644864667286
wall,F,brusselator,1001,0,0.002189884427934885,0.8037638841196895,5,4,822,20,brusselator_before1001,822,0.002724536983063532
wall,G,brusselator,1001,0,0.0035657137632369995,0.8037638841196895,24,20,1317,83,brusselator_before1001,1317,0.004436270195372482
wall,H,brusselator,1001,0,0.0033870297484099865,0.8037638841196895,1,34,1064,136,brusselator_before1001,1064,0.004213961108889062
wall,outside_boundary,brusselator,1001,0,0.45961269503459334,0.8037638841196895,0,125,122234,11802,brusselator_before1001,121564,0.5718255125856736
wall,A,van_der_pol,100,99,0.024214051198214293,0.5812636129558086,112,5,6690,858,van_der_pol_before0100,6682,0.041657607079655955
wall,B,van_der_pol,100,99,0.0008603879250586033,0.5812636129558086,3,0,148,0,van_der_pol_before0100,147,0.0014802026238721663
wall,C,van_der_pol,100,99,0.011095836292952299,0.5812636129558086,7,14,3329,62,van_der_pol_before0100,3299,0.01908916375571556
wall,D,van_der_pol,100,99,0.14826988615095615,0.5812636129558086,113,1132,46732,4740,van_der_pol_before0100,46376,0.25508200211773546
wall,E,van_der_pol,100,99,0.048724761232733727,0.5812636129558086,75,796,18222,3366,van_der_pol_before0100,18222,0.08382558300004596
wall,F,van_der_pol,100,99,0.0016405507922172546,0.5812636129558086,5,4,592,20,van_der_pol_before0100,592,0.002822386875164642
wall,G,van_der_pol,100,99,0.03568221163004637,0.5812636129558086,25,418,15963,1673,van_der_pol_before0100,15963,0.06138731349206123
wall,H,van_der_pol,100,99,0.0036641438491642475,0.5812636129558086,1,34,1064,136,van_der_pol_before0100,1064,0.006303755761575289
wall,outside_boundary,van_der_pol,100,99,0.3071117838844657,0.5812636129558086,0,39,69658,5370,van_der_pol_before0100,68181,0.5283519852941737
