build_time_s,candidate_remainder,completed_steps,cutoff,execution_time_s,failure_category,failure_message,h,interval_precision_bits,no_refinement,order,protocol,requested_horizon,requested_steps,revalidate_refinement,sensitivity_label,source,status,stdout_log,system,tool,variant
1.7150962348096073,0.0001,100,1e-15,0.01810912834480405,,,0.01,53,False,2,native_representation,1.0,100,False,order=2,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o2_r0.0001_c1e-15_p53/repair.cpp,success,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o2_r0.0001_c1e-15_p53/run.stdout.txt,riccati,flowstar,flowstar_stock
1.7045372989960015,0.0001,100,1e-15,0.039908675011247396,,,0.01,53,False,3,native_representation,1.0,100,False,order=3,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o3_r0.0001_c1e-15_p53/repair.cpp,success,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o3_r0.0001_c1e-15_p53/run.stdout.txt,riccati,flowstar,flowstar_stock
1.7093158848583698,0.0001,100,1e-15,0.06892977701500058,,,0.01,53,False,4,native_representation,1.0,100,False,order=4,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o4_r0.0001_c1e-15_p53/repair.cpp,success,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o4_r0.0001_c1e-15_p53/run.stdout.txt,riccati,flowstar,flowstar_stock
1.7217317731119692,0.0001,100,1e-15,0.12498359614983201,,,0.01,53,False,5,native_representation,1.0,100,False,order=5,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o5_r0.0001_c1e-15_p53/repair.cpp,success,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o5_r0.0001_c1e-15_p53/run.stdout.txt,riccati,flowstar,flowstar_stock
1.7043216130696237,0.0001,100,1e-15,0.2063204301521182,,,0.01,53,False,6,native_representation,1.0,100,False,order=6,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o6_r0.0001_c1e-15_p53/repair.cpp,success,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o6_r0.0001_c1e-15_p53/run.stdout.txt,riccati,flowstar,flowstar_stock
1.7410242450423539,0.0001,200,1e-15,0.0336464480496943,,,0.005,53,False,2,native_representation,1.0,200,False,h=0.005,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.005_T1_o2_r0.0001_c1e-15_p53/repair.cpp,success,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.005_T1_o2_r0.0001_c1e-15_p53/run.stdout.txt,riccati,flowstar,flowstar_stock
1.7025999259203672,0.0001,100,1e-15,0.017941876780241728,,,0.01,53,False,2,native_representation,1.0,100,False,h=0.01,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o2_r0.0001_c1e-15_p53/repair.cpp,success,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o2_r0.0001_c1e-15_p53/run.stdout.txt,riccati,flowstar,flowstar_stock
1.6949345958419144,0.0001,50,1e-15,0.010695236269384623,,,0.02,53,False,2,native_representation,1.0,50,False,h=0.02,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.02_T1_o2_r0.0001_c1e-15_p53/repair.cpp,success,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.02_T1_o2_r0.0001_c1e-15_p53/run.stdout.txt,riccati,flowstar,flowstar_stock
1.7141213398426771,0.0001,0,1e-15,0.0030444078147411346,first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.05,53,False,2,native_representation,1.0,20,False,h=0.05,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.05_T1_o2_r0.0001_c1e-15_p53/repair.cpp,failed,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.05_T1_o2_r0.0001_c1e-15_p53/run.stdout.txt,riccati,flowstar,flowstar_stock
1.7131286058574915,1e-08,0,1e-15,0.00443484028801322,first_picard_inclusion_failed,Flowpipe::advance fixed-step/fixed-order first Picard image was not a subset; state=0 source_line=1120,0.01,53,False,2,native_representation,1.0,100,False,candidate=1e-08,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o2_r1e-08_c1e-15_p53/repair.cpp,failed,/srv/local/shengenli/torch_tm_flowpipe_three_way_repair/experiments/three_way_comparison_repair/results/20260728T140456Z/logs/flowstar/flowstar_stock_native_representation_riccati_h0.01_T1_o2_r1e-08_c1e-15_p53/run.stdout.txt,riccati,flowstar,flowstar_stock
