absolute_time,analytic_reference_status,h,lower,requested_horizon,sampled_trajectory_status,state_index,step_index,system,tool,tool_variant,upper,width
0.16,passed,0.01,-0.00020343096577769064,1.0,passed,0,16,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10183087853167713,0.10203430949745482
0.17,passed,0.01,-0.00021639287680840302,1.0,passed,0,17,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10194753572093322,0.10216392859774162
0.18,passed,0.01,-0.00022938450311041554,1.0,passed,0,18,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10206446034763099,0.1022938448507414
0.19,passed,0.01,-0.0002424059469455337,1.0,passed,0,19,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10218165333212668,0.10242405927907222
0.2,passed,0.01,-0.00025545731104519704,1.0,passed,0,20,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10229911559900326,0.10255457291004845
0.21,passed,0.01,-0.0002685386986131775,1.0,passed,0,21,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10241684807709467,0.10268538677570785
0.22,passed,0.01,-0.0002816502133282965,1.0,passed,0,22,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1025348516995103,0.10281650191283859
0.23,passed,0.01,-0.00029479195934716077,1.0,passed,0,23,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1026531274036596,0.10294791936300676
0.24,passed,0.01,-0.0003079640413069173,1.0,passed,0,24,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10277167613127693,0.10307964017258385
0.25,passed,0.01,-0.00032116656432802686,1.0,passed,0,25,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10289049882844639,0.10321166539277442
0.26,passed,0.01,-0.0003343996340170575,1.0,passed,0,26,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10300959644562713,0.10334399607964419
0.27,passed,0.01,-0.0003476633564694966,1.0,passed,0,27,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10312896993767852,0.10347663329414801
0.28,passed,0.01,-0.0003609578382725833,1.0,passed,0,28,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10324862026388572,0.1036095781021583
0.29,passed,0.01,-0.0003742831865081598,1.0,passed,0,29,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1033685483879853,0.10374283157449346
0.3,passed,0.01,-0.0003876395087555433,1.0,passed,0,30,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10348875527819112,0.10387639478694667
0.31,passed,0.01,-0.00040102691309441737,1.0,passed,0,31,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10360924190722033,0.10401026882031475
0.32,passed,0.01,-0.00041444550810774397,1.0,passed,0,32,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.1037300092523196,0.10414445476042734
0.33,passed,0.01,-0.0004278954028846953,1.0,passed,0,33,riccati,torch_tm_flowpipe,torch_order1_common_box_raw,0.10385105829529145,0.10427895369817615
