run_id,timestamp,tool,tool_variant,protocol,system,h,requested_horizon,step_index,absolute_time,state_index,interval_kind,lower,upper,width,exact_lower,exact_upper,lower_error,upper_error,exact_width,inflation_ratio,native_validation_status,analytic_reference_status,sampled_trajectory_status,failure_category,failure_message,local_order,local_basis,carried_representation,step_policy,cutoff,configured_candidate_remainder,native_returned_remainder,postprocessed_remainder,remainder_overwrite_applied,endpoint_tightening_applied,endpoint_semantics,polynomial_width,remainder_width,build_time_s,warmup_time_s,steady_runtime_s,dtype,device,repository_sha,environment
torch_tm_flowpipe_2dbc1dd7747f4ca9,20260728T140517Z,torch_tm_flowpipe,torch_order1,one_step_tube,riccati,0.005,0.005,1,0.005,0,tube,-6.250001251250028e-06,0.1000562500012513,0.10006250000250255,0.0,0.10005002501250625,-6.250001251250028e-06,-6.2249887450571695e-06,0.10005002501250625,1.0001246875250132,validated,passed,not_checked,,,1,"complete_total_degree_1(local_time,state_generators)",none_one_step,fixed_0.0050000000000000001,,,,,False,False,"whole_segment_tau_in_[0,h]",0.10000000000000005,6.250000250250022e-05,0.0,0.01626973832026124,0.01626973832026124,float64,cpu,04f1f1a5d277f77ab09bad903f05f645a4778419,py11
torch_tm_flowpipe_e41787534a166da0,20260728T140517Z,torch_tm_flowpipe,torch_order1,one_step_raw_endpoint,riccati,0.005,0.005,1,0.005,0,endpoint_raw,-6.250001251250028e-06,0.1000562500012513,0.10006250000250255,0.0,0.10005002501250625,-6.250001251250028e-06,-6.2249887450571695e-06,0.10005002501250625,1.0001246875250132,validated,passed,not_checked,,,1,complete_total_degree_1(state_generators),none_one_step,fixed_0.0050000000000000001,,,,,False,False,raw_substitution_tau_equals_h,0.10000000000000005,6.250000250250022e-05,0.0,0.011486934963613749,0.011486934963613749,float64,cpu,04f1f1a5d277f77ab09bad903f05f645a4778419,py11
torch_tm_flowpipe_e41787534a166da0,20260728T140517Z,torch_tm_flowpipe,torch_order1,one_step_raw_endpoint,riccati,0.005,0.005,1,0.005,0,endpoint_tightened,-6.252759064141064e-09,0.10005005626682162,0.10005006251958068,0.0,0.10005002501250625,-6.252759064141064e-09,-3.125431537187584e-08,0.10005002501250625,1.000000374883209,validated,passed,not_checked,,,1,complete_total_degree_1(state_generators),none_one_step,fixed_0.0050000000000000001,,,,,False,True,endpoint_tightened_fixed_time_residual,0.10000000000000005,5.006251958062874e-05,0.0,0.011486934963613749,0.011486934963613749,float64,cpu,04f1f1a5d277f77ab09bad903f05f645a4778419,py11
torch_tm_flowpipe_3045d2aef5331476,20260728T140517Z,torch_tm_flowpipe,torch_order1,one_step_tube,riccati,0.01,0.01,1,0.01,0,tube,-1.2500001252500047e-05,0.10011250000125255,0.10012500000250504,0.0,0.1001001001001001,-1.2500001252500047e-05,-1.2399901152440607e-05,0.1001001001001001,1.0002487500250252,validated,passed,not_checked,,,1,"complete_total_degree_1(local_time,state_generators)",none_one_step,fixed_0.01,,,,,False,False,"whole_segment_tau_in_[0,h]",0.10000000000000005,0.00012500000250500041,0.0,0.011620100121945143,0.011620100121945143,float64,cpu,04f1f1a5d277f77ab09bad903f05f645a4778419,py11
torch_tm_flowpipe_3a741cebc3bcef12,20260728T140517Z,torch_tm_flowpipe,torch_order1,one_step_raw_endpoint,riccati,0.01,0.01,1,0.01,0,endpoint_raw,-1.2500001252500047e-05,0.10011250000125255,0.10012500000250504,0.0,0.1001001001001001,-1.2500001252500047e-05,-1.2399901152440607e-05,0.1001001001001001,1.0002487500250252,validated,passed,not_checked,,,1,complete_total_degree_1(state_generators),none_one_step,fixed_0.01,,,,,False,False,raw_substitution_tau_equals_h,0.10000000000000005,0.00012500000250500041,0.0,0.011173889972269535,0.011173889972269535,float64,cpu,04f1f1a5d277f77ab09bad903f05f645a4778419,py11
torch_tm_flowpipe_3a741cebc3bcef12,20260728T140517Z,torch_tm_flowpipe,torch_order1,one_step_raw_endpoint,riccati,0.01,0.01,1,0.01,0,endpoint_tightened,-2.5015065006565793e-08,0.10010022512756506,0.10010025014263006,0.0,0.1001001001001001,-2.5015065006565793e-08,-1.2502746495057782e-07,0.1001001001001001,1.0000014989248742,validated,passed,not_checked,,,1,complete_total_degree_1(state_generators),none_one_step,fixed_0.01,,,,,False,True,endpoint_tightened_fixed_time_residual,0.10000000000000005,0.00010025014263001466,0.0,0.011173889972269535,0.011173889972269535,float64,cpu,04f1f1a5d277f77ab09bad903f05f645a4778419,py11
torch_tm_flowpipe_4b646f98cc13c8a2,20260728T140517Z,torch_tm_flowpipe,torch_order1,one_step_tube,riccati,0.02,0.02,1,0.02,0,tube,-2.50000012550001e-05,0.10022500000125505,0.10025000000251004,0.0,0.10020040080160321,-2.50000012550001e-05,-2.4599199651836878e-05,0.10020040080160321,1.00049500002505,validated,passed,not_checked,,,1,"complete_total_degree_1(local_time,state_generators)",none_one_step,fixed_0.02,,,,,False,False,"whole_segment_tau_in_[0,h]",0.10000000000000005,0.00025000000251000084,0.0,0.011652788147330284,0.011652788147330284,float64,cpu,04f1f1a5d277f77ab09bad903f05f645a4778419,py11
torch_tm_flowpipe_931847f9e800888a,20260728T140517Z,torch_tm_flowpipe,torch_order1,one_step_raw_endpoint,riccati,0.02,0.02,1,0.02,0,endpoint_raw,-2.50000012550001e-05,0.10022500000125505,0.10025000000251004,0.0,0.10020040080160321,-2.50000012550001e-05,-2.4599199651836878e-05,0.10020040080160321,1.00049500002505,validated,passed,not_checked,,,1,complete_total_degree_1(state_generators),none_one_step,fixed_0.02,,,,,False,False,raw_substitution_tau_equals_h,0.10000000000000005,0.00025000000251000084,0.0,0.011440570000559092,0.011440570000559092,float64,cpu,04f1f1a5d277f77ab09bad903f05f645a4778419,py11
torch_tm_flowpipe_931847f9e800888a,20260728T140517Z,torch_tm_flowpipe,torch_order1,one_step_raw_endpoint,riccati,0.02,0.02,1,0.02,0,endpoint_tightened,-1.001135050262757e-07,0.10020090101350508,0.10020100112701011,0.0,0.10020040080160321,-1.001135050262757e-07,-5.002119018715501e-07,0.10020040080160321,1.000005991247561,validated,passed,not_checked,,,1,complete_total_degree_1(state_generators),none_one_step,fixed_0.02,,,,,False,True,endpoint_tightened_fixed_time_residual,0.10000000000000005,0.00020100112701005815,0.0,0.011440570000559092,0.011440570000559092,float64,cpu,04f1f1a5d277f77ab09bad903f05f645a4778419,py11
torch_tm_flowpipe_2b401461d33e5aa0,20260728T140517Z,torch_tm_flowpipe,torch_order1,one_step_tube,riccati,0.05,0.05,1,0.05,0,tube,-6.250000126250035e-05,0.10056250000126254,0.10062500000252504,0.0,0.10050251256281408,-6.250000126250035e-05,-5.998743844846943e-05,0.10050251256281408,1.0012187500251242,validated,passed,not_checked,,,1,"complete_total_degree_1(local_time,state_generators)",none_one_step,fixed_0.050000000000000003,,,,,False,False,"whole_segment_tau_in_[0,h]",0.10000000000000005,0.0006250000025250026,0.0,0.011619922239333391,0.011619922239333391,float64,cpu,04f1f1a5d277f77ab09bad903f05f645a4778419,py11
