horizon,channel,flowstar_width,legacy_width,h1_width,h1_h2_width,legacy_excess,h1_fraction_of_legacy_excess_removed,h1_h2_fraction_of_legacy_excess_removed,incremental_h2_fraction_of_legacy_excess_removed,h1_h2_no_wider_than_legacy,h1_h2_no_wider_than_h1,h1_h2_meets_10pct
1.0,endpoint_x,0.07951782806323093,0.08795592352408854,0.08794394085749313,0.08780082201661954,0.008438095460857609,0.0014200676741566052,0.018381103673036463,0.016961035998879857,True,True,False
1.0,endpoint_y,0.1115769155531654,0.11429217453027352,0.11427702048455424,0.11408091586610758,0.002715258977108115,0.005581068269008626,0.07780424112286237,0.07222317285385375,True,True,False
1.0,segment_x,0.08375257163162497,0.09222151766116604,0.09220953091155537,0.09206636031573256,0.008468946029541069,0.001415376785831313,0.018320738482954346,0.016905361697123034,True,True,False
1.0,segment_y,0.11966699301819556,0.12856523859517793,0.12854926466339128,0.1283427687219053,0.008898245576982378,0.0017951776727730484,0.0250015434332471,0.023206365760474048,True,True,False
3.0,endpoint_x,0.13850532673418248,0.18725958974064205,0.1865686202280239,0.1847205548702633,0.048754263006459575,0.014172494260175927,0.052078212525586975,0.037905718265411045,True,True,False
3.0,endpoint_y,0.10885167146482555,0.15586425555328454,0.1541143564637606,0.15094035690859942,0.047012584088458986,0.03722192947810163,0.10473575831144065,0.06751382883333902,True,True,True
3.0,segment_x,0.16392087538948363,0.21273503964284135,0.21204385105422802,0.21019519724689206,0.04881416425335772,0.01415959074964169,0.052030848725932714,0.037871257976291026,True,True,False
3.0,segment_y,0.1256837925656762,0.17276779494517935,0.17101707198805904,0.16784158847320407,0.047084002379503165,0.037182968070752685,0.10462590737867647,0.06744293930792378,True,True,True
6.32,endpoint_x,0.15307555562376207,0.9165121028676784,0.7919255932246037,0.6805171231958236,0.7634365472439163,0.1631917021694137,0.30912193098931495,0.14593022881990128,True,True,True
6.32,endpoint_y,0.12229562798699911,1.5898587282667334,1.2745154469370612,1.0373859831492918,1.4675631002797342,0.21487544983214973,0.37645587096877403,0.1615804211366243,True,True,True
6.32,segment_x,0.1783272999656937,0.9420414425127712,0.8174173573354471,0.7059752141315424,0.7637141425470775,0.16318158619099027,0.30910286353205385,0.14592127734106358,True,True,True
6.32,segment_y,0.13982130901719003,1.6080698024787572,1.2925904925204887,1.0553588399094207,1.4682484934615672,0.21486779067928016,0.37644238358198884,0.16157459290270867,True,True,True
