lane,run_count,solver_wall_seconds,median_wall_seconds,c5_over_c4_ratio
stock_flowstar,1,14.412807252,14.412807252,not_applicable_no_c5
torch_sr1000_legacy,1,700.0691768079996,700.0691768079996,not_applicable_no_c5
torch_sr1000_c4,1,6083.4472843930125,6083.4472843930125,not_applicable_no_c5
