run_id,tool,protocol,system,h,horizon,state_index,status,validation_status,final_lower,final_upper,final_endpoint_width,maximum_tube_width,sum_final_widths,maximum_final_width,box_volume,log_box_volume,exact_width,exact_inflation_ratio,first_failure_time,successful_horizon,build_time_s,warmup_time_s,steady_runtime_median_s,steady_runtime_iqr_s,retained_basis,effective_max_degree,truncate_to_affine,nonzero_Lt,dtype,device,git_commit,environment,number_of_states,number_of_steps,message
torch_tm_flowpipe_native_first_order_setting_riccati_0702c23620,torch_tm_flowpipe,native_first_order_setting,riccati,0.005,0.1,0,certified_ok,validated,-1.3378267724046436e-06,0.10101195553748776,0.10101329336426017,0.10126623320647087,0.10101329336426017,0.10101329336426017,0.10101329336426017,-2.292503153333774,0.10101010101010102,1.0000316043061754,,0.1,0.0,0.17919755913317204,0.16924740187823772,0.0007345299236476421,"complete_total_degree_1(local_time,initial_generators)",1,True,False,float64,cpu,62edadcd1913e175f99dc95cb39ebaea500ba08f,py11,1,20,
torch_tm_flowpipe_strict_common_affine_riccati_802d530dce,torch_tm_flowpipe,strict_common_affine,riccati,0.005,0.1,0,certified_ok,validated,-1.3378267724046436e-06,0.10101195553748776,0.10101329336426017,0.10126623320647087,0.10101329336426017,0.10101329336426017,0.10101329336426017,-2.292503153333774,0.10101010101010102,1.0000316043061754,,0.1,0.0,0.17919755913317204,0.16924740187823772,0.0007345299236476421,"complete_total_degree_1(local_time,initial_generators)",1,True,False,float64,cpu,62edadcd1913e175f99dc95cb39ebaea500ba08f,py11,1,20,
torch_tm_flowpipe_supplementary_native_representations_riccati_d108e1525e,torch_tm_flowpipe,supplementary_native_representations,riccati,0.005,0.1,0,certified_ok,validated,-1.4586173400218765e-07,0.1010107603922804,0.10101090625401439,0.10102358300532498,0.10101090625401439,0.10101090625401439,0.10101090625401439,-2.2925267852575772,0.10101010101010102,1.0000079719147423,,0.1,0.0,0.17556261271238327,0.1758919209241867,0.0033464357256889343,"complete_total_degree_1(local_time,initial_generators)",1,True,False,float64,cpu,62edadcd1913e175f99dc95cb39ebaea500ba08f,py11,1,20,
torch_tm_flowpipe_native_first_order_setting_riccati_3a4e24155d,torch_tm_flowpipe,native_first_order_setting,riccati,0.005,0.5,0,certified_ok,validated,-3.475799680794077e-05,0.10530136885023612,0.10533612684704406,0.1066683465620976,0.10533612684704406,0.10533612684704406,0.10533612684704406,-2.250598833715217,0.10526315789473685,1.0006932050469186,,0.5,0.0,0.8581301379017532,0.8499874346889555,0.00984205398708582,"complete_total_degree_1(local_time,initial_generators)",1,True,False,float64,cpu,62edadcd1913e175f99dc95cb39ebaea500ba08f,py11,1,100,
torch_tm_flowpipe_strict_common_affine_riccati_b67a22146b,torch_tm_flowpipe,strict_common_affine,riccati,0.005,0.5,0,certified_ok,validated,-3.475799680794077e-05,0.10530136885023612,0.10533612684704406,0.1066683465620976,0.10533612684704406,0.10533612684704406,0.10533612684704406,-2.250598833715217,0.10526315789473685,1.0006932050469186,,0.5,0.0,0.8581301379017532,0.8499874346889555,0.00984205398708582,"complete_total_degree_1(local_time,initial_generators)",1,True,False,float64,cpu,62edadcd1913e175f99dc95cb39ebaea500ba08f,py11,1,100,
torch_tm_flowpipe_supplementary_native_representations_riccati_6d1dffb533,torch_tm_flowpipe,supplementary_native_representations,riccati,0.005,0.5,0,certified_ok,validated,-7.740177800612674e-07,0.10526681048369414,0.1052675845014742,0.10528134848876729,0.1052675845014742,0.1052675845014742,0.1052675845014742,-2.2512497467266828,0.10526315789473685,1.0000420527640048,,0.5,0.0,0.8868680153973401,0.8825983153656125,0.007624471560120583,"complete_total_degree_1(local_time,initial_generators)",1,True,False,float64,cpu,62edadcd1913e175f99dc95cb39ebaea500ba08f,py11,1,100,
torch_tm_flowpipe_native_first_order_setting_riccati_ef58e7f841,torch_tm_flowpipe,native_first_order_setting,riccati,0.005,1.0,0,certified_ok,validated,-0.00015306232262742145,0.11127638260175365,0.11142944492438107,0.11428282039445736,0.11142944492438107,0.11142944492438107,0.11142944492438107,-2.19436366931958,0.11111111111111112,1.0028650043194296,,1.0,0.0,1.7067486848682165,1.705915309023112,0.0011948556639254093,"complete_total_degree_1(local_time,initial_generators)",1,True,False,float64,cpu,62edadcd1913e175f99dc95cb39ebaea500ba08f,py11,1,200,
torch_tm_flowpipe_strict_common_affine_riccati_58546c5888,torch_tm_flowpipe,strict_common_affine,riccati,0.005,1.0,0,certified_ok,validated,-0.00015306232262742145,0.11127638260175365,0.11142944492438107,0.11428282039445736,0.11142944492438107,0.11142944492438107,0.11142944492438107,-2.19436366931958,0.11111111111111112,1.0028650043194296,,1.0,0.0,1.7067486848682165,1.705915309023112,0.0011948556639254093,"complete_total_degree_1(local_time,initial_generators)",1,True,False,float64,cpu,62edadcd1913e175f99dc95cb39ebaea500ba08f,py11,1,200,
torch_tm_flowpipe_supplementary_native_representations_riccati_e9da1272b8,torch_tm_flowpipe,supplementary_native_representations,riccati,0.005,1.0,0,certified_ok,validated,-1.6646881500821528e-06,0.11111945403120597,0.11112111871935605,0.1111364503508935,0.11112111871935605,0.11112111871935605,0.11112111871935605,-2.1971345129179363,0.11111111111111112,1.0000900684742045,,1.0,0.0,1.764317269437015,1.7669233288615942,0.018915801774710417,"complete_total_degree_1(local_time,initial_generators)",1,True,False,float64,cpu,62edadcd1913e175f99dc95cb39ebaea500ba08f,py11,1,200,
torch_tm_flowpipe_native_first_order_setting_riccati_e0b6b73bdd,torch_tm_flowpipe,native_first_order_setting,riccati,0.01,0.1,0,certified_ok,validated,-1.4016358427516935e-06,0.10101253048531442,0.10101393212115717,0.10126651965603763,0.10101393212115717,0.10101393212115717,0.10101393212115717,-2.2924968298603368,0.10101010101010102,1.0000379279994558,,0.1,0.0,0.08597949799150229,0.08524826681241393,0.0001335199922323227,"complete_total_degree_1(local_time,initial_generators)",1,True,False,float64,cpu,62edadcd1913e175f99dc95cb39ebaea500ba08f,py11,1,10,
