system,h,horizon,step_index,time,state_index,interval_kind,lower,upper,proof
riccati,0.005,0.1,0,0.0,0,endpoint,0.0,0.1,closed_form_exact_interval_hull
riccati,0.005,0.1,1,0.005,0,endpoint,0.0,0.10005002501250625,closed_form_exact_interval_hull
riccati,0.005,0.1,2,0.01,0,endpoint,0.0,0.1001001001001001,closed_form_exact_interval_hull
riccati,0.005,0.1,3,0.015,0,endpoint,0.0,0.100150225338007,closed_form_exact_interval_hull
riccati,0.005,0.1,4,0.02,0,endpoint,0.0,0.10020040080160321,closed_form_exact_interval_hull
riccati,0.005,0.1,5,0.025,0,endpoint,0.0,0.10025062656641603,closed_form_exact_interval_hull
riccati,0.005,0.1,6,0.03,0,endpoint,0.0,0.10030090270812438,closed_form_exact_interval_hull
riccati,0.005,0.1,7,0.035,0,endpoint,0.0,0.10035122930255895,closed_form_exact_interval_hull
riccati,0.005,0.1,8,0.04,0,endpoint,0.0,0.10040160642570281,closed_form_exact_interval_hull
riccati,0.005,0.1,9,0.045,0,endpoint,0.0,0.10045203415369161,closed_form_exact_interval_hull
riccati,0.005,0.1,10,0.05,0,endpoint,0.0,0.10050251256281408,closed_form_exact_interval_hull
riccati,0.005,0.1,11,0.055,0,endpoint,0.0,0.10055304172951232,closed_form_exact_interval_hull
riccati,0.005,0.1,12,0.06,0,endpoint,0.0,0.1006036217303823,closed_form_exact_interval_hull
riccati,0.005,0.1,13,0.065,0,endpoint,0.0,0.10065425264217413,closed_form_exact_interval_hull
riccati,0.005,0.1,14,0.07,0,endpoint,0.0,0.10070493454179255,closed_form_exact_interval_hull
riccati,0.005,0.1,15,0.075,0,endpoint,0.0,0.10075566750629723,closed_form_exact_interval_hull
riccati,0.005,0.1,16,0.08,0,endpoint,0.0,0.10080645161290323,closed_form_exact_interval_hull
riccati,0.005,0.1,17,0.085,0,endpoint,0.0,0.10085728693898134,closed_form_exact_interval_hull
riccati,0.005,0.1,18,0.09,0,endpoint,0.0,0.10090817356205853,closed_form_exact_interval_hull
riccati,0.005,0.1,19,0.095,0,endpoint,0.0,0.10095911155981828,closed_form_exact_interval_hull
riccati,0.005,0.1,20,0.1,0,endpoint,0.0,0.10101010101010102,closed_form_exact_interval_hull
riccati,0.005,0.5,0,0.0,0,endpoint,0.0,0.1,closed_form_exact_interval_hull
riccati,0.005,0.5,1,0.005,0,endpoint,0.0,0.10005002501250625,closed_form_exact_interval_hull
riccati,0.005,0.5,2,0.01,0,endpoint,0.0,0.1001001001001001,closed_form_exact_interval_hull
riccati,0.005,0.5,3,0.015,0,endpoint,0.0,0.100150225338007,closed_form_exact_interval_hull
riccati,0.005,0.5,4,0.02,0,endpoint,0.0,0.10020040080160321,closed_form_exact_interval_hull
riccati,0.005,0.5,5,0.025,0,endpoint,0.0,0.10025062656641603,closed_form_exact_interval_hull
riccati,0.005,0.5,6,0.03,0,endpoint,0.0,0.10030090270812438,closed_form_exact_interval_hull
riccati,0.005,0.5,7,0.035,0,endpoint,0.0,0.10035122930255895,closed_form_exact_interval_hull
riccati,0.005,0.5,8,0.04,0,endpoint,0.0,0.10040160642570281,closed_form_exact_interval_hull
riccati,0.005,0.5,9,0.045,0,endpoint,0.0,0.10045203415369161,closed_form_exact_interval_hull
riccati,0.005,0.5,10,0.05,0,endpoint,0.0,0.10050251256281408,closed_form_exact_interval_hull
riccati,0.005,0.5,11,0.055,0,endpoint,0.0,0.10055304172951232,closed_form_exact_interval_hull
riccati,0.005,0.5,12,0.06,0,endpoint,0.0,0.1006036217303823,closed_form_exact_interval_hull
riccati,0.005,0.5,13,0.065,0,endpoint,0.0,0.10065425264217413,closed_form_exact_interval_hull
riccati,0.005,0.5,14,0.07,0,endpoint,0.0,0.10070493454179255,closed_form_exact_interval_hull
riccati,0.005,0.5,15,0.075,0,endpoint,0.0,0.10075566750629723,closed_form_exact_interval_hull
riccati,0.005,0.5,16,0.08,0,endpoint,0.0,0.10080645161290323,closed_form_exact_interval_hull
riccati,0.005,0.5,17,0.085,0,endpoint,0.0,0.10085728693898134,closed_form_exact_interval_hull
riccati,0.005,0.5,18,0.09,0,endpoint,0.0,0.10090817356205853,closed_form_exact_interval_hull
riccati,0.005,0.5,19,0.095,0,endpoint,0.0,0.10095911155981828,closed_form_exact_interval_hull
riccati,0.005,0.5,20,0.1,0,endpoint,0.0,0.10101010101010102,closed_form_exact_interval_hull
riccati,0.005,0.5,21,0.105,0,endpoint,0.0,0.1010611419909045,closed_form_exact_interval_hull
riccati,0.005,0.5,22,0.11,0,endpoint,0.0,0.10111223458038424,closed_form_exact_interval_hull
riccati,0.005,0.5,23,0.115,0,endpoint,0.0,0.10116337885685382,closed_form_exact_interval_hull
riccati,0.005,0.5,24,0.12,0,endpoint,0.0,0.10121457489878544,closed_form_exact_interval_hull
riccati,0.005,0.5,25,0.125,0,endpoint,0.0,0.10126582278481013,closed_form_exact_interval_hull
riccati,0.005,0.5,26,0.13,0,endpoint,0.0,0.10131712259371835,closed_form_exact_interval_hull
riccati,0.005,0.5,27,0.135,0,endpoint,0.0,0.10136847440446022,closed_form_exact_interval_hull
riccati,0.005,0.5,28,0.14,0,endpoint,0.0,0.10141987829614606,closed_form_exact_interval_hull
riccati,0.005,0.5,29,0.145,0,endpoint,0.0,0.10147133434804667,closed_form_exact_interval_hull
riccati,0.005,0.5,30,0.15,0,endpoint,0.0,0.10152284263959392,closed_form_exact_interval_hull
riccati,0.005,0.5,31,0.155,0,endpoint,0.0,0.1015744032503809,closed_form_exact_interval_hull
riccati,0.005,0.5,32,0.16,0,endpoint,0.0,0.10162601626016261,closed_form_exact_interval_hull
riccati,0.005,0.5,33,0.165,0,endpoint,0.0,0.10167768174885612,closed_form_exact_interval_hull
riccati,0.005,0.5,34,0.17,0,endpoint,0.0,0.1017293997965412,closed_form_exact_interval_hull
riccati,0.005,0.5,35,0.17500000000000002,0,endpoint,0.0,0.10178117048346057,closed_form_exact_interval_hull
riccati,0.005,0.5,36,0.18,0,endpoint,0.0,0.10183299389002037,closed_form_exact_interval_hull
riccati,0.005,0.5,37,0.185,0,endpoint,0.0,0.10188487009679063,closed_form_exact_interval_hull
riccati,0.005,0.5,38,0.19,0,endpoint,0.0,0.10193679918450561,closed_form_exact_interval_hull
riccati,0.005,0.5,39,0.195,0,endpoint,0.0,0.10198878123406425,closed_form_exact_interval_hull
riccati,0.005,0.5,40,0.2,0,endpoint,0.0,0.10204081632653061,closed_form_exact_interval_hull
riccati,0.005,0.5,41,0.20500000000000002,0,endpoint,0.0,0.10209290454313426,closed_form_exact_interval_hull
riccati,0.005,0.5,42,0.21,0,endpoint,0.0,0.10214504596527069,closed_form_exact_interval_hull
riccati,0.005,0.5,43,0.215,0,endpoint,0.0,0.1021972406745018,closed_form_exact_interval_hull
riccati,0.005,0.5,44,0.22,0,endpoint,0.0,0.10224948875255624,closed_form_exact_interval_hull
riccati,0.005,0.5,45,0.225,0,endpoint,0.0,0.10230179028132992,closed_form_exact_interval_hull
riccati,0.005,0.5,46,0.23,0,endpoint,0.0,0.1023541453428864,closed_form_exact_interval_hull
riccati,0.005,0.5,47,0.23500000000000001,0,endpoint,0.0,0.10240655401945725,closed_form_exact_interval_hull
riccati,0.005,0.5,48,0.24,0,endpoint,0.0,0.10245901639344263,closed_form_exact_interval_hull
riccati,0.005,0.5,49,0.245,0,endpoint,0.0,0.10251153254741159,closed_form_exact_interval_hull
riccati,0.005,0.5,50,0.25,0,endpoint,0.0,0.10256410256410257,closed_form_exact_interval_hull
riccati,0.005,0.5,51,0.255,0,endpoint,0.0,0.10261672652642381,closed_form_exact_interval_hull
riccati,0.005,0.5,52,0.26,0,endpoint,0.0,0.10266940451745381,closed_form_exact_interval_hull
riccati,0.005,0.5,53,0.265,0,endpoint,0.0,0.1027221366204417,closed_form_exact_interval_hull
riccati,0.005,0.5,54,0.27,0,endpoint,0.0,0.10277492291880781,closed_form_exact_interval_hull
riccati,0.005,0.5,55,0.275,0,endpoint,0.0,0.10282776349614396,closed_form_exact_interval_hull
riccati,0.005,0.5,56,0.28,0,endpoint,0.0,0.102880658436214,closed_form_exact_interval_hull
riccati,0.005,0.5,57,0.28500000000000003,0,endpoint,0.0,0.1029336078229542,closed_form_exact_interval_hull
riccati,0.005,0.5,58,0.29,0,endpoint,0.0,0.10298661174047374,closed_form_exact_interval_hull
riccati,0.005,0.5,59,0.295,0,endpoint,0.0,0.10303967027305513,closed_form_exact_interval_hull
riccati,0.005,0.5,60,0.3,0,endpoint,0.0,0.10309278350515465,closed_form_exact_interval_hull
riccati,0.005,0.5,61,0.305,0,endpoint,0.0,0.10314595152140278,closed_form_exact_interval_hull
riccati,0.005,0.5,62,0.31,0,endpoint,0.0,0.10319917440660475,closed_form_exact_interval_hull
riccati,0.005,0.5,63,0.315,0,endpoint,0.0,0.10325245224574084,closed_form_exact_interval_hull
riccati,0.005,0.5,64,0.32,0,endpoint,0.0,0.10330578512396695,closed_form_exact_interval_hull
riccati,0.005,0.5,65,0.325,0,endpoint,0.0,0.103359173126615,closed_form_exact_interval_hull
riccati,0.005,0.5,66,0.33,0,endpoint,0.0,0.1034126163391934,closed_form_exact_interval_hull
riccati,0.005,0.5,67,0.335,0,endpoint,0.0,0.10346611484738748,closed_form_exact_interval_hull
riccati,0.005,0.5,68,0.34,0,endpoint,0.0,0.10351966873706005,closed_form_exact_interval_hull
riccati,0.005,0.5,69,0.34500000000000003,0,endpoint,0.0,0.10357327809425168,closed_form_exact_interval_hull
riccati,0.005,0.5,70,0.35000000000000003,0,endpoint,0.0,0.10362694300518135,closed_form_exact_interval_hull
riccati,0.005,0.5,71,0.355,0,endpoint,0.0,0.10368066355624676,closed_form_exact_interval_hull
riccati,0.005,0.5,72,0.36,0,endpoint,0.0,0.1037344398340249,closed_form_exact_interval_hull
riccati,0.005,0.5,73,0.365,0,endpoint,0.0,0.10378827192527244,closed_form_exact_interval_hull
riccati,0.005,0.5,74,0.37,0,endpoint,0.0,0.10384215991692629,closed_form_exact_interval_hull
riccati,0.005,0.5,75,0.375,0,endpoint,0.0,0.1038961038961039,closed_form_exact_interval_hull
riccati,0.005,0.5,76,0.38,0,endpoint,0.0,0.10395010395010396,closed_form_exact_interval_hull
riccati,0.005,0.5,77,0.385,0,endpoint,0.0,0.10400416016640666,closed_form_exact_interval_hull
riccati,0.005,0.5,78,0.39,0,endpoint,0.0,0.10405827263267431,closed_form_exact_interval_hull
riccati,0.005,0.5,79,0.395,0,endpoint,0.0,0.10411244143675169,closed_form_exact_interval_hull
riccati,0.005,0.5,80,0.4,0,endpoint,0.0,0.10416666666666667,closed_form_exact_interval_hull
riccati,0.005,0.5,81,0.405,0,endpoint,0.0,0.10422094841063054,closed_form_exact_interval_hull
riccati,0.005,0.5,82,0.41000000000000003,0,endpoint,0.0,0.1042752867570386,closed_form_exact_interval_hull
riccati,0.005,0.5,83,0.41500000000000004,0,endpoint,0.0,0.10432968179447052,closed_form_exact_interval_hull
riccati,0.005,0.5,84,0.42,0,endpoint,0.0,0.10438413361169104,closed_form_exact_interval_hull
riccati,0.005,0.5,85,0.425,0,endpoint,0.0,0.10443864229765014,closed_form_exact_interval_hull
riccati,0.005,0.5,86,0.43,0,endpoint,0.0,0.10449320794148381,closed_form_exact_interval_hull
riccati,0.005,0.5,87,0.435,0,endpoint,0.0,0.10454783063251438,closed_form_exact_interval_hull
riccati,0.005,0.5,88,0.44,0,endpoint,0.0,0.10460251046025106,closed_form_exact_interval_hull
riccati,0.005,0.5,89,0.445,0,endpoint,0.0,0.10465724751439037,closed_form_exact_interval_hull
riccati,0.005,0.5,90,0.45,0,endpoint,0.0,0.10471204188481677,closed_form_exact_interval_hull
riccati,0.005,0.5,91,0.455,0,endpoint,0.0,0.10476689366160294,closed_form_exact_interval_hull
riccati,0.005,0.5,92,0.46,0,endpoint,0.0,0.10482180293501049,closed_form_exact_interval_hull
riccati,0.005,0.5,93,0.465,0,endpoint,0.0,0.10487676979549031,closed_form_exact_interval_hull
riccati,0.005,0.5,94,0.47000000000000003,0,endpoint,0.0,0.10493179433368312,closed_form_exact_interval_hull
riccati,0.005,0.5,95,0.47500000000000003,0,endpoint,0.0,0.10498687664041995,closed_form_exact_interval_hull
