tool,source_commit,run_id,accepted_step_index,attempt_index,retry_index,t_pre_decimal,t_pre_hex,h_attempt_decimal,h_attempt_hex,accepted,rejection_reason,state_component,stage,validation_status,subset_margin_x,subset_margin_y
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,0,0,0,0,0x0.0p+0,0.10000000000000001,0x1.999999999999ap-4,False,Flowstar raw remainder compat residual not subset of target remainder,-1,acceptance_predicate,failed,8.9999997e-05,-0.005278762381047435
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,0,1,1,0,0x0.0p+0,0.050000000000000003,0x1.999999999999ap-5,False,Flowstar raw remainder compat residual not subset of target remainder,-1,acceptance_predicate,failed,9.4999997e-05,-0.00047234789066917044
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,0,2,2,0,0x0.0p+0,0.025000000000000001,0x1.999999999999ap-6,False,Flowstar raw remainder compat residual not subset of target remainder,-1,acceptance_predicate,failed,9.7499997e-05,-3.0667851465864324e-06
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,0,3,3,0,0x0.0p+0,0.012500000000000001,0x1.999999999999ap-7,True,,-1,acceptance_predicate,validated,9.8749997e-05,7.286946843997795e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,1,4,0,0.012500000000000001,0x1.999999999999ap-7,0.013750000000000002,0x1.c28f5c28f5c2ap-7,True,,-1,acceptance_predicate,validated,9.8624997e-05,6.655080041541422e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,2,5,0,0.026250000000000002,0x1.ae147ae147ae2p-6,0.015125000000000003,0x1.ef9db22d0e562p-7,True,,-1,acceptance_predicate,validated,9.8487497e-05,5.832080283811798e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,3,6,0,0.041375000000000009,0x1.52f1a9fbe76cap-5,0.016637500000000003,0x1.1096bb98c7e29p-6,True,,-1,acceptance_predicate,validated,9.8336247e-05,4.7559557664990944e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,4,7,0,0.058012500000000009,0x1.db3d07c84b5dep-5,0.018301250000000005,0x1.2bd9018e75794p-6,True,,-1,acceptance_predicate,validated,9.8169872e-05,3.350237795805528e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,5,8,0,0.076313750000000014,0x1.3894c447c30d4p-4,0.020131375000000007,0x1.49d51b4fe79f0p-6,True,,-1,acceptance_predicate,validated,9.79868595e-05,1.5241282844443191e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,6,9,0,0.09644512500000002,0x1.8b0a0b1bbcf50p-4,0.022144512500000008,0x1.6ad0d13e4b955p-6,False,Flowstar raw remainder compat residual not subset of target remainder,-1,acceptance_predicate,failed,9.778554575e-05,-8.140842820114128e-06
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,6,10,1,0.09644512500000002,0x1.8b0a0b1bbcf50p-4,0.011072256250000004,0x1.6ad0d13e4b955p-7,True,,-1,acceptance_predicate,validated,9.889277137500001e-05,7.140968481624757e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,7,11,0,0.10751738125000003,0x1.b86425438667bp-4,0.012179481875000005,0x1.8f18e62aecbdep-7,True,,-1,acceptance_predicate,validated,9.87820488125e-05,6.55768780242133e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,8,12,0,0.11969686312500004,0x1.ea474208e3ff7p-4,0.013397430062500007,0x1.b701c9fc046a8p-7,True,,-1,acceptance_predicate,validated,9.866025399375e-05,5.819387842650667e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,9,13,0,0.13309429318750005,0x1.1093bda432466p-3,0.014737173068750008,0x1.e2e85e2ed1a86p-7,True,,-1,acceptance_predicate,validated,9.852627969312501e-05,4.8976779687199786e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,10,14,0,0.14783146625625004,0x1.2ec243871f60ep-3,0.016210890375625009,0x1.0999670026830p-6,True,,-1,acceptance_predicate,validated,9.837890796243751e-05,3.752703356017776e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,11,15,0,0.16404235663187505,0x1.4ff5706724314p-3,0.01783197941318751,0x1.2428be19c3f68p-6,True,,-1,acceptance_predicate,validated,9.821679905868125e-05,2.344526308907215e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,12,16,0,0.18187433604506256,0x1.747a882a5cb01p-3,0.019615177354506262,0x1.4160044f8ac26p-6,True,,-1,acceptance_predicate,validated,9.803847926454938e-05,6.4106135232520195e-06
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,13,17,0,0.20148951339956883,0x1.9ca688b44e086p-3,0.021576695089956889,0x1.618337f118a2ap-6,False,Flowstar raw remainder compat residual not subset of target remainder,-1,acceptance_predicate,failed,9.784232749100432e-05,-1.575284360635721e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,13,18,1,0.20148951339956883,0x1.9ca688b44e086p-3,0.010788347544978445,0x1.618337f118a2ap-7,True,,-1,acceptance_predicate,validated,9.892116224550216e-05,7.011230778004171e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,14,19,0,0.21227786094454729,0x1.b2bebc335f929p-3,0.01186718229947629,0x1.84dd23ef9b195p-7,True,,-1,acceptance_predicate,validated,9.881327877005237e-05,6.473207131024069e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,15,20,0,0.22414504324402357,0x1.cb0c8e7259442p-3,0.01305390052942392,0x1.abc00dedf768bp-7,True,,-1,acceptance_predicate,validated,9.869460694705761e-05,5.830668965262185e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,16,21,0,0.2371989437734475,0x1.e5c88f5138babp-3,0.014359290582366313,0x1.d68675b8f68cdp-7,True,,-1,acceptance_predicate,validated,9.856406794176337e-05,5.0675915319702227e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,17,22,0,0.25155823435581381,0x1.01987b566411cp-2,0.015795219640602945,0x1.02c9f3f2879a4p-6,True,,-1,acceptance_predicate,validated,9.842047503593971e-05,4.144231243340153e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,18,23,0,0.26735345399641675,0x1.11c51a958c8b6p-2,0.017374741604663242,0x1.1caaf2bdfb902p-6,True,,-1,acceptance_predicate,validated,9.826252283953367e-05,2.9868492518110015e-05
torch,455146df23940caa6f168877ffe6ec6f508c43a4,torch-authoritative-observation-20260806,19,24,0,0.28472819560107998,0x1.238fc9c16c446p-2,0.015271804398920008,0x1.f46d2e38ddda0p-7,True,,-1,acceptance_predicate,validated,9.8472816560108e-05,4.755255305627095e-05
