leaf_evaluations,range_invocations,run
392,98,t0p1_proactive_d1_truncation
1736,434,t0p5_proactive_d1_truncation
2800,700,t1_proactive_d1_truncation
7728,1932,t4_proactive_d1_truncation
13104,3276,t6_proactive_d1_truncation
17248,4312,t6p5_proactive_d1_truncation
17248,4312,t7p5_proactive_d1_truncation
17248,4312,t10_proactive_d1_truncation
0,0,t0p1_natural
0,0,t0p5_natural
0,0,t1p0_natural
1568,392,t6p5_on_failure_truncation_d1
