analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_measurement_reason,memory_unavailable_reason,message,native_validation_passed,observation_source,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
not_applicable,False,,0.00042762502562254667,2.608642000006512,True,3,cpu,float64,0.00030395895009860396,0.015,completed,,0.005,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,2.167013008147478e-06,0,0.015,3,,total_configuration_v2,0.00042762502562254667,0.00014254167520751557,0.00042762502562254667,0.015,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.30164680831298885
not_applicable,False,,0.0,0.0,True,3,cpu,float64,0.00022083398653194308,0.015,completed,,0.005,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,diffreach,unavailable,0.0,7.08969309926033e-07,1,0.015,3,,total_configuration_v2,0.00025587499840185046,8.529166613395016e-05,0.00025587499840185046,0.015,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.30164680831298885
required,True,True,0.006175125017762184,1.3510030000470579,True,3,cpu,MPFR_interval_53_bit,0.0060888329753652215,0.03,completed,0.000234,0.01,cold,,repetitions share a parent process; isolated configuration peak was not measured,,,True,flowstar,unavailable,0.0,1.812499249354005e-05,0,0.03,3,,total_configuration_v2,0.006175125017762184,0.0002025,0.006175125017762184,0.03,riccati,flowstar,True,root_cause_order4_selected,0.10045165608075761
required,True,True,0.0,0.0,True,3,cpu,MPFR_interval_53_bit,0.005215584009420127,0.03,completed,0.00022,0.01,steady,,repetitions share a parent process; isolated configuration peak was not measured,,,True,flowstar,unavailable,0.0,1.5209021512418985e-05,1,0.03,3,,total_configuration_v2,0.005320708034560084,0.0002015,0.005320708034560084,0.03,riccati,flowstar,True,root_cause_order4_selected,0.10045165608075761
required,True,True,0.0060548330075107515,0.880222457984928,True,3,cpu,MPFR_interval_53_bit,0.005924416007474065,0.03,completed,0.000108,0.01,cold,,repetitions share a parent process; isolated configuration peak was not measured,,,True,flowstar,unavailable,0.0,3.041699528694153e-05,0,0.03,3,,total_configuration_v2,0.0060548330075107515,8.45e-05,0.0060548330075107515,0.03,harmonic,flowstar,True,root_cause_order4_selected,0.20590910756516656
required,True,True,0.0,0.0,True,3,cpu,MPFR_interval_53_bit,0.00600891700014472,0.03,completed,0.000109,0.01,steady,,repetitions share a parent process; isolated configuration peak was not measured,,,True,flowstar,unavailable,0.0,2.6374997105449438e-05,1,0.03,3,,total_configuration_v2,0.00615674996515736,8.6e-05,0.00615674996515736,0.03,harmonic,flowstar,True,root_cause_order4_selected,0.20590910756516656
not_applicable,False,,0.010356332990340889,0.8723677910165861,True,3,cpu,MPFR_interval_53_bit,0.010235583002213389,0.015,completed,0.00069,0.005,cold,,repetitions share a parent process; isolated configuration peak was not measured,,,True,flowstar,unavailable,0.0,8.209026418626308e-06,0,0.015,3,,total_configuration_v2,0.010356332990340889,0.0007314999999999999,0.010356332990340889,0.015,coupled_quadratic,flowstar,True,root_cause_order4_selected,0.04019113375564379
not_applicable,False,,0.0,0.0,True,3,cpu,MPFR_interval_53_bit,0.00984791701193899,0.015,completed,0.000736,0.005,steady,,repetitions share a parent process; isolated configuration peak was not measured,,,True,flowstar,unavailable,0.0,8.584000170230865e-06,1,0.015,3,,total_configuration_v2,0.009975416993256658,0.0008190000000000001,0.009975416993256658,0.015,coupled_quadratic,flowstar,True,root_cause_order4_selected,0.04019113375564379
not_applicable,False,,0.010517749993596226,0.8575330410385504,True,3,cpu,MPFR_interval_53_bit,0.010402708023320884,0.015,completed,0.000727,0.005,cold,,repetitions share a parent process; isolated configuration peak was not measured,,,True,flowstar,unavailable,0.0,1.0750023648142815e-05,0,0.015,3,,total_configuration_v2,0.010517749993596226,0.000812,0.010517749993596226,0.015,van_der_pol,flowstar,True,root_cause_order4_selected,0.3012732007480894
not_applicable,False,,0.0,0.0,True,3,cpu,MPFR_interval_53_bit,0.010664374975021929,0.015,completed,0.000695,0.005,steady,,repetitions share a parent process; isolated configuration peak was not measured,,,True,flowstar,unavailable,0.0,1.6458972822874784e-05,1,0.015,3,,total_configuration_v2,0.010814500041306019,0.000776,0.010814500041306019,0.015,van_der_pol,flowstar,True,root_cause_order4_selected,0.3012732007480894
