run_id,t,py_width_sum,flowstar_overlap_width_sum,width_ratio
flowstar_style_o4_target_insert_scalars,0.012500000000000001,0.45483181408129059,0.56685600000000003,0.80237628971253827
flowstar_style_o4_target_insert_scalars,0.034375000000000003,0.4983900304029889,0.72724799999999989,0.68530959233024902
flowstar_style_o4_target_insert_scalars,0.057812500000000003,0.55882801636385393,0.72868399999999989,0.76690035236653198
flowstar_style_o4_target_insert_scalars,0.082421875000000006,0.59822491335609129,0.79084200000000027,0.75644049425307591
flowstar_style_o4_target_insert_scalars,0.10087890625000001,0.62300322903197047,0.85816100000000017,0.725974763514038
flowstar_style_o4_target_insert_scalars,0.12065429687500001,0.66323732936090241,0.79135600000000017,0.83810235767581498
flowstar_style_o4_target_insert_scalars,0.14141845703125,0.68198747299308926,0.93772999999999995,0.7272748797554619
flowstar_style_o4_target_insert_scalars,0.15699157714843751,0.69242111770112902,0.78239600000000009,0.88500084062435003
flowstar_style_o4_target_insert_scalars,0.17367706298828126,0.71621506454159323,0.9603210000000002,0.74580797935439613
flowstar_style_o4_target_insert_scalars,0.19119682312011721,0.72120581521402505,0.83479799999999993,0.86392853745939147
flowstar_style_o4_target_insert_scalars,0.20996799468994143,0.74069725615789217,0.93890600000000002,0.78889394269276392
flowstar_style_o4_target_insert_scalars,0.22967772483825685,0.74283060983735494,0.89713799999999999,0.82800038548958454
flowstar_style_o4_target_insert_scalars,0.25079529285430913,0.75736606929641592,1.022467,0.7407242182842243
flowstar_style_o4_target_insert_scalars,0.27296873927116394,0.75113703133925847,0.95547789999999988,0.78613752483365507
flowstar_style_o4_target_insert_scalars,0.28959882408380511,0.74382126953202143,0.90420549999999988,0.82262413746877405
flowstar_style_o4_target_insert_scalars,0.30741677209734919,0.74556630253198664,0.92370859999999999,0.80714448531927341
flowstar_style_o4_target_insert_scalars,0.32612561751157043,0.73268872581261724,0.86901149999999994,0.84312891810133384
