run_id,segment_index,attempt_index,t_start,h_try,failed_state_dimension,source_expression,dropped_total_degree,term_rank,monomial,coefficient,abs_interval_contribution,dropped_range_interval_lo,dropped_range_interval_hi,dropped_range_width,contribution_to_residual_lo,contribution_to_residual_hi,contribution_shift,residual_center,residual_radius,target_interval_lo,target_interval_hi,minimal_symmetric_radius_needed,minimal_asymmetric_interval_lo,minimal_asymmetric_interval_hi
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,(x*x)*y,9,1,x^6*y*tau^2,889.31535730544738,0.011652394113549973,-0.013579885849153766,0.01604431211430447,0.029624197963458238,-0.011652394113549975,0.011652394113549975,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,(x*x)*y,9,2,x^4*y^2*tau^3,52360.071264371982,0.0024833577528372698,-0.013579885849153766,0.01604431211430447,0.029624197963458238,-0.0024833577528372702,2.5870265347539352e-319,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,(x*x)*y,10,3,x^5*y^2*tau^3,27071.738566892091,0.0012839709769192106,-0.013579885849153766,0.01604431211430447,0.029624197963458238,-0.0012839709769192108,0.0012839709769192108,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,(x*x)*y,9,4,x^5*y*tau^3,-6690.3902563843167,0.00031731493314456619,-0.013579885849153766,0.01604431211430447,0.029624197963458238,-0.00031731493314456625,0.00031731493314456625,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,(x*x)*y,10,5,x^6*y*tau^3,-2133.5666915373608,0.00010119179093306411,-0.013579885849153766,0.01604431211430447,0.029624197963458238,-0.00010119179093306412,0.00010119179093306412,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,(x*x)*y,10,6,x^3*y^3*tau^4,336892.12272343779,5.7837511982849063e-05,-0.013579885849153766,0.01604431211430447,0.029624197963458238,-5.7837511982849069e-05,5.7837511982849069e-05,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,(x*x)*y,11,7,x^4*y^3*tau^4,216324.5507244617,3.713851690436112e-05,-0.013579885849153766,0.01604431211430447,0.029624197963458238,-3.7138516904361127e-05,3.7138516904361127e-05,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,Picard integrated y,9,1,x^5*y*tau^3,-625.4710020657451,2.9665128878687627e-05,-3.2566731822108121e-05,3.3815280511268606e-05,6.638201233337674e-05,-2.9665128878687627e-05,2.9665128878687627e-05,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,(x*x)*y,9,8,x^2*y^3*tau^4,157794.3474706455,2.7090073786472588e-05,-0.013579885849153766,0.01604431211430447,0.029624197963458238,-2.7090073786472591e-05,2.7090073786472591e-05,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,x*x,9,1,x^5*y*tau^3,252.86470967714519,1.1992984769349805e-05,-1.3071863437175583e-05,1.3410184040256671e-05,2.6482047477432255e-05,-1.1992984769349805e-05,1.1992984769349805e-05,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,Picard integrated y,9,2,x^2*y^3*tau^4,8432.3069751891253,1.4476552665522831e-06,-3.2566731822108121e-05,3.3815280511268606e-05,6.638201233337674e-05,-1.4476552665522831e-06,1.4476552665522831e-06,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,Picard integrated y,9,3,x^6*tau^3,26.193668182834326,1.242325447355724e-06,-3.2566731822108121e-05,3.3815280511268606e-05,6.638201233337674e-05,-1.3339772437713657e-322,1.242325447355724e-06,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,Picard integrated y,9,4,x^3*y^2*tau^4,-6497.9542084911891,1.1155663164797035e-06,-3.2566731822108121e-05,3.3815280511268606e-05,6.638201233337674e-05,-1.1155663164797035e-06,1.1155663164797035e-06,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,x*x,9,2,x^3*y^2*tau^4,5278.4277488082334,9.0619847595225443e-07,-1.3071863437175583e-05,1.3410184040256671e-05,2.6482047477432255e-05,-9.0619847595225443e-07,9.0619847595225443e-07,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,x*x,10,3,x^4*y^2*tau^4,2020.5885403266025,3.4689387501495578e-07,-1.3071863437175583e-05,1.3410184040256671e-05,2.6482047477432255e-05,-9.9900073589100051e-321,3.4689387501495578e-07,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,Picard integrated y,9,5,x^4*y*tau^4,1889.4814100833107,3.2438545257045612e-07,-3.2566731822108121e-05,3.3815280511268606e-05,6.638201233337674e-05,-3.2438545257045612e-07,3.2438545257045612e-07,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
flowstar_style_o6_candidate8_output6_keep8_centered,95,1,2.4007376673997931,0.0036197592495462228,y,x*x,9,4,x^4*y*tau^4,-800.66854569740894,1.3745847255704474e-07,-1.3071863437175583e-05,1.3410184040256671e-05,2.6482047477432255e-05,-1.3745847255704474e-07,1.3745847255704474e-07,straddles_zero,-3.8286633400035972e-06,0.00011910405518974091,-0.0001,0.0001,0.00012293271852974451,-0.00012293271852974451,0.00011527539184973732
