attempt_global_index,t_start,h_try,t_end,order,accepted,rejection_reason,residual_width_x,residual_width_y,residual_width_sum,target_width_x,target_width_y,target_width_sum,residual_over_target_ratio_x,residual_over_target_ratio_y,residual_over_target_ratio_sum,final_width_x,final_width_y,final_width_sum,polynomial_range_width_x,polynomial_range_width_y,remainder_width_x,remainder_width_y,cutoff_uncertainty_width_x,cutoff_uncertainty_width_y,truncation_uncertainty_width_x,truncation_uncertainty_width_y,notes
70,2.0156259248619017,0.032509877392728016,2.0481358022546297,8,False,Picard residual not subset of target remainder,9.7074960343782405e-06,0.00038397758913062409,0.00039368508516500234,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.048537480171891197,1.9198879456531204,0.98421271291250578,1.8545582917218755,3.0898080873637572,4.9443663790856327,1.8865825228067539,3.2323114848523127,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0045533453385413385,rejected_after_t_2
73,2.0562632716028117,0.036573612066819021,2.0928368836696309,8,False,Picard residual not subset of target remainder,1.4921743386673521e-05,0.00083093355694426106,0.00084585530033093456,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.074608716933367597,4.1546677847213047,2.1146382508273365,2.0047346377679869,3.6256597389671339,5.6303943767351203,2.0418288082386327,3.7933999256614377,0.00020000000000000004,0.00020000000000000004,0,0,0,0.010705691498266156,rejected_after_t_2
75,2.0745500776362213,0.027430209050114264,2.1019802866863357,8,False,Picard residual not subset of target remainder,8.2452211399607759e-06,0.00037780845677731046,0.00038605367791727123,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.041226105699803881,1.8890422838865522,0.96513419479317797,2.0387606115369494,3.7644915576345919,5.8032521691715413,2.0661378687376759,3.8788117918156551,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0053181872887797582,rejected_after_t_2
78,2.108837838948864,0.03085898518137855,2.1396968241302425,8,False,Picard residual not subset of target remainder,1.258897006261579e-05,0.00079969554316496418,0.00081228451322757993,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.062944850313078948,3.9984777158248206,2.0307112830689498,2.1920805501534164,4.363927869186905,6.556008419340321,2.2235629995059938,4.496513927885915,0.00020000000000000004,0.00020000000000000004,0,0,0,0.012089100921286573,rejected_after_t_2
80,2.1242673315395533,0.02314423888603391,2.1474115704255872,8,False,Picard residual not subset of target remainder,6.9585754463504106e-06,0.00036875155546503411,0.00037571013091138451,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.034792877231752048,1.8437577773251705,0.93927532727846119,2.2265256607876633,4.5158062679017474,6.7423319286894108,2.2498068611403328,4.6043019926820561,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0061746222824394922,rejected_after_t_2
83,2.1531976301470959,0.026037268746788148,2.1792348988938839,8,False,Picard residual not subset of target remainder,1.0507973431693055e-05,0.00076005900685022795,0.00077056698028192105,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.052539867158465273,3.8002950342511395,1.9264174507048026,2.3806912602543133,5.1731987025867889,7.5538899628411027,2.4072984135721707,5.2741331989391913,0.00020000000000000004,0.00020000000000000004,0,0,0,0.013518928124900265,rejected_after_t_2
85,2.1662162645204899,0.019527951560091111,2.1857442160805811,8,False,Picard residual not subset of target remainder,5.8250262338321081e-06,0.00035466328287673561,0.00036048830911056772,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.029125131169160538,1.7733164143836779,0.90122077277641921,2.4150478554281327,5.3363806160017493,7.7514284714298824,2.4347572543972147,5.4018763215354806,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0070650112161491736,rejected_after_t_2
88,2.1906262039706039,0.021968945505102498,2.2125951494757063,8,False,Picard residual not subset of target remainder,8.6601666410313658e-06,0.0007092868384751251,0.00071794700511615644,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.043300833205156826,3.5464341923756253,1.794867512790391,2.5678034580435769,6.0434761785925852,8.6112796366361621,2.590213101933792,6.1166783103153293,0.00020000000000000004,0.00020000000000000004,0,0,0,0.014861466376046817,rejected_after_t_2
90,2.2016106767231554,0.016476709128826872,2.2180873858519821,8,False,Picard residual not subset of target remainder,4.8324252228265973e-06,0.00033447766710024458,0.00033931009232307117,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.024162126114132987,1.6723883355012228,0.84827523080767786,2.6015854399929248,6.2156970594429861,8.8172824994359118,2.6182092064915756,6.2612882945969774,0.00020000000000000004,0.00020000000000000004,0,0,0,0.0079114419877778907,rejected_after_t_2
93,2.222206563134189,0.018536297769930231,2.2407428609041191,8,False,Picard residual not subset of target remainder,7.0422196806610325e-06,0.00064725462040238419,0.00065429684008304519,0.00020000000000000001,0.00020000000000000001,0.00040000000000000002,0.035211098403305163,3.2362731020119209,1.6357421002076129,2.7508221551558898,6.961906314750899,9.7127284699067893,2.7696454847874397,7.0114805797374133,0.00020000000000000004,0.00020000000000000004,0,0,0,0.015968765426345222,rejected_after_t_2
