segment_index,physical_time,state,enclosure_kind,torch_width_median,xiangru_width_median,torch_over_xiangru_ratio_median,torch_width_max,xiangru_width_max,maximum_lower_abs_difference,maximum_upper_abs_difference
1,0.1,x1,endpoint,0.014290496219053317,0.014294522689815126,0.9997182416020579,0.01429847182816657,0.014302503272781375,2.173854123377339e-07,3.823427394800127e-06
1,0.1,x2,endpoint,0.018979794771499692,0.019022212862963073,0.9977700108405225,0.0189882113629386,0.01903066896777894,4.317012626486871e-06,3.8234274126525136e-05
1,0.1,x3,endpoint,0.1087809482401253,0.10878094823552277,1.0000000000423097,0.10882470328496749,0.10882470328036456,2.3016588635016433e-12,2.3012702854430245e-12
1,0.1,x4,endpoint,0.08859249872099212,0.08859249871661024,1.000000000049461,0.09024871290571768,0.09024871290132341,2.1967982988257972e-12,2.1974644326405723e-12
1,0.1,u1,endpoint,0.3062783669129141,0.3062783669065192,1.0000000000208793,0.31123684399662643,0.3112368439902191,3.204547738278052e-12,3.218758592993254e-12
1,0.1,x1,tube,0.08295388937267328,0.08195290394467869,1.0122147142363596,0.08735422609289945,0.08634630119431164,2.1738551803096584e-07,0.0010081585745042032
1,0.1,x2,tube,0.0911999388730203,0.08637915340977992,1.0558086048798705,0.09579926563275765,0.09076260951459592,6.557119784234011e-05,0.004971106044413309
1,0.1,x3,tube,0.16666463076085924,0.16089838966114017,1.0357020383378088,0.16702276925026222,0.16127189563710503,0.005920543614897633,0.00019434782519739402
1,0.1,x4,tube,0.13329261517110919,0.1306278366886518,1.0213486478714535,0.14045538495916926,0.1311236843970215,0.00964208923548665,0.003886956459915547
1,0.1,u1,tube,0.3062783669131539,0.3062783669065192,1.0000000000216664,0.311236843996868,0.3112368439902191,3.327116360196669e-12,3.339550858072471e-12
2,0.2,x1,endpoint,0.016069706168001047,0.016081853762331455,0.9992446105970139,0.016087184650948494,0.016099352829057945,8.96662269211923e-07,1.1322133055435835e-05
2,0.2,x2,endpoint,0.021197246703457073,0.021280243688310774,0.9961005389727423,0.02121429163296107,0.021297434669774185,8.598801677583978e-06,7.495566395643305e-05
2,0.2,x3,endpoint,0.11512379295804352,0.11512379294632827,1.0000000001017635,0.11529881313741269,0.11529881312569629,5.859424057064189e-12,5.859146501308032e-12
2,0.2,x4,endpoint,0.07718499744427904,0.07718499743329588,1.0000000001422964,0.0804974258137312,0.08049742580271013,5.5101478935171144e-12,5.510925049634352e-12
2,0.2,u1,endpoint,0.30627836691723775,0.30627836690451726,1.0000000000415326,0.3112368440009572,0.3112368439882154,6.370015626089298e-12,6.3824501239651e-12
2,0.2,x1,tube,0.09112283423865775,0.09000447926119004,1.0124255791708316,0.09592736177500472,0.09480135657315036,8.966623415429531e-07,0.0011269014950465728
2,0.2,x2,tube,0.08672591524668105,0.08151289154219288,1.063952167121983,0.09133432713167011,0.08629459728751332,5.5508386052394165e-05,0.0053947271181308265
2,0.2,x3,tube,0.17450803280096394,0.16937565574059438,1.0302951336218071,0.1755599449737169,0.1704601772037943,0.0053402824706300644,0.00019434782878219314
2,0.2,x4,tube,0.12240367548747808,0.1192861699743154,1.023417988905969,0.12821161933644187,0.12115048034942483,0.009642089238923734,0.003886956463360569
2,0.2,u1,tube,0.30627836691747934,0.30627836690451726,1.0000000000423213,0.3112368440011988,0.3112368439882154,6.4925842480079154e-12,6.505018745883717e-12
3,0.30000000000000004,x1,endpoint,0.017826744324753396,0.017850720992727886,0.9986570373712633,0.01785512133379119,0.017879146532832235,2.0565191522492476e-06,2.2102709175630952e-05
3,0.30000000000000004,x2,endpoint,0.023269059488257637,0.02338953913301911,0.9948511844091366,0.0232948841400189,0.023415630925519237,1.3604937914024617e-05,0.0001079719239988064
3,0.30000000000000004,x3,endpoint,0.11902853415189286,0.11902853413247044,1.0000000001631788,0.11942232955547391,0.11942232953604831,9.717254778607298e-12,9.716977222851142e-12
3,0.30000000000000004,x4,endpoint,0.06577749616798689,0.06577749615005613,1.0000000002725973,0.07074613872216762,0.0707461387041598,9.003575662802632e-12,9.004241796617407e-12
3,0.30000000000000004,u1,endpoint,0.3062783669215614,0.30627836690252064,1.0000000000621798,0.31123684400528795,0.3112368439862152,9.533707157061144e-12,9.546141654936946e-12
3,0.30000000000000004,x1,tube,0.09846580931329105,0.0972415304119128,1.0125900830508037,0.10362781167330948,0.10239522986376404,2.0565191585220077e-06,0.001234637132692229
3,0.30000000000000004,x2,tube,0.08145630012961075,0.07589875059541407,1.07322130508695,0.0864361907797806,0.08102531040536265,5.315086043866657e-05,0.0057606314936689
