controller_period,segment_index,physical_time,pre_state_lower_max_abs,pre_state_upper_max_abs,before_lower_max_abs,before_upper_max_abs,after_lower_max_abs,after_upper_max_abs,after_lower_max_ulp,after_upper_max_ulp,scalar_count,candidate_contains_reference,reference_contains_candidate,overlap
1,1,0.0,3.3306690738754696e-16,3.3306690738754696e-16,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,2,2,48,33,28,48
2,11,1.0,0.014211021940625762,0.014211021940624874,0.16733063796595893,0.1711897364457684,0.16733063796595893,0.1711897364457684,94198774848895,96371254158352,48,0,48,48
3,21,2.0,0.016506725362800928,0.03565089736741078,0.1299419740456944,0.07563617217860852,0.12994197404569263,0.07563617217860852,73150828236496,42579379604914,48,0,48,48
4,31,3.0,0.14064091952042812,0.1395477094219051,0.2771182120234048,0.25823768985536333,0.27711821202340836,0.2582376898553651,156003684550775,145374895475705,48,48,0,48
5,41,4.0,0.5670713206045483,0.547097588337982,2.15496050975136,1.56049215456202,2.154960509751362,1.5604921545620218,1213134918589296,878478985725013,48,48,0,48
