run_id,mode,order,validation_mode,cutoff_threshold,target_remainder_radius,status,runtime_s,validated_segments,last_validated_t,last_attempted_t,min_h_used,min_regular_h_used,min_final_alignment_h,h_below_flowstar_min_count,max_h_used,num_step_rejections,num_accepted_steps,num_rejected_steps,failure_reason,final_width_sum,max_width_sum,max_residual_width_sum,max_remainder_width_sum,notes
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,failed,221.48196132015437,127,2.1095541733932355,2.1133755535367809,0.0022645215665453703,0.0022645215665453703,,0,0.056250000000000008,80,127,80,Picard residual not subset of target remainder,9.0341200395994434,9.0341200395994434,0.00065956602295705411,0.00040000000000000007,Picard residual not subset of target remainder
flowstar_style_o6_target_cutoff,flowstar_style,6,target_remainder,1e-10,0.0001,failed,225.00878843106329,127,2.1095541733932355,2.1133755535367809,0.0022645215665453703,0.0022645215665453703,,0,0.056250000000000008,80,127,80,Picard residual not subset of target remainder,9.0341200395994434,9.0341200395994434,0.00065956602295705411,0.00040000000000000007,Picard residual not subset of target remainder
