segment_index,physical_time,formal_lane,quantity,state,width_maximum,xiangru_width_maximum,width_maximum_difference_from_xiangru,center_difference_maximum_absolute_from_xiangru
43,4.3,k3_picard,endpoint,x3,1.6707071345731292,0.1462631211092974,1.5244440134638317,0.01640432814596493
43,4.3,k3_picard,endpoint,x4,2.2139689241183476,0.10199841573967255,2.111970508378675,0.07715610700819664
43,4.3,k3_picard,endpoint,u1,3.591408526585937,0.2277341753837483,3.3636743512021887,0.24105227167233423
43,4.3,k3_picard,tube,x1,0.22517459321988714,0.13641690756508365,0.08875768565480349,0.0026083126218899855
43,4.3,k3_picard,tube,x2,0.24250179405337913,0.0828733792508014,0.15962841480257772,0.0021450674848469964
43,4.3,k3_picard,tube,x3,1.7094993857402845,0.18980273950553417,1.5196966462347503,0.013622328464413247
43,4.3,k3_picard,tube,x4,2.32646831031481,0.2254243462088349,2.1010439641059753,0.06729088780908082
43,4.3,k3_picard,tube,u1,3.5914085265862035,0.2277341753837483,3.363674351202455,0.24105227167233245
43,4.3,k3_picard,interval_remainder,x1,0.1168641752399705,0.023576131060153466,0.09328804417981704,0.00432690540273719
43,4.3,k3_picard,interval_remainder,x2,0.17219452248549594,0.01564760560016861,0.15654691688532732,0.0015929342106983284
43,4.3,k3_picard,interval_remainder,x3,1.6113182092836709,0.0930576513727548,1.518260557910916,0.0013321980961399707
43,4.3,k3_picard,interval_remainder,x4,2.192432475940519,0.06962164369736892,2.1228108322431503,0.0026557064345651
43,4.3,k3_picard,interval_remainder,u1,3.5318827369713506,0.14537609812172209,3.3865066388496285,0.0016968037230819938
43,4.3,algorithm_aligned_q3,endpoint,x1,0.208459724836383,0.05207383038640173,0.15638589444998127,0.001600443912502858
43,4.3,algorithm_aligned_q3,endpoint,x2,0.2655002529890853,0.042884200755873736,0.22261605223321157,0.003485746118794708
43,4.3,algorithm_aligned_q3,endpoint,x3,1.7807004332214256,0.1462631211092974,1.6344373121121283,0.020523255362778547
43,4.3,algorithm_aligned_q3,endpoint,x4,2.445567647202566,0.10199841573967255,2.3435692314628933,0.09684570058913433
43,4.3,algorithm_aligned_q3,endpoint,u1,4.077680735215944,0.2277341753837483,3.849946559832196,0.29585900256742015
43,4.3,algorithm_aligned_q3,tube,x1,0.2891048565285628,0.13641690756508365,0.15268794896347918,0.002122323061698239
43,4.3,algorithm_aligned_q3,tube,x2,0.3098530012392495,0.0828733792508014,0.22697962198844812,0.004283376537607242
43,4.3,algorithm_aligned_q3,tube,x3,1.8177444179372415,0.18980273950553417,1.6279416784317073,0.016893792829417942
43,4.3,algorithm_aligned_q3,tube,x4,2.5526786406714583,0.2254243462088349,2.3272542944626236,0.08424014484526404
43,4.3,algorithm_aligned_q3,tube,u1,4.077680735216209,0.2277341753837483,3.8499465598324605,0.29585900256741837
43,4.3,algorithm_aligned_q3,interval_remainder,x1,0.1808117401149531,0.023576131060153466,0.15723560905479964,0.0016726398597180434
43,4.3,algorithm_aligned_q3,interval_remainder,x2,0.23952663382265396,0.01564760560016861,0.22387902822248534,0.003737885996907224
43,4.3,algorithm_aligned_q3,interval_remainder,x3,1.721848513701035,0.0930576513727548,1.6287908623282803,0.0013321980961348637
43,4.3,algorithm_aligned_q3,interval_remainder,x4,2.424522079405801,0.06962164369736892,2.354900435708432,0.002655706434565988
43,4.3,algorithm_aligned_q3,interval_remainder,u1,4.021706012682694,0.14537609812172209,3.876329914560972,0.0016968037230799954
43,4.3,algorithm_aligned_h005_refresh1,endpoint,x1,0.1507527641680927,0.05207383038640173,0.09867893378169096,0.003608816416631133
43,4.3,algorithm_aligned_h005_refresh1,endpoint,x2,0.20230657091875226,0.042884200755873736,0.15942237016287852,0.0024783441530011885
43,4.3,algorithm_aligned_h005_refresh1,endpoint,x3,1.6852727237392313,0.1462631211092974,1.539009602629934,0.017061188230642843
43,4.3,algorithm_aligned_h005_refresh1,endpoint,x4,2.243167406829497,0.10199841573967255,2.1411689910898244,0.07976913430644794
43,4.3,algorithm_aligned_h005_refresh1,endpoint,u1,3.650401717756994,0.2277341753837483,3.4226675423732456,0.24754016983265537
43,4.3,algorithm_aligned_h005_refresh1,tube,x1,0.2233523108213943,0.13641690756508365,0.08693540325631066,0.003986218205405623
43,4.3,algorithm_aligned_h005_refresh1,tube,x2,0.2378973748749902,0.0828733792508014,0.15502399562418878,0.0006887440524990796
43,4.3,algorithm_aligned_h005_refresh1,tube,x3,1.7059865096949651,0.18980273950553417,1.516183770189431,0.005684703338121988
43,4.3,algorithm_aligned_h005_refresh1,tube,x4,2.29849747763524,0.2254243462088349,2.0730731314264053,0.04210100723259519
43,4.3,algorithm_aligned_h005_refresh1,tube,u1,3.6504017177572603,0.2277341753837483,3.422667542373512,0.24754016983265537
43,4.3,algorithm_aligned_h005_refresh1,interval_remainder,x1,0.1231695866199902,0.023576131060153466,0.09959345555983673,0.003620259067190122
43,4.3,algorithm_aligned_h005_refresh1,interval_remainder,x2,0.17627923068529128,0.01564760560016861,0.16063162508512266,0.0025878599741815988
43,4.3,algorithm_aligned_h005_refresh1,interval_remainder,x3,1.6259500623337444,0.0930576513727548,1.5328924109609896,0.0013321980961383054
43,4.3,algorithm_aligned_h005_refresh1,interval_remainder,x4,2.2217421203222596,0.06962164369736892,2.1521204766248907,0.0026557064345676534
43,4.3,algorithm_aligned_h005_refresh1,interval_remainder,u1,3.591417602521726,0.14537609812172209,3.446041504400004,0.0016968037230817717
43,4.3,xiangru_native_q3,endpoint,x1,0.05207383038640173,0.05207383038640173,0.0,0.0
43,4.3,xiangru_native_q3,endpoint,x2,0.042884200755873736,0.042884200755873736,0.0,0.0
43,4.3,xiangru_native_q3,endpoint,x3,0.1462631211092974,0.1462631211092974,0.0,0.0
43,4.3,xiangru_native_q3,endpoint,x4,0.10199841573967255,0.10199841573967255,0.0,0.0
43,4.3,xiangru_native_q3,endpoint,u1,0.2277341753837483,0.2277341753837483,0.0,0.0
43,4.3,xiangru_native_q3,tube,x1,0.13641690756508365,0.13641690756508365,0.0,0.0
43,4.3,xiangru_native_q3,tube,x2,0.0828733792508014,0.0828733792508014,0.0,0.0
43,4.3,xiangru_native_q3,tube,x3,0.18980273950553417,0.18980273950553417,0.0,0.0
43,4.3,xiangru_native_q3,tube,x4,0.2254243462088349,0.2254243462088349,0.0,0.0
43,4.3,xiangru_native_q3,tube,u1,0.2277341753837483,0.2277341753837483,0.0,0.0
43,4.3,xiangru_native_q3,interval_remainder,x1,0.023576131060153466,0.023576131060153466,0.0,0.0
43,4.3,xiangru_native_q3,interval_remainder,x2,0.01564760560016861,0.01564760560016861,0.0,0.0
43,4.3,xiangru_native_q3,interval_remainder,x3,0.0930576513727548,0.0930576513727548,0.0,0.0
43,4.3,xiangru_native_q3,interval_remainder,x4,0.06962164369736892,0.06962164369736892,0.0,0.0
43,4.3,xiangru_native_q3,interval_remainder,u1,0.14537609812172209,0.14537609812172209,0.0,0.0
