segment_index,physical_time,formal_lane,quantity,state,width_maximum,xiangru_width_maximum,width_maximum_difference_from_xiangru,center_difference_maximum_absolute_from_xiangru
43,4.3,baseline_native_k2,endpoint,x1,0.2094270753025025,0.05207383038640173,0.15735324491610078,0.0015136513338314117
43,4.3,baseline_native_k2,endpoint,x2,0.2670063582453237,0.042884200755873736,0.22412215748944997,0.0034918495938354166
43,4.3,baseline_native_k2,endpoint,x3,1.781568614885105,0.1462631211092974,1.6353054937758076,0.020573640616043276
43,4.3,baseline_native_k2,endpoint,x4,2.447746708063004,0.10199841573967255,2.3457482923233317,0.09708842190542477
43,4.3,baseline_native_k2,endpoint,u1,4.082912328279582,0.2277341753837483,3.8551781528958333,0.2965731774524354
43,4.3,baseline_native_k2,tube,x1,0.2900721928687555,0.13641690756508365,0.15365528530367187,0.0021629179048903713
43,4.3,baseline_native_k2,tube,x2,0.3113591584002774,0.0828733792508014,0.228485779149476,0.004289546574809733
43,4.3,baseline_native_k2,tube,x3,1.818591069728423,0.18980273950553417,1.628788330222889,0.016933827454080452
43,4.3,baseline_native_k2,tube,x4,2.554788238557122,0.2254243462088349,2.329363892348287,0.08444715741730374
43,4.3,baseline_native_k2,tube,u1,4.082912328279848,0.2277341753837483,3.8551781528960998,0.2965731774524354
43,4.3,baseline_native_k2,interval_remainder,x1,0.18177940815333365,0.023576131060153466,0.1582032770931802,0.001586531126351716
43,4.3,baseline_native_k2,interval_remainder,x2,0.2410326727969802,0.01564760560016861,0.2253850671968116,0.003744197340140064
43,4.3,baseline_native_k2,interval_remainder,x3,1.722716754896757,0.0930576513727548,1.6296591035240022,0.0013321980961343086
43,4.3,baseline_native_k2,interval_remainder,x4,2.426708389728207,0.06962164369736892,2.3570867460308382,0.0026557064345675424
43,4.3,baseline_native_k2,interval_remainder,u1,4.026966005037681,0.14537609812172209,3.881589906915959,0.0016968037230808836
43,4.3,k3_picard,endpoint,x1,0.14453022916582048,0.05207383038640173,0.09245639877941875,0.00424723263991339
43,4.3,k3_picard,endpoint,x2,0.19815887435990398,0.042884200755873736,0.15527467360403024,0.001356065410807572
