formal_lane,implementation,status,requested_horizon,certified_horizon,completed_segments,first_failure_segment,first_failure_time,failure_type,failed_leaf_ids,numerical_certificate_passed_at_failure,t1_status,t5_status,t10_status,t20_status
baseline_native_k2,torch_native_closed_loop,FAILED,20.0,4.3,43,44,4.4,property,0,True,PASS,FAIL,NOT_RUN,NOT_RUN
k3_picard,torch_native_closed_loop,FAILED,20.0,4.4,44,45,4.5,property,0;1;6,True,PASS,FAIL,NOT_RUN,NOT_RUN
algorithm_aligned_q3,torch_native_closed_loop,FAILED,20.0,4.3,43,44,4.4,property,0,True,PASS,FAIL,NOT_RUN,NOT_RUN
algorithm_aligned_h005_refresh1,torch_native_closed_loop,FAILED,20.0,4.4,44,45,4.5,property,0;1;6,True,PASS,FAIL,NOT_RUN,NOT_RUN
xiangru_native_q3,xiangru_native_closed_loop,VERIFIED,20.0,20.0,200,,,,,,PASS,PASS,PASS,PASS
