stage,classification,input_contract_equal,coordinate_map_status,first_segment,first_leaf,center_difference_maximum_absolute,width_difference_maximum_absolute,remainder_contribution_difference,containment_relation,maximum_ulp_difference
A0,numerically_negligible,True,IDENTICAL_NORMALIZED_INPUT_TENSORS,,,0.0,0.0,0.0,bitwise_equal,0
A1,numerically_negligible,True,IDENTICAL_NORMALIZED_INPUT_TENSORS,,,0.0,0.0,0.0,bitwise_equal,0
A2,expected_outward_roundoff,True,IDENTICAL_NORMALIZED_INPUT_TENSORS,1,0,3.3306690738754696e-16,7.882583474838611e-15,0.0,torch_contains_xiangru,42
A3,dominant_candidate,True,IDENTICAL_NORMALIZED_INPUT_TENSORS,1,0,0.008063569516463233,0.014597255105314594,0.014597255105314594,mixed_overlapping,4546076069747733864
A4,numerically_negligible,True,IDENTICAL_NORMALIZED_INPUT_TENSORS,1,0,5.545948222147531e-19,1.2519519296854632e-06,1.2519519296854632e-06,torch_contains_xiangru,4514015402828782331
A5,numerically_negligible,False,IDENTICAL_NORMALIZED_INPUT_TENSORS,1,0,5.452884470003776e-07,8.655011731427835e-06,8.655011731427835e-06,mixed_overlapping,203712425705493207
A6,numerically_negligible,False,IDENTICAL_NORMALIZED_INPUT_TENSORS,1,0,2.003334835260634e-13,4.006599875006414e-13,0.0,mixed_overlapping,4349892936118112771
A7,algorithm_semantics_difference,False,IDENTICAL_NORMALIZED_INPUT_TENSORS,1,0,7.877704342137927e-05,0.00012851207409572078,0.00012851207409572078,mixed_overlapping,4503599627370501
A8,algorithm_semantics_difference,False,IDENTICAL_NORMALIZED_INPUT_TENSORS,1,0,7.877704361657924e-05,0.0001414904334012183,0.0001414904334012183,mixed_overlapping,11406498417143699
A9,algorithm_semantics_difference,False,IDENTICAL_NORMALIZED_INPUT_TENSORS,1,0,0.00482104461657451,0.009642089233322104,0.00014149044190175236,mixed_overlapping,9457559217478046
A10,numerically_negligible,True,IDENTICAL_NORMALIZED_INPUT_TENSORS,,,0.0,0.0,0.0,bitwise_equal,0
A11,expected_outward_roundoff,True,IDENTICAL_NORMALIZED_INPUT_TENSORS,11,0,5.551115123125783e-17,2.220446049250313e-16,0.0,mixed_overlapping,1
A12,numerically_negligible,True,IDENTICAL_NORMALIZED_INPUT_TENSORS,,,0.0,0.0,0.0,bitwise_equal,0
