replay,gate,segment,quantity,center_difference_maximum_absolute,radius_difference_maximum_absolute_upper_bound,width_difference_maximum_absolute,candidate_contains_reference_coordinates,reference_contains_candidate_coordinates
R1,G3,10,interval_remainder,1.7803251030067358e-05,1.680380014946649e-05,3.360760029893298e-05,144,48
R1,G3,10,endpoint,1.7133735027319297e-05,1.7473289571912076e-05,3.494657914382415e-05,144,48
R1,G3,10,tube,0.004821044616574399,0.004821044616661052,0.009642089233322104,192,0
R2,G4,40,interval_remainder,2.5717568351967985e-05,2.5310894511208228e-05,5.0621789022416456e-05,144,96
R2,G4,40,endpoint,2.511573810071166e-05,2.5912597837129958e-05,5.1825195674259916e-05,144,96
R2,G4,40,tube,0.0038872324996672702,0.004216237680392698,0.008432475360785396,192,0
