run_id,mode,order,validation_mode,cutoff_threshold,target_remainder_radius,status,runtime_s,validated_segments,last_validated_t,last_attempted_t,min_h_used,max_h_used,num_step_rejections,failure_reason,final_width_sum,max_width_sum,max_residual_width_sum,max_remainder_width_sum,notes
baseline_range_only_o6_s4,range_only,6,growth,,,failed,18.313673560507596,27,0.67500000000000027,0.70000000000000029,0.025000000000000001,0.025000000000000001,0,Picard remainder validation did not converge,48.511062300775578,48.511062300775578,1.454674217888278e+31,1.8183427723603482e+31,Picard remainder validation did not converge
baseline_dependency_preserving_o4_s1,dependency_preserving,4,growth,,,failed,1.9158907579258084,2,0.20000000000000001,0.30000000000000004,0.10000000000000001,0.10000000000000001,0,non-finite residual interval,4.1389488215159593,4.1389488215159593,1.4889661067226034e+26,1.8612076334032553e+26,non-finite residual interval
flowstar_style_o4_target,flowstar_style,4,target_remainder,,0.0001,failed,118.13826587423682,245,1.6364220066375745,1.6403117335379875,0.0020213320743365801,0.028125000000000004,149,Picard residual not subset of target remainder,3.3303934053996991,3.3303934053996991,0.0065705701695517654,0.00040000000000000007,Picard residual not subset of target remainder
flowstar_style_o6_target,flowstar_style,6,target_remainder,,0.0001,max_horizon_reached,165.44384488463402,98,2,2,0.0034958879232613871,0.056250000000000008,60,,6.0037481327747875,6.0037481327747875,0.00065956602295705411,0.00040000000000000007,validated to requested horizon
flowstar_style_o4_target_cutoff,flowstar_style,4,target_remainder,1e-10,0.0001,failed,122.12167069129646,245,1.6364220066375745,1.6403117335379875,0.0020213320743365801,0.028125000000000004,149,Picard residual not subset of target remainder,3.3303934053996991,3.3303934053996991,0.0065705701695517654,0.00040000000000000007,Picard residual not subset of target remainder
flowstar_style_o6_target_cutoff,flowstar_style,6,target_remainder,1e-10,0.0001,max_horizon_reached,168.31753990519792,98,2,2,0.0034958879232613871,0.056250000000000008,60,,6.0037481327747875,6.0037481327747875,0.00065956602295705411,0.00040000000000000007,validated to requested horizon
